galaxy,ugc_id,hubble_type,heald_inclination_deg,moderate_inclination_50_to_75,halogas_moment_products_in_zenodo,sparc_rotation_population_exposed,explicit_development_exposure,prior_endpoint_exposed,signed_radial_geometry_source_status,endpoint_unopened_candidate,clean_source_candidate,source_acquisition_priority,candidate_status,endpoint_pixels_read_by_this_audit
NGC4414,UGC07539,SAc,50,True,4,False,,False,HALOGAS_PA_WARP_WHOLE_CUBE_POOR_FIT,True,False,2,SOURCE_DEMOTED_FROM_CLEAN_CONFIRMATORY_LANE,False
NGC4448,UGC07591,SBab,71,True,4,False,,False,HALOGAS_FEW_RESOLUTION_ELEMENTS_BEAM_SMEARING_LIMITED,True,False,,SOURCE_DEMOTED_FROM_CLEAN_CONFIRMATORY_LANE,False
NGC4559,UGC07766,SABcd,69,True,4,True,prior HALOGAS/Halpha replication endpoint,True,SIGNED_RADIAL_IPA_SOURCE_NOT_YET_ACQUIRED,False,False,,EXCLUDED_PRIOR_ENDPOINT_EXPOSURE,False
NGC4565,UGC07772,SAb,90,False,4,False,,False,SIGNED_RADIAL_IPA_SOURCE_NOT_YET_ACQUIRED,False,False,,EXCLUDED_EDGE_ON_FOR_CURRENT_SIDE_GEOMETRY_PROTOCOL,False
UGC7774,UGC07774,SAd,90,False,4,False,,False,SIGNED_RADIAL_IPA_SOURCE_NOT_YET_ACQUIRED,False,False,,EXCLUDED_EDGE_ON_FOR_CURRENT_SIDE_GEOMETRY_PROTOCOL,False
NGC4631,UGC07865,SBd,85,False,4,False,,False,SIGNED_RADIAL_IPA_SOURCE_NOT_YET_ACQUIRED,False,False,,EXCLUDED_EDGE_ON_FOR_CURRENT_SIDE_GEOMETRY_PROTOCOL,False
NGC5023,UGC08286,SAc,90,False,4,True,,True,SIGNED_RADIAL_IPA_SOURCE_NOT_YET_ACQUIRED,False,False,,EXCLUDED_PRIOR_ENDPOINT_EXPOSURE,False
NGC5055,UGC08334,SAbc,55,True,4,True,,True,SIGNED_RADIAL_IPA_SOURCE_NOT_YET_ACQUIRED,False,False,,EXCLUDED_PRIOR_ENDPOINT_EXPOSURE,False
NGC5229,UGC08550,SBc,90,False,4,True,,True,SIGNED_RADIAL_IPA_SOURCE_NOT_YET_ACQUIRED,False,False,,EXCLUDED_PRIOR_ENDPOINT_EXPOSURE,False
NGC5585,UGC09179,SABd,51,True,4,True,,True,SIGNED_RADIAL_IPA_SOURCE_NOT_YET_ACQUIRED,False,False,,EXCLUDED_PRIOR_ENDPOINT_EXPOSURE,False
