galaxy,formula_family,audit_lane,primary_blocker,scale_radius_source_status,scale_radius_kpc,s4g_match_status,s4g_name,s4g_disk_component_source,s4g_model_components,s4g_model_quality_values,s4g_component_support_status,missing_required_fields,manifest_confidence,manifest_caveat,endpoint_eligibility_status,next_action,audit_claim_boundary
NGC3949,K_thick_flared,PARTIAL_SCALE_READY_KERNEL_BLOCKED,family_label_and_kernel_fields,ACCEPTED_SOURCE_OBSERVABLE,1.4477492679154584,S4G_MATCHED,NGC3949,D:expdisk_hr3,B;D,5.0,S4G_EXPDISK_SUPPORT,thickness_h_over_rs,0.7000000000000001,few_rotation_points;vertical_geometry_proxy_only,BLOCKED_NOT_ENDPOINT_ELIGIBLE,collect family-specific kernel observables before endpoint eligibility,accepted_manifest_audit_not_endpoint_score_not_family_validation
NGC3972,K_thick_flared,PARTIAL_SCALE_READY_KERNEL_BLOCKED,family_label_and_kernel_fields,ACCEPTED_SOURCE_OBSERVABLE,2.449567277564473,S4G_MATCHED,NGC3972,D:expdisk_hr3,B;D,5.0,S4G_EXPDISK_SUPPORT,thickness_h_over_rs,0.9,vertical_geometry_proxy_only,BLOCKED_NOT_ENDPOINT_ELIGIBLE,collect family-specific kernel observables before endpoint eligibility,accepted_manifest_audit_not_endpoint_score_not_family_validation
NGC4013,K_compact_finite,PARTIAL_SCALE_READY_KERNEL_BLOCKED,family_label_and_kernel_fields,ACCEPTED_SOURCE_OBSERVABLE,2.3902261121066197,S4G_MATCHED,NGC4013,Z:edgedisk_hr2,Z;N,4.0,S4G_EDGEDISK_SUPPORT_CAVEATED,compact_support_radius_kpc,1.0,none,BLOCKED_NOT_ENDPOINT_ELIGIBLE,collect family-specific kernel observables before endpoint eligibility,accepted_manifest_audit_not_endpoint_score_not_family_validation
NGC4088,K_thick_flared,PARTIAL_SCALE_READY_KERNEL_BLOCKED,family_label_and_kernel_fields,ACCEPTED_SOURCE_OBSERVABLE,3.255908781030414,S4G_MATCHED,NGC4088,D:expdisk_hr3,D;N,5.0,S4G_EXPDISK_SUPPORT,thickness_h_over_rs,0.9,vertical_geometry_proxy_only,BLOCKED_NOT_ENDPOINT_ELIGIBLE,collect family-specific kernel observables before endpoint eligibility,accepted_manifest_audit_not_endpoint_score_not_family_validation
NGC4183,K_exponential_disk,NEAR_TERM_EXPONENTIAL_DISK_FAMILY_LABEL_AUDIT_POOL,external_family_label_audit_only,ACCEPTED_SOURCE_OBSERVABLE,2.5281069868391675,S4G_MATCHED,NGC4183,Z:edgedisk_hr2,Z,4.0,S4G_EDGEDISK_SUPPORT_CAVEATED,,1.0,none,BLOCKED_FAMILY_LABEL_AUDIT_PENDING,audit external morphology family label; do not score endpoint yet,accepted_manifest_audit_not_endpoint_score_not_family_validation
NGC4214,K_scale_tail_spiral,PARTIAL_SCALE_READY_KERNEL_BLOCKED,family_label_and_kernel_fields,ACCEPTED_SOURCE_OBSERVABLE,0.6464509120424529,S4G_MATCHED,NGC4214,D:expdisk_hr3,D;BAR,5.0,S4G_EXPDISK_WITH_BAR_CAVEAT,tail_inner_radius_kpc;tail_cutoff_radius_kpc,0.8,low_inclination,BLOCKED_NOT_ENDPOINT_ELIGIBLE,collect family-specific kernel observables before endpoint eligibility,accepted_manifest_audit_not_endpoint_score_not_family_validation
NGC4389,K_thick_flared,PARTIAL_SCALE_READY_KERNEL_BLOCKED,family_label_and_kernel_fields,ACCEPTED_SOURCE_OBSERVABLE,2.0271979820146604,S4G_MATCHED,NGC4389,D:expdisk_hr3,D;BAR,5.0,S4G_EXPDISK_WITH_BAR_CAVEAT,thickness_h_over_rs,0.7000000000000001,few_rotation_points;vertical_geometry_proxy_only,BLOCKED_NOT_ENDPOINT_ELIGIBLE,collect family-specific kernel observables before endpoint eligibility,accepted_manifest_audit_not_endpoint_score_not_family_validation
NGC5907,K_thick_flared,PARTIAL_SCALE_READY_KERNEL_BLOCKED,family_label_and_kernel_fields,ACCEPTED_SOURCE_OBSERVABLE,4.432671435300681,S4G_MATCHED,NGC5907,Z:edgedisk_hr2,Z,4.0,S4G_EDGEDISK_SUPPORT_CAVEATED,thickness_h_over_rs,0.9,vertical_geometry_proxy_only,BLOCKED_NOT_ENDPOINT_ELIGIBLE,collect family-specific kernel observables before endpoint eligibility,accepted_manifest_audit_not_endpoint_score_not_family_validation
NGC5985,K_compact_finite,PARTIAL_SCALE_READY_KERNEL_BLOCKED,family_label_and_kernel_fields,ACCEPTED_SOURCE_OBSERVABLE,6.755726562541428,S4G_MATCHED,NGC5985,D:expdisk_hr3,B;D,5.0,S4G_EXPDISK_SUPPORT,compact_support_radius_kpc,0.85,large_distance_error,BLOCKED_NOT_ENDPOINT_ELIGIBLE,collect family-specific kernel observables before endpoint eligibility,accepted_manifest_audit_not_endpoint_score_not_family_validation
NGC6789,K_scale_tail_spiral,NO_S4G_MATCH_EXTERNAL_SOURCE_NEEDED,family_label_and_kernel_fields,MISSING_OR_UNACCEPTED_SOURCE_OBSERVABLE,,NO_S4G_MATCH,,,,,NO_ACCEPTED_SCALE_TO_AUDIT,scale_radius_kpc;tail_inner_radius_kpc;tail_cutoff_radius_kpc,0.8,few_rotation_points,BLOCKED_NOT_ENDPOINT_ELIGIBLE,crossmatch NED/NED-D/DustPedia or other residual-blind morphology source,accepted_manifest_audit_not_endpoint_score_not_family_validation
NGC6946,K_compact_finite,NO_S4G_MATCH_EXTERNAL_SOURCE_NEEDED,family_label_and_kernel_fields,MISSING_OR_UNACCEPTED_SOURCE_OBSERVABLE,,NO_S4G_MATCH,,,,,NO_ACCEPTED_SCALE_TO_AUDIT,compact_support_radius_kpc,0.65,low_inclination;large_distance_error,BLOCKED_NOT_ENDPOINT_ELIGIBLE,crossmatch NED/NED-D/DustPedia or other residual-blind morphology source,accepted_manifest_audit_not_endpoint_score_not_family_validation
NGC7331,K_thick_flared,NO_S4G_MATCH_EXTERNAL_SOURCE_NEEDED,family_label_and_kernel_fields,MISSING_OR_UNACCEPTED_SOURCE_OBSERVABLE,,NO_S4G_MATCH,,,,,NO_ACCEPTED_SCALE_TO_AUDIT,scale_radius_kpc;thickness_h_over_rs,0.9,vertical_geometry_proxy_only,BLOCKED_NOT_ENDPOINT_ELIGIBLE,crossmatch NED/NED-D/DustPedia or other residual-blind morphology source,accepted_manifest_audit_not_endpoint_score_not_family_validation
UGC00731,K_scale_tail_spiral,NO_S4G_MATCH_EXTERNAL_SOURCE_NEEDED,family_label_and_kernel_fields,MISSING_OR_UNACCEPTED_SOURCE_OBSERVABLE,,NO_S4G_MATCH,,,,,NO_ACCEPTED_SCALE_TO_AUDIT,scale_radius_kpc;tail_inner_radius_kpc;tail_cutoff_radius_kpc,0.85,large_distance_error,BLOCKED_NOT_ENDPOINT_ELIGIBLE,crossmatch NED/NED-D/DustPedia or other residual-blind morphology source,accepted_manifest_audit_not_endpoint_score_not_family_validation
UGC00891,K_scale_tail_spiral,PARTIAL_SCALE_READY_KERNEL_BLOCKED,family_label_and_kernel_fields,ACCEPTED_SOURCE_OBSERVABLE,1.1457784926099834,S4G_MATCHED,UGC00891,D:expdisk_hr3,D,5.0,S4G_EXPDISK_SUPPORT,tail_inner_radius_kpc;tail_cutoff_radius_kpc,0.65,few_rotation_points;large_distance_error,BLOCKED_NOT_ENDPOINT_ELIGIBLE,collect family-specific kernel observables before endpoint eligibility,accepted_manifest_audit_not_endpoint_score_not_family_validation
UGC02023,K_scale_tail_spiral,NO_S4G_MATCH_EXTERNAL_SOURCE_NEEDED,family_label_and_kernel_fields,MISSING_OR_UNACCEPTED_SOURCE_OBSERVABLE,,NO_S4G_MATCH,,,,,NO_ACCEPTED_SCALE_TO_AUDIT,scale_radius_kpc;tail_inner_radius_kpc;tail_cutoff_radius_kpc,0.45,few_rotation_points;low_inclination;large_distance_error,BLOCKED_NOT_ENDPOINT_ELIGIBLE,crossmatch NED/NED-D/DustPedia or other residual-blind morphology source,accepted_manifest_audit_not_endpoint_score_not_family_validation
UGC02259,K_exponential_disk,NO_S4G_MATCH_EXTERNAL_SOURCE_NEEDED,family_label_and_kernel_fields,MISSING_OR_UNACCEPTED_SOURCE_OBSERVABLE,,NO_S4G_MATCH,,,,,NO_ACCEPTED_SCALE_TO_AUDIT,scale_radius_kpc,0.85,large_distance_error,BLOCKED_NOT_ENDPOINT_ELIGIBLE,crossmatch NED/NED-D/DustPedia or other residual-blind morphology source,accepted_manifest_audit_not_endpoint_score_not_family_validation
UGC03580,K_compact_finite,NO_S4G_MATCH_EXTERNAL_SOURCE_NEEDED,family_label_and_kernel_fields,MISSING_OR_UNACCEPTED_SOURCE_OBSERVABLE,,NO_S4G_MATCH,,,,,NO_ACCEPTED_SCALE_TO_AUDIT,compact_support_radius_kpc,0.85,large_distance_error,BLOCKED_NOT_ENDPOINT_ELIGIBLE,crossmatch NED/NED-D/DustPedia or other residual-blind morphology source,accepted_manifest_audit_not_endpoint_score_not_family_validation
UGC04305,K_scale_tail_spiral,PARTIAL_SCALE_READY_KERNEL_BLOCKED,family_label_and_kernel_fields,ACCEPTED_SOURCE_OBSERVABLE,1.1157951995803006,S4G_MATCHED,UGC04305,D:expdisk_hr3,D,5.0,S4G_EXPDISK_SUPPORT,tail_inner_radius_kpc;tail_cutoff_radius_kpc,1.0,none,BLOCKED_NOT_ENDPOINT_ELIGIBLE,collect family-specific kernel observables before endpoint eligibility,accepted_manifest_audit_not_endpoint_score_not_family_validation
UGC04499,K_scale_tail_spiral,PARTIAL_SCALE_READY_KERNEL_BLOCKED,family_label_and_kernel_fields,ACCEPTED_SOURCE_OBSERVABLE,1.058710840020998,S4G_MATCHED,UGC04499,D:expdisk_hr3,D,5.0,S4G_EXPDISK_SUPPORT,tail_inner_radius_kpc;tail_cutoff_radius_kpc,0.85,large_distance_error,BLOCKED_NOT_ENDPOINT_ELIGIBLE,collect family-specific kernel observables before endpoint eligibility,accepted_manifest_audit_not_endpoint_score_not_family_validation
UGC05414,K_scale_tail_spiral,NO_S4G_MATCH_EXTERNAL_SOURCE_NEEDED,family_label_and_kernel_fields,MISSING_OR_UNACCEPTED_SOURCE_OBSERVABLE,,NO_S4G_MATCH,,,,,NO_ACCEPTED_SCALE_TO_AUDIT,scale_radius_kpc;tail_inner_radius_kpc;tail_cutoff_radius_kpc,0.65,few_rotation_points;large_distance_error,BLOCKED_NOT_ENDPOINT_ELIGIBLE,crossmatch NED/NED-D/DustPedia or other residual-blind morphology source,accepted_manifest_audit_not_endpoint_score_not_family_validation
UGC05716,K_scale_tail_spiral,NO_S4G_MATCH_EXTERNAL_SOURCE_NEEDED,family_label_and_kernel_fields,MISSING_OR_UNACCEPTED_SOURCE_OBSERVABLE,,NO_S4G_MATCH,,,,,NO_ACCEPTED_SCALE_TO_AUDIT,scale_radius_kpc;tail_inner_radius_kpc;tail_cutoff_radius_kpc,0.85,large_distance_error,BLOCKED_NOT_ENDPOINT_ELIGIBLE,crossmatch NED/NED-D/DustPedia or other residual-blind morphology source,accepted_manifest_audit_not_endpoint_score_not_family_validation
UGC05829,K_scale_tail_spiral,PARTIAL_SCALE_READY_KERNEL_BLOCKED,family_label_and_kernel_fields,ACCEPTED_SOURCE_OBSERVABLE,1.7362519409099797,S4G_MATCHED,UGC05829,D:expdisk_hr3,D,5.0,S4G_EXPDISK_SUPPORT,tail_inner_radius_kpc;tail_cutoff_radius_kpc,0.65,low_inclination;large_distance_error,BLOCKED_NOT_ENDPOINT_ELIGIBLE,collect family-specific kernel observables before endpoint eligibility,accepted_manifest_audit_not_endpoint_score_not_family_validation
UGC05986,K_scale_tail_spiral,NO_S4G_MATCH_EXTERNAL_SOURCE_NEEDED,family_label_and_kernel_fields,MISSING_OR_UNACCEPTED_SOURCE_OBSERVABLE,,NO_S4G_MATCH,,,,,NO_ACCEPTED_SCALE_TO_AUDIT,scale_radius_kpc;tail_inner_radius_kpc;tail_cutoff_radius_kpc,0.85,large_distance_error,BLOCKED_NOT_ENDPOINT_ELIGIBLE,crossmatch NED/NED-D/DustPedia or other residual-blind morphology source,accepted_manifest_audit_not_endpoint_score_not_family_validation
UGC06818,K_scale_tail_spiral,PARTIAL_SCALE_READY_KERNEL_BLOCKED,family_label_and_kernel_fields,ACCEPTED_SOURCE_OBSERVABLE,1.465202610619796,S4G_MATCHED,UGC06818,D:expdisk_hr3,D,5.0,S4G_EXPDISK_SUPPORT,tail_inner_radius_kpc;tail_cutoff_radius_kpc,1.0,none,BLOCKED_NOT_ENDPOINT_ELIGIBLE,collect family-specific kernel observables before endpoint eligibility,accepted_manifest_audit_not_endpoint_score_not_family_validation
UGC06917,K_scale_tail_spiral,PARTIAL_SCALE_READY_KERNEL_BLOCKED,family_label_and_kernel_fields,ACCEPTED_SOURCE_OBSERVABLE,2.9592029537411486,S4G_MATCHED,UGC06917,D:expdisk_hr3,D;BAR,5.0,S4G_EXPDISK_WITH_BAR_CAVEAT,tail_inner_radius_kpc;tail_cutoff_radius_kpc,1.0,none,BLOCKED_NOT_ENDPOINT_ELIGIBLE,collect family-specific kernel observables before endpoint eligibility,accepted_manifest_audit_not_endpoint_score_not_family_validation
UGC06983,K_scale_tail_spiral,PARTIAL_SCALE_READY_KERNEL_BLOCKED,family_label_and_kernel_fields,ACCEPTED_SOURCE_OBSERVABLE,3.1389718176746237,S4G_MATCHED,UGC06983,D:expdisk_hr3,D;BAR,5.0,S4G_EXPDISK_WITH_BAR_CAVEAT,tail_inner_radius_kpc;tail_cutoff_radius_kpc,1.0,none,BLOCKED_NOT_ENDPOINT_ELIGIBLE,collect family-specific kernel observables before endpoint eligibility,accepted_manifest_audit_not_endpoint_score_not_family_validation
UGC07151,K_exponential_disk,NO_S4G_MATCH_EXTERNAL_SOURCE_NEEDED,family_label_and_kernel_fields,MISSING_OR_UNACCEPTED_SOURCE_OBSERVABLE,,NO_S4G_MATCH,,,,,NO_ACCEPTED_SCALE_TO_AUDIT,scale_radius_kpc,1.0,none,BLOCKED_NOT_ENDPOINT_ELIGIBLE,crossmatch NED/NED-D/DustPedia or other residual-blind morphology source,accepted_manifest_audit_not_endpoint_score_not_family_validation
UGC07261,K_exponential_disk,NO_S4G_MATCH_EXTERNAL_SOURCE_NEEDED,family_label_and_kernel_fields,MISSING_OR_UNACCEPTED_SOURCE_OBSERVABLE,,NO_S4G_MATCH,,,,,NO_ACCEPTED_SCALE_TO_AUDIT,scale_radius_kpc,0.45,few_rotation_points;low_inclination;large_distance_error,BLOCKED_NOT_ENDPOINT_ELIGIBLE,crossmatch NED/NED-D/DustPedia or other residual-blind morphology source,accepted_manifest_audit_not_endpoint_score_not_family_validation
UGC07577,K_scale_tail_spiral,PARTIAL_SCALE_READY_KERNEL_BLOCKED,family_label_and_kernel_fields,ACCEPTED_SOURCE_OBSERVABLE,0.737955063561961,S4G_MATCHED,UGC07577,D:expdisk_hr3,D,5.0,S4G_EXPDISK_SUPPORT,tail_inner_radius_kpc;tail_cutoff_radius_kpc,1.0,none,BLOCKED_NOT_ENDPOINT_ELIGIBLE,collect family-specific kernel observables before endpoint eligibility,accepted_manifest_audit_not_endpoint_score_not_family_validation
UGC07603,K_exponential_disk,NO_S4G_MATCH_EXTERNAL_SOURCE_NEEDED,family_label_and_kernel_fields,MISSING_OR_UNACCEPTED_SOURCE_OBSERVABLE,,NO_S4G_MATCH,,,,,NO_ACCEPTED_SCALE_TO_AUDIT,scale_radius_kpc,0.85,large_distance_error,BLOCKED_NOT_ENDPOINT_ELIGIBLE,crossmatch NED/NED-D/DustPedia or other residual-blind morphology source,accepted_manifest_audit_not_endpoint_score_not_family_validation
UGC08699,K_compact_finite,NO_S4G_MATCH_EXTERNAL_SOURCE_NEEDED,family_label_and_kernel_fields,MISSING_OR_UNACCEPTED_SOURCE_OBSERVABLE,,NO_S4G_MATCH,,,,,NO_ACCEPTED_SCALE_TO_AUDIT,compact_support_radius_kpc,0.85,large_distance_error,BLOCKED_NOT_ENDPOINT_ELIGIBLE,crossmatch NED/NED-D/DustPedia or other residual-blind morphology source,accepted_manifest_audit_not_endpoint_score_not_family_validation
UGC11914,K_compact_finite,NO_S4G_MATCH_EXTERNAL_SOURCE_NEEDED,family_label_and_kernel_fields,MISSING_OR_UNACCEPTED_SOURCE_OBSERVABLE,,NO_S4G_MATCH,,,,,NO_ACCEPTED_SCALE_TO_AUDIT,compact_support_radius_kpc,0.65,low_inclination;large_distance_error,BLOCKED_NOT_ENDPOINT_ELIGIBLE,crossmatch NED/NED-D/DustPedia or other residual-blind morphology source,accepted_manifest_audit_not_endpoint_score_not_family_validation
UGC12506,K_exponential_disk,NO_S4G_MATCH_EXTERNAL_SOURCE_NEEDED,family_label_and_kernel_fields,MISSING_OR_UNACCEPTED_SOURCE_OBSERVABLE,,NO_S4G_MATCH,,,,,NO_ACCEPTED_SCALE_TO_AUDIT,scale_radius_kpc,1.0,none,BLOCKED_NOT_ENDPOINT_ELIGIBLE,crossmatch NED/NED-D/DustPedia or other residual-blind morphology source,accepted_manifest_audit_not_endpoint_score_not_family_validation
UGCA444,K_scale_tail_spiral,NO_S4G_MATCH_EXTERNAL_SOURCE_NEEDED,family_label_and_kernel_fields,MISSING_OR_UNACCEPTED_SOURCE_OBSERVABLE,,NO_S4G_MATCH,,,,,NO_ACCEPTED_SCALE_TO_AUDIT,scale_radius_kpc;tail_inner_radius_kpc;tail_cutoff_radius_kpc,1.0,none,BLOCKED_NOT_ENDPOINT_ELIGIBLE,crossmatch NED/NED-D/DustPedia or other residual-blind morphology source,accepted_manifest_audit_not_endpoint_score_not_family_validation
D512-2,K_scale_tail_spiral,NO_S4G_MATCH_EXTERNAL_SOURCE_NEEDED,family_label_and_kernel_fields,MISSING_OR_UNACCEPTED_SOURCE_OBSERVABLE,,NO_S4G_MATCH,,,,,NO_ACCEPTED_SCALE_TO_AUDIT,scale_radius_kpc;tail_inner_radius_kpc;tail_cutoff_radius_kpc,0.65,few_rotation_points;large_distance_error,BLOCKED_NOT_ENDPOINT_ELIGIBLE,crossmatch NED/NED-D/DustPedia or other residual-blind morphology source,accepted_manifest_audit_not_endpoint_score_not_family_validation
D564-8,K_scale_tail_spiral,NO_S4G_MATCH_EXTERNAL_SOURCE_NEEDED,family_label_and_kernel_fields,MISSING_OR_UNACCEPTED_SOURCE_OBSERVABLE,,NO_S4G_MATCH,,,,,NO_ACCEPTED_SCALE_TO_AUDIT,scale_radius_kpc;tail_inner_radius_kpc;tail_cutoff_radius_kpc,0.8,few_rotation_points,BLOCKED_NOT_ENDPOINT_ELIGIBLE,crossmatch NED/NED-D/DustPedia or other residual-blind morphology source,accepted_manifest_audit_not_endpoint_score_not_family_validation
D631-7,K_scale_tail_spiral,NO_S4G_MATCH_EXTERNAL_SOURCE_NEEDED,family_label_and_kernel_fields,MISSING_OR_UNACCEPTED_SOURCE_OBSERVABLE,,NO_S4G_MATCH,,,,,NO_ACCEPTED_SCALE_TO_AUDIT,scale_radius_kpc;tail_inner_radius_kpc;tail_cutoff_radius_kpc,1.0,none,BLOCKED_NOT_ENDPOINT_ELIGIBLE,crossmatch NED/NED-D/DustPedia or other residual-blind morphology source,accepted_manifest_audit_not_endpoint_score_not_family_validation
DDO064,K_scale_tail_spiral,NO_S4G_MATCH_EXTERNAL_SOURCE_NEEDED,family_label_and_kernel_fields,MISSING_OR_UNACCEPTED_SOURCE_OBSERVABLE,,NO_S4G_MATCH,,,,,NO_ACCEPTED_SCALE_TO_AUDIT,scale_radius_kpc;tail_inner_radius_kpc;tail_cutoff_radius_kpc,0.85,large_distance_error,BLOCKED_NOT_ENDPOINT_ELIGIBLE,crossmatch NED/NED-D/DustPedia or other residual-blind morphology source,accepted_manifest_audit_not_endpoint_score_not_family_validation
DDO154,K_scale_tail_spiral,NO_S4G_MATCH_EXTERNAL_SOURCE_NEEDED,family_label_and_kernel_fields,MISSING_OR_UNACCEPTED_SOURCE_OBSERVABLE,,NO_S4G_MATCH,,,,,NO_ACCEPTED_SCALE_TO_AUDIT,scale_radius_kpc;tail_inner_radius_kpc;tail_cutoff_radius_kpc,1.0,none,BLOCKED_NOT_ENDPOINT_ELIGIBLE,crossmatch NED/NED-D/DustPedia or other residual-blind morphology source,accepted_manifest_audit_not_endpoint_score_not_family_validation
DDO161,K_scale_tail_spiral,NO_S4G_MATCH_EXTERNAL_SOURCE_NEEDED,family_label_and_kernel_fields,MISSING_OR_UNACCEPTED_SOURCE_OBSERVABLE,,NO_S4G_MATCH,,,,,NO_ACCEPTED_SCALE_TO_AUDIT,scale_radius_kpc;tail_inner_radius_kpc;tail_cutoff_radius_kpc,0.85,large_distance_error,BLOCKED_NOT_ENDPOINT_ELIGIBLE,crossmatch NED/NED-D/DustPedia or other residual-blind morphology source,accepted_manifest_audit_not_endpoint_score_not_family_validation
DDO168,K_scale_tail_spiral,NO_S4G_MATCH_EXTERNAL_SOURCE_NEEDED,family_label_and_kernel_fields,MISSING_OR_UNACCEPTED_SOURCE_OBSERVABLE,,NO_S4G_MATCH,,,,,NO_ACCEPTED_SCALE_TO_AUDIT,scale_radius_kpc;tail_inner_radius_kpc;tail_cutoff_radius_kpc,1.0,none,BLOCKED_NOT_ENDPOINT_ELIGIBLE,crossmatch NED/NED-D/DustPedia or other residual-blind morphology source,accepted_manifest_audit_not_endpoint_score_not_family_validation
DDO170,K_scale_tail_spiral,NO_S4G_MATCH_EXTERNAL_SOURCE_NEEDED,family_label_and_kernel_fields,MISSING_OR_UNACCEPTED_SOURCE_OBSERVABLE,,NO_S4G_MATCH,,,,,NO_ACCEPTED_SCALE_TO_AUDIT,scale_radius_kpc;tail_inner_radius_kpc;tail_cutoff_radius_kpc,0.85,large_distance_error,BLOCKED_NOT_ENDPOINT_ELIGIBLE,crossmatch NED/NED-D/DustPedia or other residual-blind morphology source,accepted_manifest_audit_not_endpoint_score_not_family_validation
ESO079-G014,K_thick_flared,NO_S4G_MATCH_EXTERNAL_SOURCE_NEEDED,family_label_and_kernel_fields,MISSING_OR_UNACCEPTED_SOURCE_OBSERVABLE,,NO_S4G_MATCH,,,,,NO_ACCEPTED_SCALE_TO_AUDIT,scale_radius_kpc;thickness_h_over_rs,0.75,large_distance_error;vertical_geometry_proxy_only,BLOCKED_NOT_ENDPOINT_ELIGIBLE,crossmatch NED/NED-D/DustPedia or other residual-blind morphology source,accepted_manifest_audit_not_endpoint_score_not_family_validation
