galaxy,proxy_formula_family_for_scope,sparc_present,s4g_match_status,ned_nedd_match_status,dustpedia_match_status,phangs_match_status,hi_survey_match_status,primary_morphology_source,secondary_morphology_source,accepted_observable_collection_status,crossmatch_notes
NGC4214,K_scale_tail_spiral,True,S4G_MATCHED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,S4G,DustPedia/NED_NEDD_TO_BE_CHECKED,PARTIAL_S4G_SCALE_CANDIDATE,S4G disk scale candidate acquired; family label still requires audit
NGC4389,K_thick_flared,True,S4G_MATCHED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,S4G,DustPedia/NED_NEDD_TO_BE_CHECKED,PARTIAL_S4G_SCALE_CANDIDATE,S4G disk scale candidate acquired; family label still requires audit
NGC5907,K_thick_flared,True,S4G_MATCHED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,S4G,DustPedia/NED_NEDD_TO_BE_CHECKED,PARTIAL_S4G_SCALE_CANDIDATE,S4G disk scale candidate acquired; family label still requires audit
NGC5985,K_compact_finite,True,S4G_MATCHED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,S4G,DustPedia/NED_NEDD_TO_BE_CHECKED,PARTIAL_S4G_SCALE_CANDIDATE,S4G disk scale candidate acquired; family label still requires audit
NGC6789,K_scale_tail_spiral,True,NO_S4G_MATCH,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,DustPedia/NED_NEDD_TO_BE_CHECKED,NOT_STARTED,No S4G disk scale candidate acquired
NGC6946,K_compact_finite,True,NO_S4G_MATCH,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,DustPedia/NED_NEDD_TO_BE_CHECKED,NOT_STARTED,No S4G disk scale candidate acquired
NGC7331,K_thick_flared,True,NO_S4G_MATCH,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,DustPedia/NED_NEDD_TO_BE_CHECKED,NOT_STARTED,No S4G disk scale candidate acquired
UGC00731,K_scale_tail_spiral,True,NO_S4G_MATCH,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,DustPedia/NED_NEDD_TO_BE_CHECKED,NOT_STARTED,No S4G disk scale candidate acquired
UGC00891,K_scale_tail_spiral,True,S4G_MATCHED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,S4G,DustPedia/NED_NEDD_TO_BE_CHECKED,PARTIAL_S4G_SCALE_CANDIDATE,S4G disk scale candidate acquired; family label still requires audit
UGC02023,K_scale_tail_spiral,True,NO_S4G_MATCH,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,DustPedia/NED_NEDD_TO_BE_CHECKED,NOT_STARTED,No S4G disk scale candidate acquired
UGC02259,K_exponential_disk,True,NO_S4G_MATCH,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,DustPedia/NED_NEDD_TO_BE_CHECKED,NOT_STARTED,No S4G disk scale candidate acquired
UGC03580,K_compact_finite,True,NO_S4G_MATCH,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,DustPedia/NED_NEDD_TO_BE_CHECKED,NOT_STARTED,No S4G disk scale candidate acquired
UGC04305,K_scale_tail_spiral,True,S4G_MATCHED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,S4G,DustPedia/NED_NEDD_TO_BE_CHECKED,PARTIAL_S4G_SCALE_CANDIDATE,S4G disk scale candidate acquired; family label still requires audit
UGC04499,K_scale_tail_spiral,True,S4G_MATCHED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,S4G,DustPedia/NED_NEDD_TO_BE_CHECKED,PARTIAL_S4G_SCALE_CANDIDATE,S4G disk scale candidate acquired; family label still requires audit
UGC05414,K_scale_tail_spiral,True,NO_S4G_MATCH,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,DustPedia/NED_NEDD_TO_BE_CHECKED,NOT_STARTED,No S4G disk scale candidate acquired
UGC05716,K_scale_tail_spiral,True,NO_S4G_MATCH,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,DustPedia/NED_NEDD_TO_BE_CHECKED,NOT_STARTED,No S4G disk scale candidate acquired
UGC05829,K_scale_tail_spiral,True,S4G_MATCHED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,S4G,DustPedia/NED_NEDD_TO_BE_CHECKED,PARTIAL_S4G_SCALE_CANDIDATE,S4G disk scale candidate acquired; family label still requires audit
UGC05986,K_scale_tail_spiral,True,NO_S4G_MATCH,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,DustPedia/NED_NEDD_TO_BE_CHECKED,NOT_STARTED,No S4G disk scale candidate acquired
UGC06818,K_scale_tail_spiral,True,S4G_MATCHED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,S4G,DustPedia/NED_NEDD_TO_BE_CHECKED,PARTIAL_S4G_SCALE_CANDIDATE,S4G disk scale candidate acquired; family label still requires audit
UGC06917,K_scale_tail_spiral,True,S4G_MATCHED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,S4G,DustPedia/NED_NEDD_TO_BE_CHECKED,PARTIAL_S4G_SCALE_CANDIDATE,S4G disk scale candidate acquired; family label still requires audit
UGC06983,K_scale_tail_spiral,True,S4G_MATCHED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,S4G,DustPedia/NED_NEDD_TO_BE_CHECKED,PARTIAL_S4G_SCALE_CANDIDATE,S4G disk scale candidate acquired; family label still requires audit
UGC07151,K_exponential_disk,True,NO_S4G_MATCH,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,DustPedia/NED_NEDD_TO_BE_CHECKED,NOT_STARTED,No S4G disk scale candidate acquired
UGC07261,K_exponential_disk,True,NO_S4G_MATCH,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,DustPedia/NED_NEDD_TO_BE_CHECKED,NOT_STARTED,No S4G disk scale candidate acquired
UGC07577,K_scale_tail_spiral,True,S4G_MATCHED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,S4G,DustPedia/NED_NEDD_TO_BE_CHECKED,PARTIAL_S4G_SCALE_CANDIDATE,S4G disk scale candidate acquired; family label still requires audit
UGC07603,K_exponential_disk,True,NO_S4G_MATCH,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,DustPedia/NED_NEDD_TO_BE_CHECKED,NOT_STARTED,No S4G disk scale candidate acquired
UGC08699,K_compact_finite,True,NO_S4G_MATCH,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,DustPedia/NED_NEDD_TO_BE_CHECKED,NOT_STARTED,No S4G disk scale candidate acquired
UGC11914,K_compact_finite,True,NO_S4G_MATCH,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,DustPedia/NED_NEDD_TO_BE_CHECKED,NOT_STARTED,No S4G disk scale candidate acquired
UGC12506,K_exponential_disk,True,NO_S4G_MATCH,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,DustPedia/NED_NEDD_TO_BE_CHECKED,NOT_STARTED,No S4G disk scale candidate acquired
UGCA444,K_scale_tail_spiral,True,NO_S4G_MATCH,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,DustPedia/NED_NEDD_TO_BE_CHECKED,NOT_STARTED,No S4G disk scale candidate acquired
D512-2,K_scale_tail_spiral,True,NO_S4G_MATCH,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,DustPedia/NED_NEDD_TO_BE_CHECKED,NOT_STARTED,No S4G disk scale candidate acquired
D564-8,K_scale_tail_spiral,True,NO_S4G_MATCH,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,DustPedia/NED_NEDD_TO_BE_CHECKED,NOT_STARTED,No S4G disk scale candidate acquired
D631-7,K_scale_tail_spiral,True,NO_S4G_MATCH,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,DustPedia/NED_NEDD_TO_BE_CHECKED,NOT_STARTED,No S4G disk scale candidate acquired
DDO064,K_scale_tail_spiral,True,NO_S4G_MATCH,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,DustPedia/NED_NEDD_TO_BE_CHECKED,NOT_STARTED,No S4G disk scale candidate acquired
DDO154,K_scale_tail_spiral,True,NO_S4G_MATCH,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,DustPedia/NED_NEDD_TO_BE_CHECKED,NOT_STARTED,No S4G disk scale candidate acquired
DDO161,K_scale_tail_spiral,True,NO_S4G_MATCH,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,DustPedia/NED_NEDD_TO_BE_CHECKED,NOT_STARTED,No S4G disk scale candidate acquired
DDO168,K_scale_tail_spiral,True,NO_S4G_MATCH,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,DustPedia/NED_NEDD_TO_BE_CHECKED,NOT_STARTED,No S4G disk scale candidate acquired
DDO170,K_scale_tail_spiral,True,NO_S4G_MATCH,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,DustPedia/NED_NEDD_TO_BE_CHECKED,NOT_STARTED,No S4G disk scale candidate acquired
ESO079-G014,K_thick_flared,True,NO_S4G_MATCH,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,DustPedia/NED_NEDD_TO_BE_CHECKED,NOT_STARTED,No S4G disk scale candidate acquired
ESO444-G084,K_scale_tail_spiral,True,NO_S4G_MATCH,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,DustPedia/NED_NEDD_TO_BE_CHECKED,NOT_STARTED,No S4G disk scale candidate acquired
ESO563-G021,K_thick_flared,True,NO_S4G_MATCH,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,DustPedia/NED_NEDD_TO_BE_CHECKED,NOT_STARTED,No S4G disk scale candidate acquired
F563-V1,K_scale_tail_spiral,True,NO_S4G_MATCH,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,DustPedia/NED_NEDD_TO_BE_CHECKED,NOT_STARTED,No S4G disk scale candidate acquired
F563-V2,K_scale_tail_spiral,True,NO_S4G_MATCH,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,DustPedia/NED_NEDD_TO_BE_CHECKED,NOT_STARTED,No S4G disk scale candidate acquired
F565-V2,K_scale_tail_spiral,True,NO_S4G_MATCH,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,DustPedia/NED_NEDD_TO_BE_CHECKED,NOT_STARTED,No S4G disk scale candidate acquired
F567-2,K_scale_tail_spiral,True,NO_S4G_MATCH,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,DustPedia/NED_NEDD_TO_BE_CHECKED,NOT_STARTED,No S4G disk scale candidate acquired
F568-3,K_exponential_disk,True,NO_S4G_MATCH,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,DustPedia/NED_NEDD_TO_BE_CHECKED,NOT_STARTED,No S4G disk scale candidate acquired
F568-V1,K_exponential_disk,True,NO_S4G_MATCH,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,DustPedia/NED_NEDD_TO_BE_CHECKED,NOT_STARTED,No S4G disk scale candidate acquired
F571-8,K_thick_flared,True,NO_S4G_MATCH,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,DustPedia/NED_NEDD_TO_BE_CHECKED,NOT_STARTED,No S4G disk scale candidate acquired
F571-V1,K_scale_tail_spiral,True,NO_S4G_MATCH,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,DustPedia/NED_NEDD_TO_BE_CHECKED,NOT_STARTED,No S4G disk scale candidate acquired
F574-1,K_exponential_disk,True,NO_S4G_MATCH,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,DustPedia/NED_NEDD_TO_BE_CHECKED,NOT_STARTED,No S4G disk scale candidate acquired
F574-2,K_scale_tail_spiral,True,NO_S4G_MATCH,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,DustPedia/NED_NEDD_TO_BE_CHECKED,NOT_STARTED,No S4G disk scale candidate acquired
F579-V1,K_thick_flared,True,NO_S4G_MATCH,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,DustPedia/NED_NEDD_TO_BE_CHECKED,NOT_STARTED,No S4G disk scale candidate acquired
F583-1,K_scale_tail_spiral,True,NO_S4G_MATCH,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,DustPedia/NED_NEDD_TO_BE_CHECKED,NOT_STARTED,No S4G disk scale candidate acquired
F583-4,K_thick_flared,True,NO_S4G_MATCH,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,DustPedia/NED_NEDD_TO_BE_CHECKED,NOT_STARTED,No S4G disk scale candidate acquired
KK98-251,K_scale_tail_spiral,True,NO_S4G_MATCH,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,DustPedia/NED_NEDD_TO_BE_CHECKED,NOT_STARTED,No S4G disk scale candidate acquired
NGC0055,K_scale_tail_spiral,True,S4G_MATCHED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,S4G,DustPedia/NED_NEDD_TO_BE_CHECKED,PARTIAL_S4G_SCALE_CANDIDATE,S4G disk scale candidate acquired; family label still requires audit
NGC0100,K_exponential_disk,True,S4G_MATCHED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,S4G,DustPedia/NED_NEDD_TO_BE_CHECKED,PARTIAL_S4G_SCALE_CANDIDATE,S4G disk scale candidate acquired; family label still requires audit
NGC0247,K_exponential_disk,True,S4G_MATCHED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,S4G,DustPedia/NED_NEDD_TO_BE_CHECKED,PARTIAL_S4G_SCALE_CANDIDATE,S4G disk scale candidate acquired; family label still requires audit
NGC0289,K_thick_flared,True,S4G_MATCHED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,S4G,DustPedia/NED_NEDD_TO_BE_CHECKED,PARTIAL_S4G_SCALE_CANDIDATE,S4G disk scale candidate acquired; family label still requires audit
NGC0300,K_exponential_disk,True,S4G_MATCHED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,S4G,DustPedia/NED_NEDD_TO_BE_CHECKED,PARTIAL_S4G_SCALE_CANDIDATE,S4G disk scale candidate acquired; family label still requires audit
NGC0801,K_thick_flared,True,NO_S4G_MATCH,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,DustPedia/NED_NEDD_TO_BE_CHECKED,NOT_STARTED,No S4G disk scale candidate acquired
NGC0891,K_compact_finite,True,NO_S4G_MATCH,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,DustPedia/NED_NEDD_TO_BE_CHECKED,NOT_STARTED,No S4G disk scale candidate acquired
NGC1003,K_scale_tail_spiral,True,NO_S4G_MATCH,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,DustPedia/NED_NEDD_TO_BE_CHECKED,NOT_STARTED,No S4G disk scale candidate acquired
NGC1090,K_thick_flared,True,S4G_MATCHED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,S4G,DustPedia/NED_NEDD_TO_BE_CHECKED,PARTIAL_S4G_SCALE_CANDIDATE,S4G disk scale candidate acquired; family label still requires audit
NGC1705,K_scale_tail_spiral,True,S4G_MATCHED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,S4G,DustPedia/NED_NEDD_TO_BE_CHECKED,PARTIAL_S4G_SCALE_CANDIDATE,S4G disk scale candidate acquired; family label still requires audit
NGC2366,K_scale_tail_spiral,True,NO_S4G_MATCH,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,DustPedia/NED_NEDD_TO_BE_CHECKED,NOT_STARTED,No S4G disk scale candidate acquired
NGC2403,K_exponential_disk,True,NO_S4G_MATCH,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,DustPedia/NED_NEDD_TO_BE_CHECKED,NOT_STARTED,No S4G disk scale candidate acquired
NGC2841,K_compact_finite,True,S4G_MATCHED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,S4G,DustPedia/NED_NEDD_TO_BE_CHECKED,PARTIAL_S4G_SCALE_CANDIDATE,S4G disk scale candidate acquired; family label still requires audit
NGC2903,K_thick_flared,True,S4G_MATCHED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,S4G,DustPedia/NED_NEDD_TO_BE_CHECKED,PARTIAL_S4G_SCALE_CANDIDATE,S4G disk scale candidate acquired; family label still requires audit
NGC2915,K_scale_tail_spiral,True,NO_S4G_MATCH,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,DustPedia/NED_NEDD_TO_BE_CHECKED,NOT_STARTED,No S4G disk scale candidate acquired
NGC2955,K_compact_finite,True,NO_S4G_MATCH,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,DustPedia/NED_NEDD_TO_BE_CHECKED,NOT_STARTED,No S4G disk scale candidate acquired
NGC2976,K_thick_flared,True,S4G_MATCHED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,S4G,DustPedia/NED_NEDD_TO_BE_CHECKED,PARTIAL_S4G_SCALE_CANDIDATE,S4G disk scale candidate acquired; family label still requires audit
NGC2998,K_thick_flared,True,NO_S4G_MATCH,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,DustPedia/NED_NEDD_TO_BE_CHECKED,NOT_STARTED,No S4G disk scale candidate acquired
NGC3109,K_scale_tail_spiral,True,NO_S4G_MATCH,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,DustPedia/NED_NEDD_TO_BE_CHECKED,NOT_STARTED,No S4G disk scale candidate acquired
NGC3198,K_thick_flared,True,S4G_MATCHED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,S4G,DustPedia/NED_NEDD_TO_BE_CHECKED,PARTIAL_S4G_SCALE_CANDIDATE,S4G disk scale candidate acquired; family label still requires audit
NGC3521,K_thick_flared,True,S4G_MATCHED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,S4G,DustPedia/NED_NEDD_TO_BE_CHECKED,PARTIAL_S4G_SCALE_CANDIDATE,S4G disk scale candidate acquired; family label still requires audit
NGC3741,K_scale_tail_spiral,True,NO_S4G_MATCH,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,DustPedia/NED_NEDD_TO_BE_CHECKED,NOT_STARTED,No S4G disk scale candidate acquired
NGC3769,K_thick_flared,True,S4G_MATCHED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,S4G,DustPedia/NED_NEDD_TO_BE_CHECKED,PARTIAL_S4G_SCALE_CANDIDATE,S4G disk scale candidate acquired; family label still requires audit
NGC3877,K_thick_flared,True,S4G_MATCHED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,S4G,DustPedia/NED_NEDD_TO_BE_CHECKED,PARTIAL_S4G_SCALE_CANDIDATE,S4G disk scale candidate acquired; family label still requires audit
NGC3893,K_thick_flared,True,S4G_MATCHED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,S4G,DustPedia/NED_NEDD_TO_BE_CHECKED,PARTIAL_S4G_SCALE_CANDIDATE,S4G disk scale candidate acquired; family label still requires audit
