galaxy,split,formula_family,repair_priority,repair_status,failure_mode,source_targets,residual_blind_action,promotion_use,matched_minus_wrong_mean,source_norm_minus_tpg_v6,source_norm_minus_mond,accepted_label_output_allowed,endpoint_scores_computed,claim_boundary
NGC4088,holdout,K_thick_flared,P1_VERTICAL_GEOMETRY_SOURCE,NEEDS_VERTICAL_GEOMETRY_SOURCE,SPECIFICITY_SURVIVES_PROJECTION_SCALE_REPAIR_NEEDED,S4G;DustPedia;HI_SURVEYS;PHANGS_IF_AVAILABLE,"seek vertical thickness, flare, warp, edge/projection, or gas-plane evidence for thick/flared readout support",source-native support for thick/flared orientation and vertical damping,-4.720364354016155,7.871930150759837,4.675820832615656,False,False,s4g75_source_rich_lane_action_plan_not_endpoint
NGC4389,holdout,K_thick_flared,P1_VERTICAL_GEOMETRY_SOURCE,NEEDS_VERTICAL_GEOMETRY_SOURCE,SPECIFICITY_TRANSFERS_TO_BOTH_BASELINES,S4G;DustPedia;HI_SURVEYS;PHANGS_IF_AVAILABLE,"seek vertical thickness, flare, warp, edge/projection, or gas-plane evidence for thick/flared readout support",source-native support for thick/flared orientation and vertical damping,-21.070275929953567,-3.664563592996707,-5.608737852448002,False,False,s4g75_source_rich_lane_action_plan_not_endpoint
NGC5907,holdout,K_thick_flared,P1_VERTICAL_GEOMETRY_SOURCE,NEEDS_VERTICAL_GEOMETRY_SOURCE,SPECIFICITY_PARTLY_TRANSFERS_TO_BASELINES,S4G;DustPedia;HI_SURVEYS;PHANGS_IF_AVAILABLE,"seek vertical thickness, flare, warp, edge/projection, or gas-plane evidence for thick/flared readout support",source-native support for thick/flared orientation and vertical damping,-1.2200402769069,1.340121518675513,-0.4697333108424217,False,False,s4g75_source_rich_lane_action_plan_not_endpoint
UGC06917,holdout,K_scale_tail_spiral,P2_SOURCE_NORMALIZATION_REVIEW,NO_PROJECTION_SCALE_REPAIR_REQUIRED,SPECIFICITY_SURVIVES_NORMALIZATION_WEAK,S4G;SPARC_BARYONIC;HI_SURVEYS,inspect source-normalization inputs after projection/scale-clean status; do not tune from endpoint residuals,normalization-law stress test rather than source acquisition,-14.677899972044314,0.964900215167459,2.7807573593426245,False,False,s4g75_source_rich_lane_action_plan_not_endpoint
UGC06983,holdout,K_scale_tail_spiral,P2_SOURCE_NORMALIZATION_REVIEW,NO_PROJECTION_SCALE_REPAIR_REQUIRED,SPECIFICITY_SURVIVES_NORMALIZATION_WEAK,S4G;SPARC_BARYONIC;HI_SURVEYS,inspect source-normalization inputs after projection/scale-clean status; do not tune from endpoint residuals,normalization-law stress test rather than source acquisition,-8.09754774972022,1.0189946803317955,2.9068629881321595,False,False,s4g75_source_rich_lane_action_plan_not_endpoint
NGC5033,train,K_compact_finite,P0_EXISTING_SCALE_PLUS_DISTANCE_AUDIT,REPAIRABLE_WITH_EXISTING_SCALE_SOURCE_PLUS_DISTANCE_AUDIT,SPECIFICITY_TRANSFERS_TO_BOTH_BASELINES,S4G;SPARC_DISTANCE;NED_NEDD,audit existing S4G scale radius against distance/projection caveat and freeze usable scale if residual-blind consistency passes,fastest repair path for source-rich rows with existing scale support,-2.4008565080766626,-0.880008750290882,-1.0371955435718263,False,False,s4g75_source_rich_lane_action_plan_not_endpoint
NGC0100,train,K_exponential_disk,P0_EXISTING_SCALE_PLUS_DISTANCE_AUDIT,REPAIRABLE_WITH_EXISTING_SCALE_SOURCE_PLUS_DISTANCE_AUDIT,SPECIFICITY_SURVIVES_PROJECTION_SCALE_REPAIR_NEEDED,S4G;SPARC_DISTANCE;NED_NEDD,audit existing S4G scale radius against distance/projection caveat and freeze usable scale if residual-blind consistency passes,fastest repair path for source-rich rows with existing scale support,-15.27138913969902,0.0168374632179393,1.4930239171406132,False,False,s4g75_source_rich_lane_action_plan_not_endpoint
NGC4559,train,K_exponential_disk,P0_EXISTING_SCALE_PLUS_DISTANCE_AUDIT,REPAIRABLE_WITH_EXISTING_SCALE_SOURCE_PLUS_DISTANCE_AUDIT,SPECIFICITY_SURVIVES_PROJECTION_SCALE_REPAIR_NEEDED,S4G;SPARC_DISTANCE;NED_NEDD,audit existing S4G scale radius against distance/projection caveat and freeze usable scale if residual-blind consistency passes,fastest repair path for source-rich rows with existing scale support,-9.883997440812625,4.074190610190337,0.4741980957008564,False,False,s4g75_source_rich_lane_action_plan_not_endpoint
NGC5585,train,K_exponential_disk,P0_EXISTING_SCALE_PLUS_DISTANCE_AUDIT,REPAIRABLE_WITH_EXISTING_SCALE_SOURCE_PLUS_DISTANCE_AUDIT,SPECIFICITY_SURVIVES_PROJECTION_SCALE_REPAIR_NEEDED,S4G;SPARC_DISTANCE;NED_NEDD,audit existing S4G scale radius against distance/projection caveat and freeze usable scale if residual-blind consistency passes,fastest repair path for source-rich rows with existing scale support,-20.015303849280286,0.7993246715121654,0.3442483391747188,False,False,s4g75_source_rich_lane_action_plan_not_endpoint
NGC6015,train,K_exponential_disk,P0_EXISTING_SCALE_PLUS_DISTANCE_AUDIT,REPAIRABLE_WITH_EXISTING_SCALE_SOURCE_PLUS_DISTANCE_AUDIT,NO_SPECIFICITY_NO_BASELINE_TRANSFER,S4G;SPARC_DISTANCE;NED_NEDD,audit existing S4G scale radius against distance/projection caveat and freeze usable scale if residual-blind consistency passes,fastest repair path for source-rich rows with existing scale support,1.764014056537933,-1.2801956352425758,1.3481400792151952,False,False,s4g75_source_rich_lane_action_plan_not_endpoint
UGC00191,train,K_scale_tail_spiral,P0_EXISTING_SCALE_PLUS_DISTANCE_AUDIT,REPAIRABLE_WITH_EXISTING_SCALE_SOURCE_PLUS_DISTANCE_AUDIT,SPECIFICITY_SURVIVES_PROJECTION_SCALE_REPAIR_NEEDED,S4G;SPARC_DISTANCE;NED_NEDD,audit existing S4G scale radius against distance/projection caveat and freeze usable scale if residual-blind consistency passes,fastest repair path for source-rich rows with existing scale support,-42.17942024867123,1.177397344921025,0.9743038319160268,False,False,s4g75_source_rich_lane_action_plan_not_endpoint
UGC05764,train,K_scale_tail_spiral,P0_EXISTING_SCALE_PLUS_DISTANCE_AUDIT,REPAIRABLE_WITH_EXISTING_SCALE_SOURCE_PLUS_DISTANCE_AUDIT,SPECIFICITY_SURVIVES_PROJECTION_SCALE_REPAIR_NEEDED,S4G;SPARC_DISTANCE;NED_NEDD,audit existing S4G scale radius against distance/projection caveat and freeze usable scale if residual-blind consistency passes,fastest repair path for source-rich rows with existing scale support,-44.276247306441654,1.168467514383286,3.3877616129287773,False,False,s4g75_source_rich_lane_action_plan_not_endpoint
UGC05918,train,K_scale_tail_spiral,P0_EXISTING_SCALE_PLUS_DISTANCE_AUDIT,REPAIRABLE_WITH_EXISTING_SCALE_SOURCE_PLUS_DISTANCE_AUDIT,SPECIFICITY_SURVIVES_PROJECTION_SCALE_REPAIR_NEEDED,S4G;SPARC_DISTANCE;NED_NEDD,audit existing S4G scale radius against distance/projection caveat and freeze usable scale if residual-blind consistency passes,fastest repair path for source-rich rows with existing scale support,-40.601536000784314,0.6398306319102405,0.1485748289567157,False,False,s4g75_source_rich_lane_action_plan_not_endpoint
UGC06446,train,K_scale_tail_spiral,P0_EXISTING_SCALE_PLUS_DISTANCE_AUDIT,REPAIRABLE_WITH_EXISTING_SCALE_SOURCE_PLUS_DISTANCE_AUDIT,SPECIFICITY_SURVIVES_PROJECTION_SCALE_REPAIR_NEEDED,S4G;SPARC_DISTANCE;NED_NEDD,audit existing S4G scale radius against distance/projection caveat and freeze usable scale if residual-blind consistency passes,fastest repair path for source-rich rows with existing scale support,-16.725443601530216,0.9497072841829048,3.2732310848997734,False,False,s4g75_source_rich_lane_action_plan_not_endpoint
UGC07125,train,K_scale_tail_spiral,P0_EXISTING_SCALE_PLUS_DISTANCE_AUDIT,REPAIRABLE_WITH_EXISTING_SCALE_SOURCE_PLUS_DISTANCE_AUDIT,SPECIFICITY_TRANSFERS_TO_BOTH_BASELINES,S4G;SPARC_DISTANCE;NED_NEDD,audit existing S4G scale radius against distance/projection caveat and freeze usable scale if residual-blind consistency passes,fastest repair path for source-rich rows with existing scale support,-5.446913179070126,-0.4512871385070056,-7.688122453162762,False,False,s4g75_source_rich_lane_action_plan_not_endpoint
UGC07690,train,K_scale_tail_spiral,P0_EXISTING_SCALE_PLUS_DISTANCE_AUDIT,REPAIRABLE_WITH_EXISTING_SCALE_SOURCE_PLUS_DISTANCE_AUDIT,SPECIFICITY_TRANSFERS_TO_BOTH_BASELINES,S4G;SPARC_DISTANCE;NED_NEDD,audit existing S4G scale radius against distance/projection caveat and freeze usable scale if residual-blind consistency passes,fastest repair path for source-rich rows with existing scale support,-34.797014623706026,-0.704780929432125,-2.3327371210869674,False,False,s4g75_source_rich_lane_action_plan_not_endpoint
UGC06930,train,K_exponential_disk,P1_INCLINATION_PROJECTION_REVIEW,NEEDS_INCLINATION_PROJECTION_REVIEW,SPECIFICITY_TRANSFERS_TO_BOTH_BASELINES,NED_NEDD;S4G;SPARC_METADATA,"review inclination, distance uncertainty, and projection caveats before using scale-sensitive readout",projection-safety gate for low-inclination or distance-caveated rows,-8.549290506808426,-0.2571463463417904,-3.7425638555303102,False,False,s4g75_source_rich_lane_action_plan_not_endpoint
UGC00634,train,K_scale_tail_spiral,P1_INCLINATION_PROJECTION_REVIEW,NEEDS_INCLINATION_PROJECTION_REVIEW,SPECIFICITY_SURVIVES_PROJECTION_SCALE_REPAIR_NEEDED,NED_NEDD;S4G;SPARC_METADATA,"review inclination, distance uncertainty, and projection caveats before using scale-sensitive readout",projection-safety gate for low-inclination or distance-caveated rows,-8.225170978855452,0.8517970443453962,6.640528570449063,False,False,s4g75_source_rich_lane_action_plan_not_endpoint
UGC06628,train,K_scale_tail_spiral,P1_INCLINATION_PROJECTION_REVIEW,NEEDS_INCLINATION_PROJECTION_REVIEW,SPECIFICITY_TRANSFERS_TO_BOTH_BASELINES,NED_NEDD;S4G;SPARC_METADATA,"review inclination, distance uncertainty, and projection caveats before using scale-sensitive readout",projection-safety gate for low-inclination or distance-caveated rows,-18.830818973491468,-0.8655362070701926,-3.8544250869792727,False,False,s4g75_source_rich_lane_action_plan_not_endpoint
UGC07608,train,K_scale_tail_spiral,P1_INCLINATION_PROJECTION_REVIEW,NEEDS_INCLINATION_PROJECTION_REVIEW,SPECIFICITY_SURVIVES_PROJECTION_SCALE_REPAIR_NEEDED,NED_NEDD;S4G;SPARC_METADATA,"review inclination, distance uncertainty, and projection caveats before using scale-sensitive readout",projection-safety gate for low-inclination or distance-caveated rows,-35.5602969283881,0.6990896965902351,4.142692467323307,False,False,s4g75_source_rich_lane_action_plan_not_endpoint
UGC09992,train,K_scale_tail_spiral,P1_INCLINATION_PROJECTION_REVIEW,NEEDS_INCLINATION_PROJECTION_REVIEW,SPECIFICITY_TRANSFERS_TO_BOTH_BASELINES,NED_NEDD;S4G;SPARC_METADATA,"review inclination, distance uncertainty, and projection caveats before using scale-sensitive readout",projection-safety gate for low-inclination or distance-caveated rows,-37.47181912576471,-0.950559669672696,-3.880832735613287,False,False,s4g75_source_rich_lane_action_plan_not_endpoint
UGC10310,train,K_scale_tail_spiral,P1_INCLINATION_PROJECTION_REVIEW,NEEDS_INCLINATION_PROJECTION_REVIEW,SPECIFICITY_PARTLY_TRANSFERS_TO_BASELINES,NED_NEDD;S4G;SPARC_METADATA,"review inclination, distance uncertainty, and projection caveats before using scale-sensitive readout",projection-safety gate for low-inclination or distance-caveated rows,-20.915399467429836,0.0243941317204843,-1.9743294643194345,False,False,s4g75_source_rich_lane_action_plan_not_endpoint
UGC12732,train,K_scale_tail_spiral,P1_INCLINATION_PROJECTION_REVIEW,NEEDS_INCLINATION_PROJECTION_REVIEW,SPECIFICITY_SURVIVES_PROJECTION_SCALE_REPAIR_NEEDED,NED_NEDD;S4G;SPARC_METADATA,"review inclination, distance uncertainty, and projection caveats before using scale-sensitive readout",projection-safety gate for low-inclination or distance-caveated rows,-12.773312794755611,0.4840455815042688,1.3835970050715138,False,False,s4g75_source_rich_lane_action_plan_not_endpoint
NGC0289,train,K_thick_flared,P1_VERTICAL_GEOMETRY_SOURCE,NEEDS_VERTICAL_GEOMETRY_SOURCE,SPECIFICITY_PARTLY_TRANSFERS_TO_BASELINES,S4G;DustPedia;HI_SURVEYS;PHANGS_IF_AVAILABLE,"seek vertical thickness, flare, warp, edge/projection, or gas-plane evidence for thick/flared readout support",source-native support for thick/flared orientation and vertical damping,-2.425346987181536,4.392421207518909,-5.754616631014034,False,False,s4g75_source_rich_lane_action_plan_not_endpoint
NGC1090,train,K_thick_flared,P1_VERTICAL_GEOMETRY_SOURCE,NEEDS_VERTICAL_GEOMETRY_SOURCE,SPECIFICITY_SURVIVES_PROJECTION_SCALE_REPAIR_NEEDED,S4G;DustPedia;HI_SURVEYS;PHANGS_IF_AVAILABLE,"seek vertical thickness, flare, warp, edge/projection, or gas-plane evidence for thick/flared readout support",source-native support for thick/flared orientation and vertical damping,-3.918841555996119,5.657017705289343,2.152693624847167,False,False,s4g75_source_rich_lane_action_plan_not_endpoint
NGC2903,train,K_thick_flared,P1_VERTICAL_GEOMETRY_SOURCE,NEEDS_VERTICAL_GEOMETRY_SOURCE,SPECIFICITY_SURVIVES_PROJECTION_SCALE_REPAIR_NEEDED,S4G;DustPedia;HI_SURVEYS;PHANGS_IF_AVAILABLE,"seek vertical thickness, flare, warp, edge/projection, or gas-plane evidence for thick/flared readout support",source-native support for thick/flared orientation and vertical damping,-0.7797398928504435,0.6295366936309534,0.0286790837713084,False,False,s4g75_source_rich_lane_action_plan_not_endpoint
NGC2976,train,K_thick_flared,P1_VERTICAL_GEOMETRY_SOURCE,NEEDS_VERTICAL_GEOMETRY_SOURCE,SPECIFICITY_PARTLY_TRANSFERS_TO_BASELINES,S4G;DustPedia;HI_SURVEYS;PHANGS_IF_AVAILABLE,"seek vertical thickness, flare, warp, edge/projection, or gas-plane evidence for thick/flared readout support",source-native support for thick/flared orientation and vertical damping,-63.17083523978636,0.3785556019228551,-0.1826192952321461,False,False,s4g75_source_rich_lane_action_plan_not_endpoint
NGC3198,train,K_thick_flared,P1_VERTICAL_GEOMETRY_SOURCE,NEEDS_VERTICAL_GEOMETRY_SOURCE,SPECIFICITY_PARTLY_TRANSFERS_TO_BASELINES,S4G;DustPedia;HI_SURVEYS;PHANGS_IF_AVAILABLE,"seek vertical thickness, flare, warp, edge/projection, or gas-plane evidence for thick/flared readout support",source-native support for thick/flared orientation and vertical damping,-5.506124662265268,0.8855384805929969,-2.5895110843621207,False,False,s4g75_source_rich_lane_action_plan_not_endpoint
NGC3521,train,K_thick_flared,P1_VERTICAL_GEOMETRY_SOURCE,NEEDS_VERTICAL_GEOMETRY_SOURCE,SPECIFICITY_SURVIVES_PROJECTION_SCALE_REPAIR_NEEDED,S4G;DustPedia;HI_SURVEYS;PHANGS_IF_AVAILABLE,"seek vertical thickness, flare, warp, edge/projection, or gas-plane evidence for thick/flared readout support",source-native support for thick/flared orientation and vertical damping,-8.88058709417761,0.5517493407043021,0.8477860946752163,False,False,s4g75_source_rich_lane_action_plan_not_endpoint
NGC3769,train,K_thick_flared,P1_VERTICAL_GEOMETRY_SOURCE,NEEDS_VERTICAL_GEOMETRY_SOURCE,SPECIFICITY_TRANSFERS_TO_BOTH_BASELINES,S4G;DustPedia;HI_SURVEYS;PHANGS_IF_AVAILABLE,"seek vertical thickness, flare, warp, edge/projection, or gas-plane evidence for thick/flared readout support",source-native support for thick/flared orientation and vertical damping,-5.3051641976407975,-1.1315342929194347,-5.856750285483699,False,False,s4g75_source_rich_lane_action_plan_not_endpoint
NGC3877,train,K_thick_flared,P1_VERTICAL_GEOMETRY_SOURCE,NEEDS_VERTICAL_GEOMETRY_SOURCE,SPECIFICITY_SURVIVES_PROJECTION_SCALE_REPAIR_NEEDED,S4G;DustPedia;HI_SURVEYS;PHANGS_IF_AVAILABLE,"seek vertical thickness, flare, warp, edge/projection, or gas-plane evidence for thick/flared readout support",source-native support for thick/flared orientation and vertical damping,-6.9670360645068605,1.701371480515384,0.2020361967100967,False,False,s4g75_source_rich_lane_action_plan_not_endpoint
NGC3893,train,K_thick_flared,P1_VERTICAL_GEOMETRY_SOURCE,NEEDS_VERTICAL_GEOMETRY_SOURCE,SPECIFICITY_PARTLY_TRANSFERS_TO_BASELINES,S4G;DustPedia;HI_SURVEYS;PHANGS_IF_AVAILABLE,"seek vertical thickness, flare, warp, edge/projection, or gas-plane evidence for thick/flared readout support",source-native support for thick/flared orientation and vertical damping,-1.574653336934599,-0.3077113141601151,0.2305153296459288,False,False,s4g75_source_rich_lane_action_plan_not_endpoint
NGC3953,train,K_thick_flared,P1_VERTICAL_GEOMETRY_SOURCE,NEEDS_VERTICAL_GEOMETRY_SOURCE,SPECIFICITY_SURVIVES_PROJECTION_SCALE_REPAIR_NEEDED,S4G;DustPedia;HI_SURVEYS;PHANGS_IF_AVAILABLE,"seek vertical thickness, flare, warp, edge/projection, or gas-plane evidence for thick/flared readout support",source-native support for thick/flared orientation and vertical damping,-3.0192284093678285,2.5091091855056327,2.615441572803629,False,False,s4g75_source_rich_lane_action_plan_not_endpoint
NGC3992,train,K_thick_flared,P1_VERTICAL_GEOMETRY_SOURCE,NEEDS_VERTICAL_GEOMETRY_SOURCE,NO_SPECIFICITY_NO_BASELINE_TRANSFER,S4G;DustPedia;HI_SURVEYS;PHANGS_IF_AVAILABLE,"seek vertical thickness, flare, warp, edge/projection, or gas-plane evidence for thick/flared readout support",source-native support for thick/flared orientation and vertical damping,1.5444565352422934,-3.868117904463524,-0.7775225775983223,False,False,s4g75_source_rich_lane_action_plan_not_endpoint
NGC4051,train,K_thick_flared,P1_VERTICAL_GEOMETRY_SOURCE,NEEDS_VERTICAL_GEOMETRY_SOURCE,SPECIFICITY_SURVIVES_PROJECTION_SCALE_REPAIR_NEEDED,S4G;DustPedia;HI_SURVEYS;PHANGS_IF_AVAILABLE,"seek vertical thickness, flare, warp, edge/projection, or gas-plane evidence for thick/flared readout support",source-native support for thick/flared orientation and vertical damping,-8.44593993968185,5.30362506766993,3.1013904100887686,False,False,s4g75_source_rich_lane_action_plan_not_endpoint
NGC4085,train,K_thick_flared,P1_VERTICAL_GEOMETRY_SOURCE,NEEDS_VERTICAL_GEOMETRY_SOURCE,SPECIFICITY_SURVIVES_PROJECTION_SCALE_REPAIR_NEEDED,S4G;DustPedia;HI_SURVEYS;PHANGS_IF_AVAILABLE,"seek vertical thickness, flare, warp, edge/projection, or gas-plane evidence for thick/flared readout support",source-native support for thick/flared orientation and vertical damping,-17.093777198873102,2.2866726533748647,0.4940046205993695,False,False,s4g75_source_rich_lane_action_plan_not_endpoint
NGC4100,train,K_thick_flared,P1_VERTICAL_GEOMETRY_SOURCE,NEEDS_VERTICAL_GEOMETRY_SOURCE,SPECIFICITY_TRANSFERS_TO_BOTH_BASELINES,S4G;DustPedia;HI_SURVEYS;PHANGS_IF_AVAILABLE,"seek vertical thickness, flare, warp, edge/projection, or gas-plane evidence for thick/flared readout support",source-native support for thick/flared orientation and vertical damping,-0.5385634536658319,-1.00004624806426,-0.0739718479006956,False,False,s4g75_source_rich_lane_action_plan_not_endpoint
NGC4157,train,K_thick_flared,P1_VERTICAL_GEOMETRY_SOURCE,NEEDS_VERTICAL_GEOMETRY_SOURCE,SPECIFICITY_SURVIVES_PROJECTION_SCALE_REPAIR_NEEDED,S4G;DustPedia;HI_SURVEYS;PHANGS_IF_AVAILABLE,"seek vertical thickness, flare, warp, edge/projection, or gas-plane evidence for thick/flared readout support",source-native support for thick/flared orientation and vertical damping,-3.273084120207266,5.315990451835553,2.0517645543829808,False,False,s4g75_source_rich_lane_action_plan_not_endpoint
NGC5055,train,K_thick_flared,P1_VERTICAL_GEOMETRY_SOURCE,NEEDS_VERTICAL_GEOMETRY_SOURCE,SPECIFICITY_SURVIVES_PROJECTION_SCALE_REPAIR_NEEDED,S4G;DustPedia;HI_SURVEYS;PHANGS_IF_AVAILABLE,"seek vertical thickness, flare, warp, edge/projection, or gas-plane evidence for thick/flared readout support",source-native support for thick/flared orientation and vertical damping,-2.4728898413066283,12.434663308736727,6.2528747150421715,False,False,s4g75_source_rich_lane_action_plan_not_endpoint
NGC5371,train,K_thick_flared,P1_VERTICAL_GEOMETRY_SOURCE,NEEDS_VERTICAL_GEOMETRY_SOURCE,SPECIFICITY_SURVIVES_PROJECTION_SCALE_REPAIR_NEEDED,S4G;DustPedia;HI_SURVEYS;PHANGS_IF_AVAILABLE,"seek vertical thickness, flare, warp, edge/projection, or gas-plane evidence for thick/flared readout support",source-native support for thick/flared orientation and vertical damping,-2.268836596379998,9.00728183971723,5.801306253059032,False,False,s4g75_source_rich_lane_action_plan_not_endpoint
NGC7793,train,K_exponential_disk,P2_SOURCE_NORMALIZATION_REVIEW,NO_PROJECTION_SCALE_REPAIR_REQUIRED,SPECIFICITY_SURVIVES_NORMALIZATION_WEAK,S4G;SPARC_BARYONIC;HI_SURVEYS,inspect source-normalization inputs after projection/scale-clean status; do not tune from endpoint residuals,normalization-law stress test rather than source acquisition,-28.974063017415357,1.375800958075038,1.0413100202003367,False,False,s4g75_source_rich_lane_action_plan_not_endpoint
UGC06399,train,K_scale_tail_spiral,P2_SOURCE_NORMALIZATION_REVIEW,NO_PROJECTION_SCALE_REPAIR_REQUIRED,SPECIFICITY_SURVIVES_NORMALIZATION_WEAK,S4G;SPARC_BARYONIC;HI_SURVEYS,inspect source-normalization inputs after projection/scale-clean status; do not tune from endpoint residuals,normalization-law stress test rather than source acquisition,-22.314606914231856,1.3818220289406271,3.945282617546504,False,False,s4g75_source_rich_lane_action_plan_not_endpoint
UGC06667,train,K_scale_tail_spiral,P2_SOURCE_NORMALIZATION_REVIEW,NO_PROJECTION_SCALE_REPAIR_REQUIRED,SPECIFICITY_SURVIVES_NORMALIZATION_WEAK,S4G;SPARC_BARYONIC;HI_SURVEYS,inspect source-normalization inputs after projection/scale-clean status; do not tune from endpoint residuals,normalization-law stress test rather than source acquisition,-17.677576305737265,0.8788455808943532,5.941811397299567,False,False,s4g75_source_rich_lane_action_plan_not_endpoint
