galaxy,split,coarse_formula_family,dominant_intake_family,dominant_evidence_status,n_nonzero_source_components,source_supported_components,proxy_or_missing_components,component_gate,normalization_status,normalization_candidate_present,proxy_gate_status,orientation_status,memory_status,memory_projection_status,freeze_status,endpoint_scores_computed,endpoint_freeze_allowed,claim_boundary
NGC3949,holdout,K_thick_flared,K_compact_finite,SOURCE_CANDIDATE_COMPACT_READY,3,K_compact_finite;K_scale_tail_spiral;K_exponential_disk,,SOURCE_CANDIDATES_PRESENT,FORMULA_CONDITIONAL_NORMALIZATION_CANDIDATE_PRESENT_NOT_ACCEPTED,True,RESOLVED_DERIVED_COARSE_GRID_PROXY_ADMISSION_PRODUCT,ORIENTATION_PROMOTION_READY_FOR_ACTIVE_COMPONENTS,MEMORY_PROXY_AVAILABLE_NOT_ACCEPTED,BLOCKED_PROJECTION_ACCEPTANCE,FREEZE_BLOCKED_PROJECTION_ACCEPTANCE_NOT_ACCEPTED,False,False,l2_weight_freeze_readiness_audit_not_endpoint
NGC3972,holdout,K_thick_flared,K_compact_finite,SOURCE_CANDIDATE_COMPACT_READY,4,K_compact_finite;K_scale_tail_spiral;K_exponential_disk,K_thick_flared,COMPONENT_PROXY_OR_MISSING,FORMULA_CONDITIONAL_NORMALIZATION_CANDIDATE_PRESENT_NOT_ACCEPTED,True,RESOLVED_DERIVED_COARSE_GRID_PROXY_ADMISSION_PRODUCT,ORIENTATION_PROMOTION_BLOCKED_FOR_ACTIVE_COMPONENTS,MEMORY_PROXY_AVAILABLE_NOT_ACCEPTED,BLOCKED_ORIENTATION_NOT_READY,FREEZE_BLOCKED_ORIENTATION_PROMOTION_NOT_ACCEPTED,False,False,l2_weight_freeze_readiness_audit_not_endpoint
NGC4013,holdout,K_compact_finite,K_compact_finite,SOURCE_CANDIDATE_COMPACT_READY,4,K_compact_finite;K_scale_tail_spiral;K_exponential_disk,K_thick_flared,COMPONENT_PROXY_OR_MISSING,FORMULA_CONDITIONAL_NORMALIZATION_CANDIDATE_PRESENT_NOT_ACCEPTED,True,RESOLVED_DERIVED_COARSE_GRID_PROXY_ADMISSION_PRODUCT,ORIENTATION_PROMOTION_BLOCKED_FOR_ACTIVE_COMPONENTS,MEMORY_PROXY_AVAILABLE_NOT_ACCEPTED,BLOCKED_ORIENTATION_NOT_READY,FREEZE_BLOCKED_ORIENTATION_PROMOTION_NOT_ACCEPTED,False,False,l2_weight_freeze_readiness_audit_not_endpoint
NGC4088,holdout,K_thick_flared,K_scale_tail_spiral,SOURCE_CANDIDATE_HI_TAIL_READY,3,K_compact_finite;K_scale_tail_spiral;K_exponential_disk,,SOURCE_CANDIDATES_PRESENT,FORMULA_CONDITIONAL_NORMALIZATION_CANDIDATE_PRESENT_NOT_ACCEPTED,True,RESOLVED_DERIVED_COARSE_GRID_PROXY_ADMISSION_PRODUCT,ORIENTATION_PROMOTION_READY_FOR_ACTIVE_COMPONENTS,MEMORY_PROXY_AVAILABLE_NOT_ACCEPTED,BLOCKED_PROJECTION_ACCEPTANCE,FREEZE_BLOCKED_PROJECTION_ACCEPTANCE_NOT_ACCEPTED,False,False,l2_weight_freeze_readiness_audit_not_endpoint
NGC4183,holdout,K_exponential_disk,K_exponential_disk,SOURCE_CANDIDATE_S4G_SCALE_READY,4,K_compact_finite;K_scale_tail_spiral;K_exponential_disk,K_thick_flared,COMPONENT_PROXY_OR_MISSING,FORMULA_CONDITIONAL_NORMALIZATION_CANDIDATE_PRESENT_NOT_ACCEPTED,True,RESOLVED_DERIVED_COARSE_GRID_PROXY_ADMISSION_PRODUCT,ORIENTATION_PROMOTION_BLOCKED_FOR_ACTIVE_COMPONENTS,MEMORY_PROXY_AVAILABLE_NOT_ACCEPTED,BLOCKED_ORIENTATION_NOT_READY,FREEZE_BLOCKED_ORIENTATION_PROMOTION_NOT_ACCEPTED,False,False,l2_weight_freeze_readiness_audit_not_endpoint
NGC4214,holdout,K_scale_tail_spiral,K_exponential_disk,SOURCE_CANDIDATE_S4G_SCALE_READY,3,K_compact_finite;K_scale_tail_spiral;K_exponential_disk,,SOURCE_CANDIDATES_PRESENT,FORMULA_CONDITIONAL_NORMALIZATION_CANDIDATE_PRESENT_NOT_ACCEPTED,True,RESOLVED_DERIVED_COARSE_GRID_PROXY_ADMISSION_PRODUCT,ORIENTATION_PROMOTION_READY_FOR_ACTIVE_COMPONENTS,MEMORY_PROXY_AVAILABLE_NOT_ACCEPTED,BLOCKED_PROJECTION_ACCEPTANCE,FREEZE_BLOCKED_PROJECTION_ACCEPTANCE_NOT_ACCEPTED,False,False,l2_weight_freeze_readiness_audit_not_endpoint
NGC4389,holdout,K_thick_flared,K_exponential_disk,SOURCE_CANDIDATE_S4G_SCALE_READY,2,K_scale_tail_spiral;K_exponential_disk,,SOURCE_CANDIDATES_PRESENT,FORMULA_CONDITIONAL_NORMALIZATION_CANDIDATE_PRESENT_NOT_ACCEPTED,True,RESOLVED_DERIVED_COARSE_GRID_PROXY_ADMISSION_PRODUCT,ORIENTATION_PROMOTION_READY_FOR_ACTIVE_COMPONENTS,MEMORY_PROXY_AVAILABLE_NOT_ACCEPTED,BLOCKED_PROJECTION_ACCEPTANCE,FREEZE_BLOCKED_PROJECTION_ACCEPTANCE_NOT_ACCEPTED,False,False,l2_weight_freeze_readiness_audit_not_endpoint
NGC5907,holdout,K_thick_flared,K_exponential_disk,SOURCE_CANDIDATE_S4G_SCALE_READY,4,K_compact_finite;K_scale_tail_spiral;K_exponential_disk,K_thick_flared,COMPONENT_PROXY_OR_MISSING,FORMULA_CONDITIONAL_NORMALIZATION_CANDIDATE_PRESENT_NOT_ACCEPTED,True,RESOLVED_DERIVED_COARSE_GRID_PROXY_ADMISSION_PRODUCT,ORIENTATION_PROMOTION_BLOCKED_FOR_ACTIVE_COMPONENTS,MEMORY_PROXY_AVAILABLE_NOT_ACCEPTED,BLOCKED_ORIENTATION_NOT_READY,FREEZE_BLOCKED_ORIENTATION_PROMOTION_NOT_ACCEPTED,False,False,l2_weight_freeze_readiness_audit_not_endpoint
NGC5985,holdout,K_compact_finite,K_scale_tail_spiral,SOURCE_CANDIDATE_HI_TAIL_READY,3,K_compact_finite;K_scale_tail_spiral;K_exponential_disk,,SOURCE_CANDIDATES_PRESENT,FORMULA_CONDITIONAL_NORMALIZATION_CANDIDATE_PRESENT_NOT_ACCEPTED,True,RESOLVED_DERIVED_COARSE_GRID_PROXY_ADMISSION_PRODUCT,ORIENTATION_PROMOTION_READY_FOR_ACTIVE_COMPONENTS,MEMORY_PROXY_AVAILABLE_NOT_ACCEPTED,BLOCKED_PROJECTION_ACCEPTANCE,FREEZE_BLOCKED_PROJECTION_ACCEPTANCE_NOT_ACCEPTED,False,False,l2_weight_freeze_readiness_audit_not_endpoint
NGC6789,holdout,K_scale_tail_spiral,K_thick_flared,PROXY_OR_PARTIAL_SOURCE_ONLY,2,K_scale_tail_spiral,K_thick_flared,COMPONENT_PROXY_OR_MISSING,FORMULA_CONDITIONAL_NORMALIZATION_CANDIDATE_PRESENT_NOT_ACCEPTED,True,RESOLVED_DERIVED_COARSE_GRID_PROXY_ADMISSION_PRODUCT,ORIENTATION_PROMOTION_BLOCKED_FOR_ACTIVE_COMPONENTS,MEMORY_PROXY_AVAILABLE_NOT_ACCEPTED,BLOCKED_ORIENTATION_NOT_READY,FREEZE_BLOCKED_ORIENTATION_PROMOTION_NOT_ACCEPTED,False,False,l2_weight_freeze_readiness_audit_not_endpoint
NGC6946,holdout,K_compact_finite,K_scale_tail_spiral,SOURCE_CANDIDATE_HI_TAIL_READY,2,K_compact_finite;K_scale_tail_spiral,,SOURCE_CANDIDATES_PRESENT,FORMULA_CONDITIONAL_NORMALIZATION_CANDIDATE_PRESENT_NOT_ACCEPTED,True,RESOLVED_DERIVED_COARSE_GRID_PROXY_ADMISSION_PRODUCT,ORIENTATION_PROMOTION_READY_FOR_ACTIVE_COMPONENTS,MEMORY_PROXY_AVAILABLE_NOT_ACCEPTED,BLOCKED_PROJECTION_ACCEPTANCE,FREEZE_BLOCKED_PROJECTION_ACCEPTANCE_NOT_ACCEPTED,False,False,l2_weight_freeze_readiness_audit_not_endpoint
NGC7331,holdout,K_thick_flared,K_scale_tail_spiral,SOURCE_CANDIDATE_HI_TAIL_READY,3,K_compact_finite;K_scale_tail_spiral,K_thick_flared,COMPONENT_PROXY_OR_MISSING,FORMULA_CONDITIONAL_NORMALIZATION_CANDIDATE_PRESENT_NOT_ACCEPTED,True,RESOLVED_DERIVED_COARSE_GRID_PROXY_ADMISSION_PRODUCT,ORIENTATION_PROMOTION_BLOCKED_FOR_ACTIVE_COMPONENTS,MEMORY_PROXY_AVAILABLE_NOT_ACCEPTED,BLOCKED_ORIENTATION_NOT_READY,FREEZE_BLOCKED_ORIENTATION_PROMOTION_NOT_ACCEPTED,False,False,l2_weight_freeze_readiness_audit_not_endpoint
UGC00731,holdout,K_scale_tail_spiral,K_thick_flared,PROXY_OR_PARTIAL_SOURCE_ONLY,2,K_scale_tail_spiral,K_thick_flared,COMPONENT_PROXY_OR_MISSING,FORMULA_CONDITIONAL_NORMALIZATION_CANDIDATE_PRESENT_NOT_ACCEPTED,True,RESOLVED_DERIVED_COARSE_GRID_PROXY_ADMISSION_PRODUCT,ORIENTATION_PROMOTION_BLOCKED_FOR_ACTIVE_COMPONENTS,MEMORY_PROXY_AVAILABLE_NOT_ACCEPTED,BLOCKED_ORIENTATION_NOT_READY,FREEZE_BLOCKED_ORIENTATION_PROMOTION_NOT_ACCEPTED,False,False,l2_weight_freeze_readiness_audit_not_endpoint
UGC00891,holdout,K_scale_tail_spiral,K_exponential_disk,SOURCE_CANDIDATE_S4G_SCALE_READY,3,K_scale_tail_spiral;K_exponential_disk,K_thick_flared,COMPONENT_PROXY_OR_MISSING,FORMULA_CONDITIONAL_NORMALIZATION_CANDIDATE_PRESENT_NOT_ACCEPTED,True,RESOLVED_DERIVED_COARSE_GRID_PROXY_ADMISSION_PRODUCT,ORIENTATION_PROMOTION_BLOCKED_FOR_ACTIVE_COMPONENTS,MEMORY_PROXY_AVAILABLE_NOT_ACCEPTED,BLOCKED_ORIENTATION_NOT_READY,FREEZE_BLOCKED_ORIENTATION_PROMOTION_NOT_ACCEPTED,False,False,l2_weight_freeze_readiness_audit_not_endpoint
UGC02023,holdout,K_scale_tail_spiral,K_scale_tail_spiral,SOURCE_CANDIDATE_HI_TAIL_READY,1,K_scale_tail_spiral,,SOURCE_CANDIDATES_PRESENT,FORMULA_CONDITIONAL_NORMALIZATION_CANDIDATE_PRESENT_NOT_ACCEPTED,True,RESOLVED_DERIVED_COARSE_GRID_PROXY_ADMISSION_PRODUCT,ORIENTATION_PROMOTION_READY_FOR_ACTIVE_COMPONENTS,MEMORY_PROXY_AVAILABLE_NOT_ACCEPTED,BLOCKED_PROJECTION_ACCEPTANCE,FREEZE_BLOCKED_PROJECTION_ACCEPTANCE_NOT_ACCEPTED,False,False,l2_weight_freeze_readiness_audit_not_endpoint
UGC02259,holdout,K_exponential_disk,K_thick_flared,PROXY_OR_PARTIAL_SOURCE_ONLY,2,K_scale_tail_spiral,K_thick_flared,COMPONENT_PROXY_OR_MISSING,FORMULA_CONDITIONAL_NORMALIZATION_CANDIDATE_PRESENT_NOT_ACCEPTED,True,RESOLVED_DERIVED_COARSE_GRID_PROXY_ADMISSION_PRODUCT,ORIENTATION_PROMOTION_BLOCKED_FOR_ACTIVE_COMPONENTS,MEMORY_PROXY_AVAILABLE_NOT_ACCEPTED,BLOCKED_ORIENTATION_NOT_READY,FREEZE_BLOCKED_ORIENTATION_PROMOTION_NOT_ACCEPTED,False,False,l2_weight_freeze_readiness_audit_not_endpoint
UGC03580,holdout,K_compact_finite,K_scale_tail_spiral,SOURCE_CANDIDATE_HI_TAIL_READY,1,K_scale_tail_spiral,,SOURCE_CANDIDATES_PRESENT,FORMULA_CONDITIONAL_NORMALIZATION_CANDIDATE_PRESENT_NOT_ACCEPTED,True,RESOLVED_DERIVED_COARSE_GRID_PROXY_ADMISSION_PRODUCT,ORIENTATION_PROMOTION_READY_FOR_ACTIVE_COMPONENTS,MEMORY_PROXY_AVAILABLE_NOT_ACCEPTED,BLOCKED_PROJECTION_ACCEPTANCE,FREEZE_BLOCKED_PROJECTION_ACCEPTANCE_NOT_ACCEPTED,False,False,l2_weight_freeze_readiness_audit_not_endpoint
UGC04305,holdout,K_scale_tail_spiral,K_exponential_disk,SOURCE_CANDIDATE_S4G_SCALE_READY,4,K_compact_finite;K_scale_tail_spiral;K_exponential_disk,K_thick_flared,COMPONENT_PROXY_OR_MISSING,FORMULA_CONDITIONAL_NORMALIZATION_CANDIDATE_PRESENT_NOT_ACCEPTED,True,RESOLVED_DERIVED_COARSE_GRID_PROXY_ADMISSION_PRODUCT,ORIENTATION_PROMOTION_BLOCKED_FOR_ACTIVE_COMPONENTS,MEMORY_PROXY_AVAILABLE_NOT_ACCEPTED,BLOCKED_ORIENTATION_NOT_READY,FREEZE_BLOCKED_ORIENTATION_PROMOTION_NOT_ACCEPTED,False,False,l2_weight_freeze_readiness_audit_not_endpoint
UGC04499,holdout,K_scale_tail_spiral,K_exponential_disk,SOURCE_CANDIDATE_S4G_SCALE_READY,3,K_scale_tail_spiral;K_exponential_disk,K_thick_flared,COMPONENT_PROXY_OR_MISSING,FORMULA_CONDITIONAL_NORMALIZATION_CANDIDATE_PRESENT_NOT_ACCEPTED,True,RESOLVED_DERIVED_COARSE_GRID_PROXY_ADMISSION_PRODUCT,ORIENTATION_PROMOTION_BLOCKED_FOR_ACTIVE_COMPONENTS,MEMORY_PROXY_AVAILABLE_NOT_ACCEPTED,BLOCKED_ORIENTATION_NOT_READY,FREEZE_BLOCKED_ORIENTATION_PROMOTION_NOT_ACCEPTED,False,False,l2_weight_freeze_readiness_audit_not_endpoint
UGC05414,holdout,K_scale_tail_spiral,K_thick_flared,PROXY_OR_PARTIAL_SOURCE_ONLY,2,K_scale_tail_spiral,K_thick_flared,COMPONENT_PROXY_OR_MISSING,FORMULA_CONDITIONAL_NORMALIZATION_CANDIDATE_PRESENT_NOT_ACCEPTED,True,RESOLVED_DERIVED_COARSE_GRID_PROXY_ADMISSION_PRODUCT,ORIENTATION_PROMOTION_BLOCKED_FOR_ACTIVE_COMPONENTS,MEMORY_PROXY_AVAILABLE_NOT_ACCEPTED,BLOCKED_ORIENTATION_NOT_READY,FREEZE_BLOCKED_ORIENTATION_PROMOTION_NOT_ACCEPTED,False,False,l2_weight_freeze_readiness_audit_not_endpoint
UGC05716,holdout,K_scale_tail_spiral,K_thick_flared,PROXY_OR_PARTIAL_SOURCE_ONLY,2,K_scale_tail_spiral,K_thick_flared,COMPONENT_PROXY_OR_MISSING,FORMULA_CONDITIONAL_NORMALIZATION_CANDIDATE_PRESENT_NOT_ACCEPTED,True,RESOLVED_DERIVED_COARSE_GRID_PROXY_ADMISSION_PRODUCT,ORIENTATION_PROMOTION_BLOCKED_FOR_ACTIVE_COMPONENTS,MEMORY_PROXY_AVAILABLE_NOT_ACCEPTED,BLOCKED_ORIENTATION_NOT_READY,FREEZE_BLOCKED_ORIENTATION_PROMOTION_NOT_ACCEPTED,False,False,l2_weight_freeze_readiness_audit_not_endpoint
UGC05829,holdout,K_scale_tail_spiral,K_exponential_disk,SOURCE_CANDIDATE_S4G_SCALE_READY,3,K_scale_tail_spiral;K_exponential_disk,K_thick_flared,COMPONENT_PROXY_OR_MISSING,FORMULA_CONDITIONAL_NORMALIZATION_CANDIDATE_PRESENT_NOT_ACCEPTED,True,RESOLVED_DERIVED_COARSE_GRID_PROXY_ADMISSION_PRODUCT,ORIENTATION_PROMOTION_BLOCKED_FOR_ACTIVE_COMPONENTS,MEMORY_PROXY_AVAILABLE_NOT_ACCEPTED,BLOCKED_ORIENTATION_NOT_READY,FREEZE_BLOCKED_ORIENTATION_PROMOTION_NOT_ACCEPTED,False,False,l2_weight_freeze_readiness_audit_not_endpoint
UGC05986,holdout,K_scale_tail_spiral,K_scale_tail_spiral,SOURCE_CANDIDATE_HI_TAIL_READY,2,K_scale_tail_spiral,K_thick_flared,COMPONENT_PROXY_OR_MISSING,FORMULA_CONDITIONAL_NORMALIZATION_CANDIDATE_PRESENT_NOT_ACCEPTED,True,RESOLVED_DERIVED_COARSE_GRID_PROXY_ADMISSION_PRODUCT,ORIENTATION_PROMOTION_BLOCKED_FOR_ACTIVE_COMPONENTS,MEMORY_PROXY_AVAILABLE_NOT_ACCEPTED,BLOCKED_ORIENTATION_NOT_READY,FREEZE_BLOCKED_ORIENTATION_PROMOTION_NOT_ACCEPTED,False,False,l2_weight_freeze_readiness_audit_not_endpoint
UGC06818,holdout,K_scale_tail_spiral,K_exponential_disk,SOURCE_CANDIDATE_S4G_SCALE_READY,3,K_scale_tail_spiral;K_exponential_disk,K_thick_flared,COMPONENT_PROXY_OR_MISSING,FORMULA_CONDITIONAL_NORMALIZATION_CANDIDATE_PRESENT_NOT_ACCEPTED,True,RESOLVED_DERIVED_COARSE_GRID_PROXY_ADMISSION_PRODUCT,ORIENTATION_PROMOTION_BLOCKED_FOR_ACTIVE_COMPONENTS,MEMORY_PROXY_AVAILABLE_NOT_ACCEPTED,BLOCKED_ORIENTATION_NOT_READY,FREEZE_BLOCKED_ORIENTATION_PROMOTION_NOT_ACCEPTED,False,False,l2_weight_freeze_readiness_audit_not_endpoint
UGC06917,holdout,K_scale_tail_spiral,K_exponential_disk,SOURCE_CANDIDATE_S4G_SCALE_READY,2,K_scale_tail_spiral;K_exponential_disk,,SOURCE_CANDIDATES_PRESENT,FORMULA_CONDITIONAL_NORMALIZATION_CANDIDATE_PRESENT_NOT_ACCEPTED,True,RESOLVED_DERIVED_COARSE_GRID_PROXY_ADMISSION_PRODUCT,ORIENTATION_PROMOTION_READY_FOR_ACTIVE_COMPONENTS,MEMORY_PROXY_AVAILABLE_NOT_ACCEPTED,BLOCKED_MEMORY_HISTORY_ACCEPTANCE,FREEZE_BLOCKED_MEMORY_PROJECTION_NOT_ACCEPTED,False,False,l2_weight_freeze_readiness_audit_not_endpoint
UGC06983,holdout,K_scale_tail_spiral,K_exponential_disk,SOURCE_CANDIDATE_S4G_SCALE_READY,3,K_scale_tail_spiral;K_exponential_disk,K_thick_flared,COMPONENT_PROXY_OR_MISSING,FORMULA_CONDITIONAL_NORMALIZATION_CANDIDATE_PRESENT_NOT_ACCEPTED,True,RESOLVED_DERIVED_COARSE_GRID_PROXY_ADMISSION_PRODUCT,ORIENTATION_PROMOTION_BLOCKED_FOR_ACTIVE_COMPONENTS,MEMORY_PROXY_AVAILABLE_NOT_ACCEPTED,BLOCKED_ORIENTATION_NOT_READY,FREEZE_BLOCKED_ORIENTATION_PROMOTION_NOT_ACCEPTED,False,False,l2_weight_freeze_readiness_audit_not_endpoint
UGC07151,holdout,K_exponential_disk,K_thick_flared,PROXY_OR_PARTIAL_SOURCE_ONLY,2,K_scale_tail_spiral,K_thick_flared,COMPONENT_PROXY_OR_MISSING,FORMULA_CONDITIONAL_NORMALIZATION_CANDIDATE_PRESENT_NOT_ACCEPTED,True,RESOLVED_DERIVED_COARSE_GRID_PROXY_ADMISSION_PRODUCT,ORIENTATION_PROMOTION_BLOCKED_FOR_ACTIVE_COMPONENTS,MEMORY_PROXY_AVAILABLE_NOT_ACCEPTED,BLOCKED_ORIENTATION_NOT_READY,FREEZE_BLOCKED_ORIENTATION_PROMOTION_NOT_ACCEPTED,False,False,l2_weight_freeze_readiness_audit_not_endpoint
UGC07261,holdout,K_exponential_disk,K_scale_tail_spiral,SOURCE_CANDIDATE_HI_TAIL_READY,1,K_scale_tail_spiral,,SOURCE_CANDIDATES_PRESENT,FORMULA_CONDITIONAL_NORMALIZATION_CANDIDATE_PRESENT_NOT_ACCEPTED,True,RESOLVED_DERIVED_COARSE_GRID_PROXY_ADMISSION_PRODUCT,ORIENTATION_PROMOTION_READY_FOR_ACTIVE_COMPONENTS,MEMORY_PROXY_AVAILABLE_NOT_ACCEPTED,BLOCKED_PROJECTION_ACCEPTANCE,FREEZE_BLOCKED_PROJECTION_ACCEPTANCE_NOT_ACCEPTED,False,False,l2_weight_freeze_readiness_audit_not_endpoint
