galaxy,split,formula_family,inclusion_lane,allowed_use,orientation_gate_status,projection_status,memory_status,memory_projection_gate_status,blocked_orientation_components,minimal_acquisition_need,strict_ready,caution_ready,acquisition_required,endpoint_scores_computed,uses_vobs_or_residual,claim_boundary
NGC6789,holdout,K_scale_tail_spiral,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,ORIENTATION_PROMOTION_BLOCKED_FOR_ACTIVE_COMPONENTS,PROJECTION_ACCEPTANCE_READY_RESIDUAL_BLIND,MEMORY_CAUTION_CURRENT_READOUT_CONSISTENT_WITH_SOURCE_FLAGS,BLOCKED_ORIENTATION_NOT_READY,K_thick_flared,needs_source_memory_flag_resolution;needs_vertical_velocity_field_or_warp_flare_source,False,False,True,False,False,inclusion_lane_expansion_audit_not_endpoint
NGC7331,holdout,K_thick_flared,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,ORIENTATION_PROMOTION_BLOCKED_FOR_ACTIVE_COMPONENTS,PROJECTION_BLOCKED_RESIDUAL_BLIND_CAVEAT,MEMORY_BLOCKED_INVERSE_DIAGNOSTIC_NOT_ACCEPTED,BLOCKED_ORIENTATION_NOT_READY,K_thick_flared,needs_projection_geometry_source_review;needs_residual_blind_memory_history_source;needs_vertical_velocity_field_or_warp_flare_source,False,False,True,False,False,inclusion_lane_expansion_audit_not_endpoint
UGC00731,holdout,K_scale_tail_spiral,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,ORIENTATION_PROMOTION_BLOCKED_FOR_ACTIVE_COMPONENTS,PROJECTION_BLOCKED_RESIDUAL_BLIND_CAVEAT,MEMORY_CAUTION_CURRENT_READOUT_CONSISTENT_WITH_SOURCE_FLAGS,BLOCKED_ORIENTATION_NOT_READY,K_thick_flared,needs_distance_quality_or_scale_audit;needs_source_memory_flag_resolution;needs_vertical_velocity_field_or_warp_flare_source,False,False,True,False,False,inclusion_lane_expansion_audit_not_endpoint
UGC00891,holdout,K_scale_tail_spiral,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,ORIENTATION_PROMOTION_BLOCKED_FOR_ACTIVE_COMPONENTS,PROJECTION_BLOCKED_RESIDUAL_BLIND_CAVEAT,MEMORY_BLOCKED_INVERSE_DIAGNOSTIC_NOT_ACCEPTED,BLOCKED_ORIENTATION_NOT_READY,K_thick_flared,needs_distance_quality_or_scale_audit;needs_residual_blind_memory_history_source;needs_vertical_velocity_field_or_warp_flare_source,False,False,True,False,False,inclusion_lane_expansion_audit_not_endpoint
UGC02259,holdout,K_exponential_disk,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,ORIENTATION_PROMOTION_BLOCKED_FOR_ACTIVE_COMPONENTS,PROJECTION_BLOCKED_RESIDUAL_BLIND_CAVEAT,MEMORY_BLOCKED_INVERSE_DIAGNOSTIC_NOT_ACCEPTED,BLOCKED_ORIENTATION_NOT_READY,K_thick_flared,needs_distance_quality_or_scale_audit;needs_residual_blind_memory_history_source;needs_vertical_velocity_field_or_warp_flare_source,False,False,True,False,False,inclusion_lane_expansion_audit_not_endpoint
UGC04305,holdout,K_scale_tail_spiral,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,ORIENTATION_PROMOTION_BLOCKED_FOR_ACTIVE_COMPONENTS,PROJECTION_ACCEPTANCE_READY_RESIDUAL_BLIND,MEMORY_BLOCKED_INVERSE_DIAGNOSTIC_NOT_ACCEPTED,BLOCKED_ORIENTATION_NOT_READY,K_thick_flared,needs_residual_blind_memory_history_source;needs_vertical_velocity_field_or_warp_flare_source,False,False,True,False,False,inclusion_lane_expansion_audit_not_endpoint
UGC04499,holdout,K_scale_tail_spiral,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,ORIENTATION_PROMOTION_BLOCKED_FOR_ACTIVE_COMPONENTS,PROJECTION_BLOCKED_RESIDUAL_BLIND_CAVEAT,MEMORY_BLOCKED_INVERSE_DIAGNOSTIC_NOT_ACCEPTED,BLOCKED_ORIENTATION_NOT_READY,K_thick_flared,needs_distance_quality_or_scale_audit;needs_residual_blind_memory_history_source;needs_vertical_velocity_field_or_warp_flare_source,False,False,True,False,False,inclusion_lane_expansion_audit_not_endpoint
UGC05414,holdout,K_scale_tail_spiral,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,ORIENTATION_PROMOTION_BLOCKED_FOR_ACTIVE_COMPONENTS,PROJECTION_BLOCKED_RESIDUAL_BLIND_CAVEAT,MEMORY_BLOCKED_INVERSE_DIAGNOSTIC_NOT_ACCEPTED,BLOCKED_ORIENTATION_NOT_READY,K_thick_flared,needs_distance_quality_or_scale_audit;needs_residual_blind_memory_history_source;needs_vertical_velocity_field_or_warp_flare_source,False,False,True,False,False,inclusion_lane_expansion_audit_not_endpoint
UGC05716,holdout,K_scale_tail_spiral,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,ORIENTATION_PROMOTION_BLOCKED_FOR_ACTIVE_COMPONENTS,PROJECTION_BLOCKED_RESIDUAL_BLIND_CAVEAT,MEMORY_CAUTION_CURRENT_READOUT_CONSISTENT_WITH_SOURCE_FLAGS,BLOCKED_ORIENTATION_NOT_READY,K_thick_flared,needs_distance_quality_or_scale_audit;needs_source_memory_flag_resolution;needs_vertical_velocity_field_or_warp_flare_source,False,False,True,False,False,inclusion_lane_expansion_audit_not_endpoint
UGC05829,holdout,K_scale_tail_spiral,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,ORIENTATION_PROMOTION_BLOCKED_FOR_ACTIVE_COMPONENTS,PROJECTION_BLOCKED_RESIDUAL_BLIND_CAVEAT,MEMORY_BLOCKED_INVERSE_DIAGNOSTIC_NOT_ACCEPTED,BLOCKED_ORIENTATION_NOT_READY,K_thick_flared,needs_distance_quality_or_scale_audit;needs_projection_or_inclination_audit;needs_residual_blind_memory_history_source;needs_vertical_velocity_field_or_warp_flare_source,False,False,True,False,False,inclusion_lane_expansion_audit_not_endpoint
UGC05986,holdout,K_scale_tail_spiral,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,ORIENTATION_PROMOTION_BLOCKED_FOR_ACTIVE_COMPONENTS,PROJECTION_BLOCKED_RESIDUAL_BLIND_CAVEAT,MEMORY_CAUTION_CURRENT_READOUT_CONSISTENT_WITH_SOURCE_FLAGS,BLOCKED_ORIENTATION_NOT_READY,K_thick_flared,needs_distance_quality_or_scale_audit;needs_source_memory_flag_resolution;needs_vertical_velocity_field_or_warp_flare_source,False,False,True,False,False,inclusion_lane_expansion_audit_not_endpoint
UGC06818,holdout,K_scale_tail_spiral,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,ORIENTATION_PROMOTION_BLOCKED_FOR_ACTIVE_COMPONENTS,PROJECTION_ACCEPTANCE_READY_RESIDUAL_BLIND,MEMORY_BLOCKED_INVERSE_DIAGNOSTIC_NOT_ACCEPTED,BLOCKED_ORIENTATION_NOT_READY,K_thick_flared,needs_residual_blind_memory_history_source;needs_vertical_velocity_field_or_warp_flare_source,False,False,True,False,False,inclusion_lane_expansion_audit_not_endpoint
UGC06983,holdout,K_scale_tail_spiral,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,ORIENTATION_PROMOTION_BLOCKED_FOR_ACTIVE_COMPONENTS,PROJECTION_ACCEPTANCE_READY_RESIDUAL_BLIND,MEMORY_CAUTION_CURRENT_READOUT_CONSISTENT_WITH_SOURCE_FLAGS,BLOCKED_ORIENTATION_NOT_READY,K_thick_flared,needs_source_memory_flag_resolution;needs_vertical_velocity_field_or_warp_flare_source,False,False,True,False,False,inclusion_lane_expansion_audit_not_endpoint
UGC07151,holdout,K_exponential_disk,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,ORIENTATION_PROMOTION_BLOCKED_FOR_ACTIVE_COMPONENTS,PROJECTION_ACCEPTANCE_READY_RESIDUAL_BLIND,MEMORY_NOT_REQUIRED_CURRENT_READOUT_CONSISTENT,BLOCKED_ORIENTATION_NOT_READY,K_thick_flared,needs_vertical_velocity_field_or_warp_flare_source,False,False,True,False,False,inclusion_lane_expansion_audit_not_endpoint
UGC07603,holdout,K_exponential_disk,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,ORIENTATION_PROMOTION_BLOCKED_FOR_ACTIVE_COMPONENTS,PROJECTION_BLOCKED_RESIDUAL_BLIND_CAVEAT,MEMORY_BLOCKED_INVERSE_DIAGNOSTIC_NOT_ACCEPTED,BLOCKED_ORIENTATION_NOT_READY,K_thick_flared,needs_distance_quality_or_scale_audit;needs_residual_blind_memory_history_source;needs_vertical_velocity_field_or_warp_flare_source,False,False,True,False,False,inclusion_lane_expansion_audit_not_endpoint
UGC08699,holdout,K_compact_finite,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,ORIENTATION_PROMOTION_BLOCKED_FOR_ACTIVE_COMPONENTS,PROJECTION_BLOCKED_RESIDUAL_BLIND_CAVEAT,MEMORY_CAUTION_CURRENT_READOUT_CONSISTENT_WITH_SOURCE_FLAGS,BLOCKED_ORIENTATION_NOT_READY,K_thick_flared,needs_distance_quality_or_scale_audit;needs_source_memory_flag_resolution;needs_vertical_velocity_field_or_warp_flare_source,False,False,True,False,False,inclusion_lane_expansion_audit_not_endpoint
UGC12506,holdout,K_exponential_disk,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,ORIENTATION_PROMOTION_BLOCKED_FOR_ACTIVE_COMPONENTS,PROJECTION_ACCEPTANCE_READY_RESIDUAL_BLIND,MEMORY_BLOCKED_INVERSE_DIAGNOSTIC_NOT_ACCEPTED,BLOCKED_ORIENTATION_NOT_READY,K_thick_flared,needs_residual_blind_memory_history_source;needs_vertical_velocity_field_or_warp_flare_source,False,False,True,False,False,inclusion_lane_expansion_audit_not_endpoint
UGCA444,holdout,K_scale_tail_spiral,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,ORIENTATION_PROMOTION_BLOCKED_FOR_ACTIVE_COMPONENTS,PROJECTION_ACCEPTANCE_READY_RESIDUAL_BLIND,MEMORY_BLOCKED_INVERSE_DIAGNOSTIC_NOT_ACCEPTED,BLOCKED_ORIENTATION_NOT_READY,K_thick_flared,needs_residual_blind_memory_history_source;needs_vertical_velocity_field_or_warp_flare_source,False,False,True,False,False,inclusion_lane_expansion_audit_not_endpoint
F561-1,holdout,K_scale_tail_spiral,CAUTION_READY_PROXY_SUPPORTED,support_lane_projection_caveat,ORIENTATION_PROMOTION_READY_FOR_ACTIVE_COMPONENTS,PROJECTION_BLOCKED_RESIDUAL_BLIND_CAVEAT,MEMORY_BLOCKED_INVERSE_DIAGNOSTIC_NOT_ACCEPTED,BLOCKED_PROJECTION_ACCEPTANCE,none,needs_projection_or_inclination_audit;needs_residual_blind_memory_history_source,False,True,False,False,False,inclusion_lane_expansion_audit_not_endpoint
F568-1,holdout,K_thick_flared,CAUTION_READY_PROXY_SUPPORTED,support_lane_projection_caveat,ORIENTATION_PROMOTION_READY_FOR_ACTIVE_COMPONENTS,PROJECTION_BLOCKED_RESIDUAL_BLIND_CAVEAT,MEMORY_BLOCKED_INVERSE_DIAGNOSTIC_NOT_ACCEPTED,BLOCKED_PROJECTION_ACCEPTANCE,none,needs_projection_geometry_source_review;needs_projection_or_inclination_audit;needs_residual_blind_memory_history_source,False,True,False,False,False,inclusion_lane_expansion_audit_not_endpoint
NGC0024,holdout,K_thick_flared,CAUTION_READY_PROXY_SUPPORTED,support_lane_projection_caveat,ORIENTATION_PROMOTION_READY_FOR_ACTIVE_COMPONENTS,PROJECTION_BLOCKED_RESIDUAL_BLIND_CAVEAT,MEMORY_BLOCKED_INVERSE_DIAGNOSTIC_NOT_ACCEPTED,BLOCKED_PROJECTION_ACCEPTANCE,none,needs_projection_geometry_source_review;needs_residual_blind_memory_history_source,False,True,False,False,False,inclusion_lane_expansion_audit_not_endpoint
NGC3726,holdout,K_thick_flared,CAUTION_READY_PROXY_SUPPORTED,support_lane_projection_caveat,ORIENTATION_PROMOTION_READY_FOR_ACTIVE_COMPONENTS,PROJECTION_BLOCKED_RESIDUAL_BLIND_CAVEAT,MEMORY_BLOCKED_INVERSE_DIAGNOSTIC_NOT_ACCEPTED,BLOCKED_PROJECTION_ACCEPTANCE,none,needs_projection_geometry_source_review;needs_residual_blind_memory_history_source,False,True,False,False,False,inclusion_lane_expansion_audit_not_endpoint
NGC3949,holdout,K_thick_flared,CAUTION_READY_PROXY_SUPPORTED,support_lane_projection_caveat,ORIENTATION_PROMOTION_READY_FOR_ACTIVE_COMPONENTS,PROJECTION_BLOCKED_RESIDUAL_BLIND_CAVEAT,MEMORY_BLOCKED_INVERSE_DIAGNOSTIC_NOT_ACCEPTED,BLOCKED_PROJECTION_ACCEPTANCE,none,needs_projection_geometry_source_review;needs_residual_blind_memory_history_source,False,True,False,False,False,inclusion_lane_expansion_audit_not_endpoint
NGC4088,holdout,K_thick_flared,CAUTION_READY_PROXY_SUPPORTED,support_lane_projection_caveat,ORIENTATION_PROMOTION_READY_FOR_ACTIVE_COMPONENTS,PROJECTION_BLOCKED_RESIDUAL_BLIND_CAVEAT,MEMORY_BLOCKED_INVERSE_DIAGNOSTIC_NOT_ACCEPTED,BLOCKED_PROJECTION_ACCEPTANCE,none,needs_projection_geometry_source_review;needs_residual_blind_memory_history_source,False,True,False,False,False,inclusion_lane_expansion_audit_not_endpoint
NGC4214,holdout,K_scale_tail_spiral,CAUTION_READY_PROXY_SUPPORTED,support_lane_projection_caveat,ORIENTATION_PROMOTION_READY_FOR_ACTIVE_COMPONENTS,PROJECTION_BLOCKED_RESIDUAL_BLIND_CAVEAT,MEMORY_CAUTION_CURRENT_READOUT_CONSISTENT_WITH_SOURCE_FLAGS,BLOCKED_PROJECTION_ACCEPTANCE,none,needs_projection_or_inclination_audit;needs_source_memory_flag_resolution,False,True,False,False,False,inclusion_lane_expansion_audit_not_endpoint
NGC4389,holdout,K_thick_flared,CAUTION_READY_PROXY_SUPPORTED,support_lane_projection_caveat,ORIENTATION_PROMOTION_READY_FOR_ACTIVE_COMPONENTS,PROJECTION_BLOCKED_RESIDUAL_BLIND_CAVEAT,MEMORY_BLOCKED_INVERSE_DIAGNOSTIC_NOT_ACCEPTED,BLOCKED_PROJECTION_ACCEPTANCE,none,needs_projection_geometry_source_review;needs_residual_blind_memory_history_source,False,True,False,False,False,inclusion_lane_expansion_audit_not_endpoint
NGC5985,holdout,K_compact_finite,CAUTION_READY_PROXY_SUPPORTED,support_lane_projection_caveat,ORIENTATION_PROMOTION_READY_FOR_ACTIVE_COMPONENTS,PROJECTION_BLOCKED_RESIDUAL_BLIND_CAVEAT,MEMORY_CAUTION_CURRENT_READOUT_CONSISTENT_WITH_SOURCE_FLAGS,BLOCKED_PROJECTION_ACCEPTANCE,none,needs_distance_quality_or_scale_audit;needs_source_memory_flag_resolution,False,True,False,False,False,inclusion_lane_expansion_audit_not_endpoint
NGC6946,holdout,K_compact_finite,CAUTION_READY_PROXY_SUPPORTED,support_lane_projection_caveat,ORIENTATION_PROMOTION_READY_FOR_ACTIVE_COMPONENTS,PROJECTION_BLOCKED_RESIDUAL_BLIND_CAVEAT,MEMORY_BLOCKED_INVERSE_DIAGNOSTIC_NOT_ACCEPTED,BLOCKED_PROJECTION_ACCEPTANCE,none,needs_distance_quality_or_scale_audit;needs_projection_or_inclination_audit;needs_residual_blind_memory_history_source,False,True,False,False,False,inclusion_lane_expansion_audit_not_endpoint
UGC02023,holdout,K_scale_tail_spiral,CAUTION_READY_PROXY_SUPPORTED,support_lane_projection_caveat,ORIENTATION_PROMOTION_READY_FOR_ACTIVE_COMPONENTS,PROJECTION_BLOCKED_RESIDUAL_BLIND_CAVEAT,MEMORY_BLOCKED_INVERSE_DIAGNOSTIC_NOT_ACCEPTED,BLOCKED_PROJECTION_ACCEPTANCE,none,needs_distance_quality_or_scale_audit;needs_manifest_confidence_review;needs_projection_or_inclination_audit;needs_residual_blind_memory_history_source,False,True,False,False,False,inclusion_lane_expansion_audit_not_endpoint
UGC03580,holdout,K_compact_finite,CAUTION_READY_PROXY_SUPPORTED,support_lane_projection_caveat,ORIENTATION_PROMOTION_READY_FOR_ACTIVE_COMPONENTS,PROJECTION_BLOCKED_RESIDUAL_BLIND_CAVEAT,MEMORY_BLOCKED_INVERSE_DIAGNOSTIC_NOT_ACCEPTED,BLOCKED_PROJECTION_ACCEPTANCE,none,needs_distance_quality_or_scale_audit;needs_residual_blind_memory_history_source,False,True,False,False,False,inclusion_lane_expansion_audit_not_endpoint
UGC06917,holdout,K_scale_tail_spiral,CAUTION_READY_PROXY_SUPPORTED,support_lane_memory_history_proxy,ORIENTATION_PROMOTION_READY_FOR_ACTIVE_COMPONENTS,PROJECTION_ACCEPTANCE_READY_RESIDUAL_BLIND,MEMORY_CAUTION_CURRENT_READOUT_CONSISTENT_WITH_SOURCE_FLAGS,BLOCKED_MEMORY_HISTORY_ACCEPTANCE,none,needs_source_memory_flag_resolution,False,True,False,False,False,inclusion_lane_expansion_audit_not_endpoint
UGC07261,holdout,K_exponential_disk,CAUTION_READY_PROXY_SUPPORTED,support_lane_projection_caveat,ORIENTATION_PROMOTION_READY_FOR_ACTIVE_COMPONENTS,PROJECTION_BLOCKED_RESIDUAL_BLIND_CAVEAT,MEMORY_BLOCKED_INVERSE_DIAGNOSTIC_NOT_ACCEPTED,BLOCKED_PROJECTION_ACCEPTANCE,none,needs_distance_quality_or_scale_audit;needs_manifest_confidence_review;needs_projection_or_inclination_audit;needs_residual_blind_memory_history_source,False,True,False,False,False,inclusion_lane_expansion_audit_not_endpoint
UGC07577,holdout,K_scale_tail_spiral,CAUTION_READY_PROXY_SUPPORTED,support_lane_memory_history_proxy,ORIENTATION_PROMOTION_READY_FOR_ACTIVE_COMPONENTS,PROJECTION_ACCEPTANCE_READY_RESIDUAL_BLIND,MEMORY_BLOCKED_INVERSE_DIAGNOSTIC_NOT_ACCEPTED,BLOCKED_MEMORY_HISTORY_ACCEPTANCE,none,needs_residual_blind_memory_history_source,False,True,False,False,False,inclusion_lane_expansion_audit_not_endpoint
UGC11914,holdout,K_compact_finite,CAUTION_READY_PROXY_SUPPORTED,support_lane_projection_caveat,ORIENTATION_PROMOTION_READY_FOR_ACTIVE_COMPONENTS,PROJECTION_BLOCKED_RESIDUAL_BLIND_CAVEAT,MEMORY_CAUTION_CURRENT_READOUT_CONSISTENT_WITH_SOURCE_FLAGS,BLOCKED_PROJECTION_ACCEPTANCE,none,needs_distance_quality_or_scale_audit;needs_projection_or_inclination_audit;needs_source_memory_flag_resolution,False,True,False,False,False,inclusion_lane_expansion_audit_not_endpoint
D512-2,train,K_scale_tail_spiral,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,ORIENTATION_PROMOTION_BLOCKED_FOR_ACTIVE_COMPONENTS,PROJECTION_BLOCKED_RESIDUAL_BLIND_CAVEAT,MEMORY_BLOCKED_INVERSE_DIAGNOSTIC_NOT_ACCEPTED,BLOCKED_ORIENTATION_NOT_READY,K_compact_finite;K_exponential_disk;K_scale_tail_spiral;K_thick_flared,needs_distance_quality_or_scale_audit;needs_residual_blind_memory_history_source;needs_vertical_velocity_field_or_warp_flare_source,False,False,True,False,False,inclusion_lane_expansion_audit_not_endpoint
D564-8,train,K_scale_tail_spiral,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,ORIENTATION_PROMOTION_BLOCKED_FOR_ACTIVE_COMPONENTS,PROJECTION_ACCEPTANCE_READY_RESIDUAL_BLIND,MEMORY_BLOCKED_INVERSE_DIAGNOSTIC_NOT_ACCEPTED,BLOCKED_ORIENTATION_NOT_READY,K_thick_flared,needs_residual_blind_memory_history_source;needs_vertical_velocity_field_or_warp_flare_source,False,False,True,False,False,inclusion_lane_expansion_audit_not_endpoint
D631-7,train,K_scale_tail_spiral,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,ORIENTATION_PROMOTION_BLOCKED_FOR_ACTIVE_COMPONENTS,PROJECTION_ACCEPTANCE_READY_RESIDUAL_BLIND,MEMORY_BLOCKED_INVERSE_DIAGNOSTIC_NOT_ACCEPTED,BLOCKED_ORIENTATION_NOT_READY,K_thick_flared,needs_residual_blind_memory_history_source;needs_vertical_velocity_field_or_warp_flare_source,False,False,True,False,False,inclusion_lane_expansion_audit_not_endpoint
DDO154,train,K_scale_tail_spiral,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,ORIENTATION_PROMOTION_BLOCKED_FOR_ACTIVE_COMPONENTS,PROJECTION_ACCEPTANCE_READY_RESIDUAL_BLIND,MEMORY_CAUTION_CURRENT_READOUT_CONSISTENT_WITH_SOURCE_FLAGS,BLOCKED_ORIENTATION_NOT_READY,K_thick_flared,needs_source_memory_flag_resolution;needs_vertical_velocity_field_or_warp_flare_source,False,False,True,False,False,inclusion_lane_expansion_audit_not_endpoint
DDO161,train,K_scale_tail_spiral,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,ORIENTATION_PROMOTION_BLOCKED_FOR_ACTIVE_COMPONENTS,PROJECTION_BLOCKED_RESIDUAL_BLIND_CAVEAT,MEMORY_BLOCKED_INVERSE_DIAGNOSTIC_NOT_ACCEPTED,BLOCKED_ORIENTATION_NOT_READY,K_thick_flared,needs_distance_quality_or_scale_audit;needs_residual_blind_memory_history_source;needs_vertical_velocity_field_or_warp_flare_source,False,False,True,False,False,inclusion_lane_expansion_audit_not_endpoint
DDO168,train,K_scale_tail_spiral,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,ORIENTATION_PROMOTION_BLOCKED_FOR_ACTIVE_COMPONENTS,PROJECTION_ACCEPTANCE_READY_RESIDUAL_BLIND,MEMORY_BLOCKED_INVERSE_DIAGNOSTIC_NOT_ACCEPTED,BLOCKED_ORIENTATION_NOT_READY,K_thick_flared,needs_residual_blind_memory_history_source;needs_vertical_velocity_field_or_warp_flare_source,False,False,True,False,False,inclusion_lane_expansion_audit_not_endpoint
