galaxy,parent_family,proposed_readout_subfamily,evidence_id,target_field,preferred_source_family,evidence_status,current_evidence,next_action,endpoint_scores_allowed,claim_boundary,source_status,source_title,source_authors_year,source_url,source_evidence,promotion_relevance,endpoint_scores_allowed_external,accepted_label_promoted,claim_boundary_external,matched_evidence_row,external_source_status,post_acquisition_status
NGC4088,K_thick_flared,K_warp_history_coupled,warp_onset,warp onset radius,HI velocity field / outer disk review,SOURCE_BOUND_PARTIAL,NGC4088 targeted warp/history protocol exists,accept warp_onset from independent HI/literature review,False,readout_subfamily_source_evidence_matrix_not_endpoint,,,,,,source still required,,,,,NO_EXTERNAL_SOURCE_HIT_RECORDED,SOURCE_SEARCH_STILL_REQUIRED
NGC4088,K_thick_flared,K_warp_history_coupled,warp_asymmetry,warp or lopsided asymmetry,HI maps/literature,SOURCE_BOUND_PARTIAL,NGC4088 targeted warp/history protocol exists,accept warp_asymmetry from independent HI/literature review,False,readout_subfamily_source_evidence_matrix_not_endpoint,,,,,,source still required,,,,,NO_EXTERNAL_SOURCE_HIT_RECORDED,SOURCE_SEARCH_STILL_REQUIRED
NGC4088,K_thick_flared,K_warp_history_coupled,interaction_history,interaction or morphology-memory evidence,NED/SIMBAD/literature,SOURCE_BOUND_PARTIAL,NGC4088 targeted warp/history protocol exists,accept interaction_history from independent HI/literature review,False,readout_subfamily_source_evidence_matrix_not_endpoint,,,,,,source still required,,,,,NO_EXTERNAL_SOURCE_HIT_RECORDED,SOURCE_SEARCH_STILL_REQUIRED
NGC4088,K_thick_flared,K_warp_history_coupled,epsilon_cross_bound,bounded cross-coupling interval,Tau Core source-bound protocol,SOURCE_BOUND_READY_FOR_DIAGNOSTIC,NGC4088 epsilon_cross locality bound exists,not accepted endpoint; repeat source-bound derivation for more galaxies,False,readout_subfamily_source_evidence_matrix_not_endpoint,,,,,,source still required,,,,,NO_EXTERNAL_SOURCE_HIT_RECORDED,SOURCE_SEARCH_STILL_REQUIRED
NGC4183,K_exponential_disk,K_expdisk_overlay,disk_scale,disk scale radius,S4G/SPARC,ACCEPTED_FIELD_READY,scale_radius_kpc present in accepted manifest,family/subfamily label audit still needed,False,readout_subfamily_source_evidence_matrix_not_endpoint,,,,,,source still required,,,,,NO_EXTERNAL_SOURCE_HIT_RECORDED,SOURCE_SEARCH_STILL_REQUIRED
NGC4183,K_exponential_disk,K_expdisk_overlay,bar_core_projection_history_overlay,overlay type and strength,S4G/NED/SIMBAD/HI/projection review,MISSING_OR_REVIEW_REQUIRED,bar_core_projection_history_overlay requires source review,query/review listed source family before endpoint use,False,readout_subfamily_source_evidence_matrix_not_endpoint,HI_WARP_SAMPLE_CONTEXT_REVIEW_REQUIRED,Warps and lopsidedness in HI disks from WHISP edge-on samples,García-Ruiz et al. 2002 / WHISP source family,https://arxiv.org/abs/1103.4928,"WHISP context reports HI maps, radial HI density profiles, rotation curves, warping and lopsidedness studies for edge-on disk samples",candidate projection/overlay source path for NGC4183; primary paper/table extraction still required,False,False,readout_subfamily_external_source_acquisition_not_endpoint,True,HI_WARP_SAMPLE_CONTEXT_REVIEW_REQUIRED,SOURCE_SEARCH_STILL_REQUIRED
NGC4183,K_exponential_disk,K_expdisk_overlay,clean_disk_rejection_reason,why K_clean_expdisk is insufficient,source review,MISSING_OR_REVIEW_REQUIRED,clean_disk_rejection_reason requires source review,query/review listed source family before endpoint use,False,readout_subfamily_source_evidence_matrix_not_endpoint,,,,,,source still required,,,,,NO_EXTERNAL_SOURCE_HIT_RECORDED,SOURCE_SEARCH_STILL_REQUIRED
NGC5907,K_thick_flared,K_projection_dominated,projection_geometry,inclination/projection/deprojection support,SPARC/S4G/dust lane/velocity field,PROXY_SUPPORT_ONLY,projection-sensitive inclination/caveat present: inc=88.0,needs residual-blind projection review or velocity field,False,readout_subfamily_source_evidence_matrix_not_endpoint,DIRECT_OPTICAL_WARP_CONTEXT_READY_REVIEW_REQUIRED,Surface Photometry of the Warping Edge-on Galaxy NGC 5907,Sasaki 1987,https://academic.oup.com/pasj/article/39/6/849/8078264,surface photometry targets the optical warping of the outer disk and notes tidal interaction relevance,supports projection/warp review; no endpoint label promotion,False,False,readout_subfamily_external_source_acquisition_not_endpoint,True,DIRECT_OPTICAL_WARP_CONTEXT_READY_REVIEW_REQUIRED,REVIEW_READY_NOT_ACCEPTED
NGC5907,K_thick_flared,K_projection_dominated,velocity_field_sanity,non-1D projection audit,HI/PHANGS/literature,MISSING_OR_REVIEW_REQUIRED,velocity_field_sanity requires source review,query/review listed source family before endpoint use,False,readout_subfamily_source_evidence_matrix_not_endpoint,DIRECT_WARP_INTERACTION_CONTEXT_READY_REVIEW_REQUIRED,Ring structure and warp of NGC 5907 -- Interaction with dwarf galaxies,Shang et al. 1998,https://arxiv.org/abs/astro-ph/9806395,edge-on NGC5907 is discussed as a warped galaxy; a dwarf is seen at the tip of the HI warp and in the direction of the warp,supports projection/warp/history audit for K_projection_dominated or warp overlay,False,False,readout_subfamily_external_source_acquisition_not_endpoint,True,DIRECT_WARP_INTERACTION_CONTEXT_READY_REVIEW_REQUIRED,REVIEW_READY_NOT_ACCEPTED
NGC5907,K_thick_flared,K_projection_dominated,vertical_or_warp_source,separate true vertical/warp support from projection,S4G/HI/literature,PROXY_SUPPORT_ONLY,thickness_h_over_rs proxy present,promote with direct vertical/flare/warp source,False,readout_subfamily_source_evidence_matrix_not_endpoint,DIRECT_VERTICAL_CONTEXT_READY_REVIEW_REQUIRED,"The Interstellar Medium and Star Formation in Edge-On Galaxies. II. NGC 4157, 4565, and 5907",Wiegert et al. 2015,https://arxiv.org/abs/1408.5905,"study uses VLA HI, CO, and Spitzer data for vertical gas/stars structure in edge-on NGC5907",candidate source for projection/vertical sanity; needs subfamily-specific extraction,False,False,readout_subfamily_external_source_acquisition_not_endpoint,True,DIRECT_VERTICAL_CONTEXT_READY_REVIEW_REQUIRED,REVIEW_READY_NOT_ACCEPTED
NGC7331,K_thick_flared,K_thick_regular,vertical_scale_or_thickness,accepted thickness or h/rs,edge-on morphology/S4G/literature,PROXY_SUPPORT_ONLY,thickness_h_over_rs proxy present,promote with direct vertical/flare/warp source,False,readout_subfamily_source_evidence_matrix_not_endpoint,DIRECT_VERTICAL_CONTEXT_READY_REVIEW_REQUIRED,Molecular scale height in NGC 7331,Patra 2018,https://arxiv.org/abs/1706.08615,molecular disk projected to edge-on yields an observable thickness estimate around 500 pc,candidate source for K_thick_regular vertical-scale acceptance; needs mapping into h/Rs,False,False,readout_subfamily_external_source_acquisition_not_endpoint,True,DIRECT_VERTICAL_CONTEXT_READY_REVIEW_REQUIRED,REVIEW_READY_NOT_ACCEPTED
NGC7331,K_thick_flared,K_thick_regular,low_warp_asymmetry,absence of warp/history dominance,HI/projection review,MISSING_OR_REVIEW_REQUIRED,low_warp_asymmetry requires source review,query/review listed source family before endpoint use,False,readout_subfamily_source_evidence_matrix_not_endpoint,,,,,,source still required,,,,,NO_EXTERNAL_SOURCE_HIT_RECORDED,SOURCE_SEARCH_STILL_REQUIRED
NGC7331,K_thick_flared,K_thick_regular,projection_safety,projection not dominant,SPARC/S4G/literature,SOURCE_READY_CONTEXT_ONLY,inclination context present: inc=75.0,needs explicit projection-safety acceptance,False,readout_subfamily_source_evidence_matrix_not_endpoint,,,,,,source still required,,,,,NO_EXTERNAL_SOURCE_HIT_RECORDED,SOURCE_SEARCH_STILL_REQUIRED
UGC05716,K_scale_tail_spiral,K_disturbed_outer_tail,hi_radius_mass,MHI_1e9Msun;RHI_kpc,SPARC master table,SOURCE_READY_CONTEXT_ONLY,SPARC HI mass/radius present,needs resolved HI asymmetry/profile for subfamily acceptance,False,readout_subfamily_source_evidence_matrix_not_endpoint,,,,,,source still required,,,,,NO_EXTERNAL_SOURCE_HIT_RECORDED,SOURCE_SEARCH_STILL_REQUIRED
UGC05716,K_scale_tail_spiral,K_disturbed_outer_tail,hi_asymmetry_map,HI asymmetry or tail map,HI surveys / THINGS / LITTLE THINGS / WHISP / literature,MISSING_OR_REVIEW_REQUIRED,hi_asymmetry_map requires source review,query/review listed source family before endpoint use,False,readout_subfamily_source_evidence_matrix_not_endpoint,HI_PROFILE_SOURCE_CANDIDATE_REVIEW_REQUIRED,The rotation curves shapes of late-type dwarf galaxies,Swaters et al. 2009,https://astroweb.case.edu/ssm/papers/AAv505p577.pdf,SPARC-linked source family includes UGC5716/D500-2 context for HI disk inclination/rotation analysis,candidate source for disturbed-tail review; specific HI asymmetry/transition extraction still missing,False,False,readout_subfamily_external_source_acquisition_not_endpoint,True,HI_PROFILE_SOURCE_CANDIDATE_REVIEW_REQUIRED,SOURCE_SEARCH_STILL_REQUIRED
UGC05716,K_scale_tail_spiral,K_disturbed_outer_tail,outer_tail_transition,tail inner/cutoff radius,HI profile or deep optical/IR outer disk,MISSING_OR_REVIEW_REQUIRED,outer_tail_transition requires source review,query/review listed source family before endpoint use,False,readout_subfamily_source_evidence_matrix_not_endpoint,,,,,,source still required,,,,,NO_EXTERNAL_SOURCE_HIT_RECORDED,SOURCE_SEARCH_STILL_REQUIRED
UGC05716,K_scale_tail_spiral,K_disturbed_outer_tail,environment_history,interaction or companion evidence,NED/SIMBAD/literature,MISSING_OR_REVIEW_REQUIRED,environment_history requires source review,query/review listed source family before endpoint use,False,readout_subfamily_source_evidence_matrix_not_endpoint,,,,,,source still required,,,,,NO_EXTERNAL_SOURCE_HIT_RECORDED,SOURCE_SEARCH_STILL_REQUIRED
UGC12506,K_exponential_disk,K_expdisk_overlay,disk_scale,disk scale radius,S4G/SPARC,MISSING,scale_radius_kpc missing,query S4G/NED/decomposition,False,readout_subfamily_source_evidence_matrix_not_endpoint,,,,,,source still required,,,,,NO_EXTERNAL_SOURCE_HIT_RECORDED,SOURCE_SEARCH_STILL_REQUIRED
UGC12506,K_exponential_disk,K_expdisk_overlay,bar_core_projection_history_overlay,overlay type and strength,S4G/NED/SIMBAD/HI/projection review,MISSING_OR_REVIEW_REQUIRED,bar_core_projection_history_overlay requires source review,query/review listed source family before endpoint use,False,readout_subfamily_source_evidence_matrix_not_endpoint,,,,,,source still required,,,,,NO_EXTERNAL_SOURCE_HIT_RECORDED,SOURCE_SEARCH_STILL_REQUIRED
UGC12506,K_exponential_disk,K_expdisk_overlay,clean_disk_rejection_reason,why K_clean_expdisk is insufficient,source review,MISSING_OR_REVIEW_REQUIRED,clean_disk_rejection_reason requires source review,query/review listed source family before endpoint use,False,readout_subfamily_source_evidence_matrix_not_endpoint,,,,,,source still required,,,,,NO_EXTERNAL_SOURCE_HIT_RECORDED,SOURCE_SEARCH_STILL_REQUIRED
