galaxy,parent_family,proposed_readout_subfamily,evidence_id,target_field,preferred_source_family,evidence_status,current_evidence,next_action,endpoint_scores_allowed,claim_boundary
NGC4088,K_thick_flared,K_warp_history_coupled,warp_onset,warp onset radius,HI velocity field / outer disk review,SOURCE_BOUND_PARTIAL,NGC4088 targeted warp/history protocol exists,accept warp_onset from independent HI/literature review,False,readout_subfamily_source_evidence_matrix_not_endpoint
NGC4088,K_thick_flared,K_warp_history_coupled,warp_asymmetry,warp or lopsided asymmetry,HI maps/literature,SOURCE_BOUND_PARTIAL,NGC4088 targeted warp/history protocol exists,accept warp_asymmetry from independent HI/literature review,False,readout_subfamily_source_evidence_matrix_not_endpoint
NGC4088,K_thick_flared,K_warp_history_coupled,interaction_history,interaction or morphology-memory evidence,NED/SIMBAD/literature,SOURCE_BOUND_PARTIAL,NGC4088 targeted warp/history protocol exists,accept interaction_history from independent HI/literature review,False,readout_subfamily_source_evidence_matrix_not_endpoint
NGC4088,K_thick_flared,K_warp_history_coupled,epsilon_cross_bound,bounded cross-coupling interval,Tau Core source-bound protocol,SOURCE_BOUND_READY_FOR_DIAGNOSTIC,NGC4088 epsilon_cross locality bound exists,not accepted endpoint; repeat source-bound derivation for more galaxies,False,readout_subfamily_source_evidence_matrix_not_endpoint
NGC4183,K_exponential_disk,K_expdisk_overlay,disk_scale,disk scale radius,S4G/SPARC,ACCEPTED_FIELD_READY,scale_radius_kpc present in accepted manifest,family/subfamily label audit still needed,False,readout_subfamily_source_evidence_matrix_not_endpoint
NGC4183,K_exponential_disk,K_expdisk_overlay,bar_core_projection_history_overlay,overlay type and strength,S4G/NED/SIMBAD/HI/projection review,MISSING_OR_REVIEW_REQUIRED,bar_core_projection_history_overlay requires source review,query/review listed source family before endpoint use,False,readout_subfamily_source_evidence_matrix_not_endpoint
NGC4183,K_exponential_disk,K_expdisk_overlay,clean_disk_rejection_reason,why K_clean_expdisk is insufficient,source review,MISSING_OR_REVIEW_REQUIRED,clean_disk_rejection_reason requires source review,query/review listed source family before endpoint use,False,readout_subfamily_source_evidence_matrix_not_endpoint
NGC5907,K_thick_flared,K_projection_dominated,projection_geometry,inclination/projection/deprojection support,SPARC/S4G/dust lane/velocity field,PROXY_SUPPORT_ONLY,projection-sensitive inclination/caveat present: inc=88.0,needs residual-blind projection review or velocity field,False,readout_subfamily_source_evidence_matrix_not_endpoint
NGC5907,K_thick_flared,K_projection_dominated,velocity_field_sanity,non-1D projection audit,HI/PHANGS/literature,MISSING_OR_REVIEW_REQUIRED,velocity_field_sanity requires source review,query/review listed source family before endpoint use,False,readout_subfamily_source_evidence_matrix_not_endpoint
NGC5907,K_thick_flared,K_projection_dominated,vertical_or_warp_source,separate true vertical/warp support from projection,S4G/HI/literature,PROXY_SUPPORT_ONLY,thickness_h_over_rs proxy present,promote with direct vertical/flare/warp source,False,readout_subfamily_source_evidence_matrix_not_endpoint
NGC7331,K_thick_flared,K_thick_regular,vertical_scale_or_thickness,accepted thickness or h/rs,edge-on morphology/S4G/literature,PROXY_SUPPORT_ONLY,thickness_h_over_rs proxy present,promote with direct vertical/flare/warp source,False,readout_subfamily_source_evidence_matrix_not_endpoint
NGC7331,K_thick_flared,K_thick_regular,low_warp_asymmetry,absence of warp/history dominance,HI/projection review,MISSING_OR_REVIEW_REQUIRED,low_warp_asymmetry requires source review,query/review listed source family before endpoint use,False,readout_subfamily_source_evidence_matrix_not_endpoint
NGC7331,K_thick_flared,K_thick_regular,projection_safety,projection not dominant,SPARC/S4G/literature,SOURCE_READY_CONTEXT_ONLY,inclination context present: inc=75.0,needs explicit projection-safety acceptance,False,readout_subfamily_source_evidence_matrix_not_endpoint
UGC05716,K_scale_tail_spiral,K_disturbed_outer_tail,hi_radius_mass,MHI_1e9Msun;RHI_kpc,SPARC master table,SOURCE_READY_CONTEXT_ONLY,SPARC HI mass/radius present,needs resolved HI asymmetry/profile for subfamily acceptance,False,readout_subfamily_source_evidence_matrix_not_endpoint
UGC05716,K_scale_tail_spiral,K_disturbed_outer_tail,hi_asymmetry_map,HI asymmetry or tail map,HI surveys / THINGS / LITTLE THINGS / WHISP / literature,MISSING_OR_REVIEW_REQUIRED,hi_asymmetry_map requires source review,query/review listed source family before endpoint use,False,readout_subfamily_source_evidence_matrix_not_endpoint
UGC05716,K_scale_tail_spiral,K_disturbed_outer_tail,outer_tail_transition,tail inner/cutoff radius,HI profile or deep optical/IR outer disk,MISSING_OR_REVIEW_REQUIRED,outer_tail_transition requires source review,query/review listed source family before endpoint use,False,readout_subfamily_source_evidence_matrix_not_endpoint
UGC05716,K_scale_tail_spiral,K_disturbed_outer_tail,environment_history,interaction or companion evidence,NED/SIMBAD/literature,MISSING_OR_REVIEW_REQUIRED,environment_history requires source review,query/review listed source family before endpoint use,False,readout_subfamily_source_evidence_matrix_not_endpoint
UGC12506,K_exponential_disk,K_expdisk_overlay,disk_scale,disk scale radius,S4G/SPARC,MISSING,scale_radius_kpc missing,query S4G/NED/decomposition,False,readout_subfamily_source_evidence_matrix_not_endpoint
UGC12506,K_exponential_disk,K_expdisk_overlay,bar_core_projection_history_overlay,overlay type and strength,S4G/NED/SIMBAD/HI/projection review,MISSING_OR_REVIEW_REQUIRED,bar_core_projection_history_overlay requires source review,query/review listed source family before endpoint use,False,readout_subfamily_source_evidence_matrix_not_endpoint
UGC12506,K_exponential_disk,K_expdisk_overlay,clean_disk_rejection_reason,why K_clean_expdisk is insufficient,source review,MISSING_OR_REVIEW_REQUIRED,clean_disk_rejection_reason requires source review,query/review listed source family before endpoint use,False,readout_subfamily_source_evidence_matrix_not_endpoint
