galaxy,split,formula_family,readout_component,weight_channel,component_status,status_reason,endpoint_ready_component,proxy_only_component,claim_boundary
ESO116-G012,holdout,K_exponential_disk,memory_history,history_memory_correction,PROXY_MEMORY_SIGNAL_NEEDS_ACCEPTED_SOURCE,memory/history proxy exists but is not accepted source evidence,False,True,readout_state_vector_intake_not_endpoint_not_accepted_state
ESO116-G012,holdout,K_exponential_disk,normalization,amplitude_normalization,MISSING_TAU_SIDE_NORMALIZATION_RULE,"current amplitude policy is train/preflight, not source-normalization law",False,False,readout_state_vector_intake_not_endpoint_not_accepted_state
F561-1,holdout,K_scale_tail_spiral,K_compact_finite,w_K_compact_finite,MISSING_ACCEPTED_COMPONENT_INPUT,accepted compact/core observable missing,False,False,readout_state_vector_intake_not_endpoint_not_accepted_state
F561-1,holdout,K_scale_tail_spiral,K_exponential_disk,w_K_exponential_disk,MISSING_ACCEPTED_COMPONENT_INPUT,accepted disk scale/family label missing,False,False,readout_state_vector_intake_not_endpoint_not_accepted_state
F561-1,holdout,K_scale_tail_spiral,K_scale_tail_spiral,w_K_scale_tail_spiral,PROXY_MEMORY_SIGNAL_NEEDS_ACCEPTED_SOURCE,"gas/LSB proxy present, accepted HI/tail source missing",False,True,readout_state_vector_intake_not_endpoint_not_accepted_state
F561-1,holdout,K_scale_tail_spiral,K_thick_flared,w_K_thick_flared,PROXY_MEMORY_SIGNAL_NEEDS_ACCEPTED_SOURCE,"projection/history proxy present, accepted vertical source missing",False,True,readout_state_vector_intake_not_endpoint_not_accepted_state
F561-1,holdout,K_scale_tail_spiral,memory_history,history_memory_correction,PROXY_MEMORY_SIGNAL_NEEDS_ACCEPTED_SOURCE,memory/history proxy exists but is not accepted source evidence,False,True,readout_state_vector_intake_not_endpoint_not_accepted_state
F561-1,holdout,K_scale_tail_spiral,normalization,amplitude_normalization,MISSING_TAU_SIDE_NORMALIZATION_RULE,"current amplitude policy is train/preflight, not source-normalization law",False,False,readout_state_vector_intake_not_endpoint_not_accepted_state
F563-1,holdout,K_scale_tail_spiral,K_compact_finite,w_K_compact_finite,MISSING_ACCEPTED_COMPONENT_INPUT,accepted compact/core observable missing,False,False,readout_state_vector_intake_not_endpoint_not_accepted_state
F563-1,holdout,K_scale_tail_spiral,K_exponential_disk,w_K_exponential_disk,MISSING_ACCEPTED_COMPONENT_INPUT,accepted disk scale/family label missing,False,False,readout_state_vector_intake_not_endpoint_not_accepted_state
F563-1,holdout,K_scale_tail_spiral,K_scale_tail_spiral,w_K_scale_tail_spiral,PROXY_MEMORY_SIGNAL_NEEDS_ACCEPTED_SOURCE,"gas/LSB proxy present, accepted HI/tail source missing",False,True,readout_state_vector_intake_not_endpoint_not_accepted_state
F563-1,holdout,K_scale_tail_spiral,K_thick_flared,w_K_thick_flared,PROXY_MEMORY_SIGNAL_NEEDS_ACCEPTED_SOURCE,"projection/history proxy present, accepted vertical source missing",False,True,readout_state_vector_intake_not_endpoint_not_accepted_state
F563-1,holdout,K_scale_tail_spiral,memory_history,history_memory_correction,PROXY_MEMORY_SIGNAL_NEEDS_ACCEPTED_SOURCE,memory/history proxy exists but is not accepted source evidence,False,True,readout_state_vector_intake_not_endpoint_not_accepted_state
F563-1,holdout,K_scale_tail_spiral,normalization,amplitude_normalization,MISSING_TAU_SIDE_NORMALIZATION_RULE,"current amplitude policy is train/preflight, not source-normalization law",False,False,readout_state_vector_intake_not_endpoint_not_accepted_state
F568-1,holdout,K_thick_flared,K_compact_finite,w_K_compact_finite,MISSING_ACCEPTED_COMPONENT_INPUT,accepted compact/core observable missing,False,False,readout_state_vector_intake_not_endpoint_not_accepted_state
F568-1,holdout,K_thick_flared,K_exponential_disk,w_K_exponential_disk,MISSING_ACCEPTED_COMPONENT_INPUT,accepted disk scale/family label missing,False,False,readout_state_vector_intake_not_endpoint_not_accepted_state
F568-1,holdout,K_thick_flared,K_scale_tail_spiral,w_K_scale_tail_spiral,MISSING_ACCEPTED_COMPONENT_INPUT,accepted HI/tail/outer-disk observable missing,False,False,readout_state_vector_intake_not_endpoint_not_accepted_state
F568-1,holdout,K_thick_flared,K_thick_flared,w_K_thick_flared,PROXY_MEMORY_SIGNAL_NEEDS_ACCEPTED_SOURCE,"projection/history proxy present, accepted vertical source missing",False,True,readout_state_vector_intake_not_endpoint_not_accepted_state
F568-1,holdout,K_thick_flared,memory_history,history_memory_correction,PROXY_MEMORY_SIGNAL_NEEDS_ACCEPTED_SOURCE,memory/history proxy exists but is not accepted source evidence,False,True,readout_state_vector_intake_not_endpoint_not_accepted_state
F568-1,holdout,K_thick_flared,normalization,amplitude_normalization,MISSING_TAU_SIDE_NORMALIZATION_RULE,"current amplitude policy is train/preflight, not source-normalization law",False,False,readout_state_vector_intake_not_endpoint_not_accepted_state
IC2574,holdout,K_scale_tail_spiral,K_compact_finite,w_K_compact_finite,MISSING_ACCEPTED_COMPONENT_INPUT,accepted compact/core observable missing,False,False,readout_state_vector_intake_not_endpoint_not_accepted_state
IC2574,holdout,K_scale_tail_spiral,K_exponential_disk,w_K_exponential_disk,MISSING_ACCEPTED_COMPONENT_INPUT,accepted disk scale/family label missing,False,False,readout_state_vector_intake_not_endpoint_not_accepted_state
IC2574,holdout,K_scale_tail_spiral,K_scale_tail_spiral,w_K_scale_tail_spiral,PROXY_MEMORY_SIGNAL_NEEDS_ACCEPTED_SOURCE,"gas/LSB proxy present, accepted HI/tail source missing",False,True,readout_state_vector_intake_not_endpoint_not_accepted_state
IC2574,holdout,K_scale_tail_spiral,K_thick_flared,w_K_thick_flared,PROXY_MEMORY_SIGNAL_NEEDS_ACCEPTED_SOURCE,"projection/history proxy present, accepted vertical source missing",False,True,readout_state_vector_intake_not_endpoint_not_accepted_state
IC2574,holdout,K_scale_tail_spiral,memory_history,history_memory_correction,PROXY_MEMORY_SIGNAL_NEEDS_ACCEPTED_SOURCE,memory/history proxy exists but is not accepted source evidence,False,True,readout_state_vector_intake_not_endpoint_not_accepted_state
IC2574,holdout,K_scale_tail_spiral,normalization,amplitude_normalization,MISSING_TAU_SIDE_NORMALIZATION_RULE,"current amplitude policy is train/preflight, not source-normalization law",False,False,readout_state_vector_intake_not_endpoint_not_accepted_state
IC4202,holdout,K_compact_finite,K_compact_finite,w_K_compact_finite,PROXY_MEMORY_SIGNAL_NEEDS_ACCEPTED_SOURCE,"bulge/core proxy present, accepted compact source missing",False,True,readout_state_vector_intake_not_endpoint_not_accepted_state
IC4202,holdout,K_compact_finite,K_exponential_disk,w_K_exponential_disk,MISSING_ACCEPTED_COMPONENT_INPUT,accepted disk scale/family label missing,False,False,readout_state_vector_intake_not_endpoint_not_accepted_state
IC4202,holdout,K_compact_finite,K_scale_tail_spiral,w_K_scale_tail_spiral,MISSING_ACCEPTED_COMPONENT_INPUT,accepted HI/tail/outer-disk observable missing,False,False,readout_state_vector_intake_not_endpoint_not_accepted_state
IC4202,holdout,K_compact_finite,K_thick_flared,w_K_thick_flared,MISSING_ACCEPTED_COMPONENT_INPUT,accepted vertical/flare/warp observable missing,False,False,readout_state_vector_intake_not_endpoint_not_accepted_state
IC4202,holdout,K_compact_finite,memory_history,history_memory_correction,NO_MEMORY_PROXY_FLAG,current proxy and rotation-inferred readout are consistent,False,True,readout_state_vector_intake_not_endpoint_not_accepted_state
IC4202,holdout,K_compact_finite,normalization,amplitude_normalization,MISSING_TAU_SIDE_NORMALIZATION_RULE,"current amplitude policy is train/preflight, not source-normalization law",False,False,readout_state_vector_intake_not_endpoint_not_accepted_state
NGC0024,holdout,K_thick_flared,K_compact_finite,w_K_compact_finite,MISSING_ACCEPTED_COMPONENT_INPUT,accepted compact/core observable missing,False,False,readout_state_vector_intake_not_endpoint_not_accepted_state
NGC0024,holdout,K_thick_flared,K_exponential_disk,w_K_exponential_disk,MISSING_ACCEPTED_COMPONENT_INPUT,accepted disk scale/family label missing,False,False,readout_state_vector_intake_not_endpoint_not_accepted_state
NGC0024,holdout,K_thick_flared,K_scale_tail_spiral,w_K_scale_tail_spiral,MISSING_ACCEPTED_COMPONENT_INPUT,accepted HI/tail/outer-disk observable missing,False,False,readout_state_vector_intake_not_endpoint_not_accepted_state
NGC0024,holdout,K_thick_flared,K_thick_flared,w_K_thick_flared,PROXY_MEMORY_SIGNAL_NEEDS_ACCEPTED_SOURCE,"projection/history proxy present, accepted vertical source missing",False,True,readout_state_vector_intake_not_endpoint_not_accepted_state
NGC0024,holdout,K_thick_flared,memory_history,history_memory_correction,PROXY_MEMORY_SIGNAL_NEEDS_ACCEPTED_SOURCE,memory/history proxy exists but is not accepted source evidence,False,True,readout_state_vector_intake_not_endpoint_not_accepted_state
NGC0024,holdout,K_thick_flared,normalization,amplitude_normalization,MISSING_TAU_SIDE_NORMALIZATION_RULE,"current amplitude policy is train/preflight, not source-normalization law",False,False,readout_state_vector_intake_not_endpoint_not_accepted_state
NGC2683,holdout,K_thick_flared,K_compact_finite,w_K_compact_finite,PROXY_MEMORY_SIGNAL_NEEDS_ACCEPTED_SOURCE,"bulge/core proxy present, accepted compact source missing",False,True,readout_state_vector_intake_not_endpoint_not_accepted_state
NGC2683,holdout,K_thick_flared,K_exponential_disk,w_K_exponential_disk,MISSING_ACCEPTED_COMPONENT_INPUT,accepted disk scale/family label missing,False,False,readout_state_vector_intake_not_endpoint_not_accepted_state
NGC2683,holdout,K_thick_flared,K_scale_tail_spiral,w_K_scale_tail_spiral,MISSING_ACCEPTED_COMPONENT_INPUT,accepted HI/tail/outer-disk observable missing,False,False,readout_state_vector_intake_not_endpoint_not_accepted_state
NGC2683,holdout,K_thick_flared,K_thick_flared,w_K_thick_flared,PROXY_MEMORY_SIGNAL_NEEDS_ACCEPTED_SOURCE,"projection/history proxy present, accepted vertical source missing",False,True,readout_state_vector_intake_not_endpoint_not_accepted_state
NGC2683,holdout,K_thick_flared,memory_history,history_memory_correction,PROXY_MEMORY_SIGNAL_NEEDS_ACCEPTED_SOURCE,memory/history proxy exists but is not accepted source evidence,False,True,readout_state_vector_intake_not_endpoint_not_accepted_state
NGC2683,holdout,K_thick_flared,normalization,amplitude_normalization,MISSING_TAU_SIDE_NORMALIZATION_RULE,"current amplitude policy is train/preflight, not source-normalization law",False,False,readout_state_vector_intake_not_endpoint_not_accepted_state
NGC3726,holdout,K_thick_flared,K_compact_finite,w_K_compact_finite,MISSING_ACCEPTED_COMPONENT_INPUT,accepted compact/core observable missing,False,False,readout_state_vector_intake_not_endpoint_not_accepted_state
NGC3726,holdout,K_thick_flared,K_exponential_disk,w_K_exponential_disk,MISSING_ACCEPTED_COMPONENT_INPUT,accepted disk scale/family label missing,False,False,readout_state_vector_intake_not_endpoint_not_accepted_state
NGC3726,holdout,K_thick_flared,K_scale_tail_spiral,w_K_scale_tail_spiral,MISSING_ACCEPTED_COMPONENT_INPUT,accepted HI/tail/outer-disk observable missing,False,False,readout_state_vector_intake_not_endpoint_not_accepted_state
NGC3726,holdout,K_thick_flared,K_thick_flared,w_K_thick_flared,PROXY_MEMORY_SIGNAL_NEEDS_ACCEPTED_SOURCE,"projection/history proxy present, accepted vertical source missing",False,True,readout_state_vector_intake_not_endpoint_not_accepted_state
NGC3726,holdout,K_thick_flared,memory_history,history_memory_correction,PROXY_MEMORY_SIGNAL_NEEDS_ACCEPTED_SOURCE,memory/history proxy exists but is not accepted source evidence,False,True,readout_state_vector_intake_not_endpoint_not_accepted_state
NGC3726,holdout,K_thick_flared,normalization,amplitude_normalization,MISSING_TAU_SIDE_NORMALIZATION_RULE,"current amplitude policy is train/preflight, not source-normalization law",False,False,readout_state_vector_intake_not_endpoint_not_accepted_state
NGC3949,holdout,K_thick_flared,K_compact_finite,w_K_compact_finite,MISSING_ACCEPTED_COMPONENT_INPUT,accepted compact/core observable missing,False,False,readout_state_vector_intake_not_endpoint_not_accepted_state
NGC3949,holdout,K_thick_flared,K_exponential_disk,w_K_exponential_disk,MISSING_ACCEPTED_COMPONENT_INPUT,accepted disk scale/family label missing,False,False,readout_state_vector_intake_not_endpoint_not_accepted_state
NGC3949,holdout,K_thick_flared,K_scale_tail_spiral,w_K_scale_tail_spiral,MISSING_ACCEPTED_COMPONENT_INPUT,accepted HI/tail/outer-disk observable missing,False,False,readout_state_vector_intake_not_endpoint_not_accepted_state
NGC3949,holdout,K_thick_flared,K_thick_flared,w_K_thick_flared,PROXY_MEMORY_SIGNAL_NEEDS_ACCEPTED_SOURCE,"projection/history proxy present, accepted vertical source missing",False,True,readout_state_vector_intake_not_endpoint_not_accepted_state
NGC3949,holdout,K_thick_flared,memory_history,history_memory_correction,PROXY_MEMORY_SIGNAL_NEEDS_ACCEPTED_SOURCE,memory/history proxy exists but is not accepted source evidence,False,True,readout_state_vector_intake_not_endpoint_not_accepted_state
NGC3949,holdout,K_thick_flared,normalization,amplitude_normalization,MISSING_TAU_SIDE_NORMALIZATION_RULE,"current amplitude policy is train/preflight, not source-normalization law",False,False,readout_state_vector_intake_not_endpoint_not_accepted_state
NGC3972,holdout,K_thick_flared,K_compact_finite,w_K_compact_finite,MISSING_ACCEPTED_COMPONENT_INPUT,accepted compact/core observable missing,False,False,readout_state_vector_intake_not_endpoint_not_accepted_state
NGC3972,holdout,K_thick_flared,K_exponential_disk,w_K_exponential_disk,MISSING_ACCEPTED_COMPONENT_INPUT,accepted disk scale/family label missing,False,False,readout_state_vector_intake_not_endpoint_not_accepted_state
NGC3972,holdout,K_thick_flared,K_scale_tail_spiral,w_K_scale_tail_spiral,MISSING_ACCEPTED_COMPONENT_INPUT,accepted HI/tail/outer-disk observable missing,False,False,readout_state_vector_intake_not_endpoint_not_accepted_state
NGC3972,holdout,K_thick_flared,K_thick_flared,w_K_thick_flared,PROXY_MEMORY_SIGNAL_NEEDS_ACCEPTED_SOURCE,"projection/history proxy present, accepted vertical source missing",False,True,readout_state_vector_intake_not_endpoint_not_accepted_state
NGC3972,holdout,K_thick_flared,memory_history,history_memory_correction,PROXY_MEMORY_SIGNAL_NEEDS_ACCEPTED_SOURCE,memory/history proxy exists but is not accepted source evidence,False,True,readout_state_vector_intake_not_endpoint_not_accepted_state
NGC3972,holdout,K_thick_flared,normalization,amplitude_normalization,MISSING_TAU_SIDE_NORMALIZATION_RULE,"current amplitude policy is train/preflight, not source-normalization law",False,False,readout_state_vector_intake_not_endpoint_not_accepted_state
NGC4013,holdout,K_compact_finite,K_compact_finite,w_K_compact_finite,PROXY_MEMORY_SIGNAL_NEEDS_ACCEPTED_SOURCE,"bulge/core proxy present, accepted compact source missing",False,True,readout_state_vector_intake_not_endpoint_not_accepted_state
NGC4013,holdout,K_compact_finite,K_exponential_disk,w_K_exponential_disk,MISSING_ACCEPTED_COMPONENT_INPUT,accepted disk scale/family label missing,False,False,readout_state_vector_intake_not_endpoint_not_accepted_state
NGC4013,holdout,K_compact_finite,K_scale_tail_spiral,w_K_scale_tail_spiral,MISSING_ACCEPTED_COMPONENT_INPUT,accepted HI/tail/outer-disk observable missing,False,False,readout_state_vector_intake_not_endpoint_not_accepted_state
NGC4013,holdout,K_compact_finite,K_thick_flared,w_K_thick_flared,PROXY_MEMORY_SIGNAL_NEEDS_ACCEPTED_SOURCE,"projection/history proxy present, accepted vertical source missing",False,True,readout_state_vector_intake_not_endpoint_not_accepted_state
NGC4013,holdout,K_compact_finite,memory_history,history_memory_correction,PROXY_MEMORY_SIGNAL_NEEDS_ACCEPTED_SOURCE,memory/history proxy exists but is not accepted source evidence,False,True,readout_state_vector_intake_not_endpoint_not_accepted_state
NGC4013,holdout,K_compact_finite,normalization,amplitude_normalization,MISSING_TAU_SIDE_NORMALIZATION_RULE,"current amplitude policy is train/preflight, not source-normalization law",False,False,readout_state_vector_intake_not_endpoint_not_accepted_state
NGC4088,holdout,K_thick_flared,K_compact_finite,w_K_compact_finite,MISSING_ACCEPTED_COMPONENT_INPUT,accepted compact/core observable missing,False,False,readout_state_vector_intake_not_endpoint_not_accepted_state
NGC4088,holdout,K_thick_flared,K_exponential_disk,w_K_exponential_disk,MISSING_ACCEPTED_COMPONENT_INPUT,accepted disk scale/family label missing,False,False,readout_state_vector_intake_not_endpoint_not_accepted_state
NGC4088,holdout,K_thick_flared,K_scale_tail_spiral,w_K_scale_tail_spiral,MISSING_ACCEPTED_COMPONENT_INPUT,accepted HI/tail/outer-disk observable missing,False,False,readout_state_vector_intake_not_endpoint_not_accepted_state
NGC4088,holdout,K_thick_flared,K_thick_flared,w_K_thick_flared,PROXY_MEMORY_SIGNAL_NEEDS_ACCEPTED_SOURCE,"projection/history proxy present, accepted vertical source missing",False,True,readout_state_vector_intake_not_endpoint_not_accepted_state
NGC4088,holdout,K_thick_flared,memory_history,history_memory_correction,PROXY_MEMORY_SIGNAL_NEEDS_ACCEPTED_SOURCE,memory/history proxy exists but is not accepted source evidence,False,True,readout_state_vector_intake_not_endpoint_not_accepted_state
NGC4088,holdout,K_thick_flared,normalization,amplitude_normalization,MISSING_TAU_SIDE_NORMALIZATION_RULE,"current amplitude policy is train/preflight, not source-normalization law",False,False,readout_state_vector_intake_not_endpoint_not_accepted_state
NGC4183,holdout,K_exponential_disk,K_compact_finite,w_K_compact_finite,MISSING_ACCEPTED_COMPONENT_INPUT,accepted compact/core observable missing,False,False,readout_state_vector_intake_not_endpoint_not_accepted_state
NGC4183,holdout,K_exponential_disk,K_exponential_disk,w_K_exponential_disk,MISSING_ACCEPTED_COMPONENT_INPUT,accepted disk scale/family label missing,False,False,readout_state_vector_intake_not_endpoint_not_accepted_state
NGC4183,holdout,K_exponential_disk,K_scale_tail_spiral,w_K_scale_tail_spiral,PROXY_MEMORY_SIGNAL_NEEDS_ACCEPTED_SOURCE,"gas/LSB proxy present, accepted HI/tail source missing",False,True,readout_state_vector_intake_not_endpoint_not_accepted_state
NGC4183,holdout,K_exponential_disk,K_thick_flared,w_K_thick_flared,PROXY_MEMORY_SIGNAL_NEEDS_ACCEPTED_SOURCE,"projection/history proxy present, accepted vertical source missing",False,True,readout_state_vector_intake_not_endpoint_not_accepted_state
NGC4183,holdout,K_exponential_disk,memory_history,history_memory_correction,PROXY_MEMORY_SIGNAL_NEEDS_ACCEPTED_SOURCE,memory/history proxy exists but is not accepted source evidence,False,True,readout_state_vector_intake_not_endpoint_not_accepted_state
NGC4183,holdout,K_exponential_disk,normalization,amplitude_normalization,MISSING_TAU_SIDE_NORMALIZATION_RULE,"current amplitude policy is train/preflight, not source-normalization law",False,False,readout_state_vector_intake_not_endpoint_not_accepted_state
NGC4214,holdout,K_scale_tail_spiral,K_compact_finite,w_K_compact_finite,MISSING_ACCEPTED_COMPONENT_INPUT,accepted compact/core observable missing,False,False,readout_state_vector_intake_not_endpoint_not_accepted_state
NGC4214,holdout,K_scale_tail_spiral,K_exponential_disk,w_K_exponential_disk,MISSING_ACCEPTED_COMPONENT_INPUT,accepted disk scale/family label missing,False,False,readout_state_vector_intake_not_endpoint_not_accepted_state
NGC4214,holdout,K_scale_tail_spiral,K_scale_tail_spiral,w_K_scale_tail_spiral,PROXY_MEMORY_SIGNAL_NEEDS_ACCEPTED_SOURCE,"gas/LSB proxy present, accepted HI/tail source missing",False,True,readout_state_vector_intake_not_endpoint_not_accepted_state
NGC4214,holdout,K_scale_tail_spiral,K_thick_flared,w_K_thick_flared,PROXY_MEMORY_SIGNAL_NEEDS_ACCEPTED_SOURCE,"projection/history proxy present, accepted vertical source missing",False,True,readout_state_vector_intake_not_endpoint_not_accepted_state
NGC4214,holdout,K_scale_tail_spiral,memory_history,history_memory_correction,NO_MEMORY_PROXY_FLAG,current proxy and rotation-inferred readout are consistent,False,True,readout_state_vector_intake_not_endpoint_not_accepted_state
NGC4214,holdout,K_scale_tail_spiral,normalization,amplitude_normalization,MISSING_TAU_SIDE_NORMALIZATION_RULE,"current amplitude policy is train/preflight, not source-normalization law",False,False,readout_state_vector_intake_not_endpoint_not_accepted_state
NGC4389,holdout,K_thick_flared,K_compact_finite,w_K_compact_finite,MISSING_ACCEPTED_COMPONENT_INPUT,accepted compact/core observable missing,False,False,readout_state_vector_intake_not_endpoint_not_accepted_state
NGC4389,holdout,K_thick_flared,K_exponential_disk,w_K_exponential_disk,MISSING_ACCEPTED_COMPONENT_INPUT,accepted disk scale/family label missing,False,False,readout_state_vector_intake_not_endpoint_not_accepted_state
NGC4389,holdout,K_thick_flared,K_scale_tail_spiral,w_K_scale_tail_spiral,MISSING_ACCEPTED_COMPONENT_INPUT,accepted HI/tail/outer-disk observable missing,False,False,readout_state_vector_intake_not_endpoint_not_accepted_state
NGC4389,holdout,K_thick_flared,K_thick_flared,w_K_thick_flared,PROXY_MEMORY_SIGNAL_NEEDS_ACCEPTED_SOURCE,"projection/history proxy present, accepted vertical source missing",False,True,readout_state_vector_intake_not_endpoint_not_accepted_state
NGC4389,holdout,K_thick_flared,memory_history,history_memory_correction,PROXY_MEMORY_SIGNAL_NEEDS_ACCEPTED_SOURCE,memory/history proxy exists but is not accepted source evidence,False,True,readout_state_vector_intake_not_endpoint_not_accepted_state
NGC4389,holdout,K_thick_flared,normalization,amplitude_normalization,MISSING_TAU_SIDE_NORMALIZATION_RULE,"current amplitude policy is train/preflight, not source-normalization law",False,False,readout_state_vector_intake_not_endpoint_not_accepted_state
NGC5907,holdout,K_thick_flared,K_compact_finite,w_K_compact_finite,MISSING_ACCEPTED_COMPONENT_INPUT,accepted compact/core observable missing,False,False,readout_state_vector_intake_not_endpoint_not_accepted_state
NGC5907,holdout,K_thick_flared,K_exponential_disk,w_K_exponential_disk,MISSING_ACCEPTED_COMPONENT_INPUT,accepted disk scale/family label missing,False,False,readout_state_vector_intake_not_endpoint_not_accepted_state
NGC5907,holdout,K_thick_flared,K_scale_tail_spiral,w_K_scale_tail_spiral,MISSING_ACCEPTED_COMPONENT_INPUT,accepted HI/tail/outer-disk observable missing,False,False,readout_state_vector_intake_not_endpoint_not_accepted_state
NGC5907,holdout,K_thick_flared,K_thick_flared,w_K_thick_flared,MISSING_ACCEPTED_COMPONENT_INPUT,accepted vertical/flare/warp observable missing,False,False,readout_state_vector_intake_not_endpoint_not_accepted_state
NGC5907,holdout,K_thick_flared,memory_history,history_memory_correction,NO_MEMORY_PROXY_FLAG,current proxy and rotation-inferred readout are consistent,False,True,readout_state_vector_intake_not_endpoint_not_accepted_state
NGC5907,holdout,K_thick_flared,normalization,amplitude_normalization,MISSING_TAU_SIDE_NORMALIZATION_RULE,"current amplitude policy is train/preflight, not source-normalization law",False,False,readout_state_vector_intake_not_endpoint_not_accepted_state
NGC5985,holdout,K_compact_finite,K_compact_finite,w_K_compact_finite,PROXY_MEMORY_SIGNAL_NEEDS_ACCEPTED_SOURCE,"bulge/core proxy present, accepted compact source missing",False,True,readout_state_vector_intake_not_endpoint_not_accepted_state
NGC5985,holdout,K_compact_finite,K_exponential_disk,w_K_exponential_disk,MISSING_ACCEPTED_COMPONENT_INPUT,accepted disk scale/family label missing,False,False,readout_state_vector_intake_not_endpoint_not_accepted_state
NGC5985,holdout,K_compact_finite,K_scale_tail_spiral,w_K_scale_tail_spiral,MISSING_ACCEPTED_COMPONENT_INPUT,accepted HI/tail/outer-disk observable missing,False,False,readout_state_vector_intake_not_endpoint_not_accepted_state
NGC5985,holdout,K_compact_finite,K_thick_flared,w_K_thick_flared,MISSING_ACCEPTED_COMPONENT_INPUT,accepted vertical/flare/warp observable missing,False,False,readout_state_vector_intake_not_endpoint_not_accepted_state
NGC5985,holdout,K_compact_finite,memory_history,history_memory_correction,NO_MEMORY_PROXY_FLAG,current proxy and rotation-inferred readout are consistent,False,True,readout_state_vector_intake_not_endpoint_not_accepted_state
NGC5985,holdout,K_compact_finite,normalization,amplitude_normalization,MISSING_TAU_SIDE_NORMALIZATION_RULE,"current amplitude policy is train/preflight, not source-normalization law",False,False,readout_state_vector_intake_not_endpoint_not_accepted_state
NGC6789,holdout,K_scale_tail_spiral,K_compact_finite,w_K_compact_finite,MISSING_ACCEPTED_COMPONENT_INPUT,accepted compact/core observable missing,False,False,readout_state_vector_intake_not_endpoint_not_accepted_state
NGC6789,holdout,K_scale_tail_spiral,K_exponential_disk,w_K_exponential_disk,MISSING_ACCEPTED_COMPONENT_INPUT,accepted disk scale/family label missing,False,False,readout_state_vector_intake_not_endpoint_not_accepted_state
NGC6789,holdout,K_scale_tail_spiral,K_scale_tail_spiral,w_K_scale_tail_spiral,PROXY_MEMORY_SIGNAL_NEEDS_ACCEPTED_SOURCE,"gas/LSB proxy present, accepted HI/tail source missing",False,True,readout_state_vector_intake_not_endpoint_not_accepted_state
NGC6789,holdout,K_scale_tail_spiral,K_thick_flared,w_K_thick_flared,MISSING_ACCEPTED_COMPONENT_INPUT,accepted vertical/flare/warp observable missing,False,False,readout_state_vector_intake_not_endpoint_not_accepted_state
NGC6789,holdout,K_scale_tail_spiral,memory_history,history_memory_correction,NO_MEMORY_PROXY_FLAG,current proxy and rotation-inferred readout are consistent,False,True,readout_state_vector_intake_not_endpoint_not_accepted_state
NGC6789,holdout,K_scale_tail_spiral,normalization,amplitude_normalization,MISSING_TAU_SIDE_NORMALIZATION_RULE,"current amplitude policy is train/preflight, not source-normalization law",False,False,readout_state_vector_intake_not_endpoint_not_accepted_state
