galaxy,split,formula_family,inclusion_lane,allowed_use,hard_beats_wrong_mean,hard_minus_wrong_mean,tau_beats_tpg_v6,tau_beats_mond,tau_minus_tpg_v6,tau_minus_mond,closure_fraction_c,net_signed_source_strength_v2,positive_component_strength_v2,negative_component_strength_v2,signed_cancellation_ratio,has_proxy_component,n_proxy_components,median_e_tau_gate,failure_mode,failure_reason,endpoint_scores_computed,uses_vobs_or_residual_for_classification,claim_boundary
NGC6789,holdout,K_scale_tail_spiral,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,True,-107.70828345170612,True,False,-0.3642612206110662,0.1372448189883126,0.6443592395334848,26.183362825281577,69.61986677166358,-43.436503946382,0.2315956425894919,True,1,0.20824999999999996,SPECIFICITY_AND_BASELINE_PARTLY_TRANSFER,family specificity partly transfers to baseline comparison,False,False,source_normalization_failure_modes_by_lane_not_endpoint
UGC00731,holdout,K_scale_tail_spiral,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,True,-16.980310092522153,True,False,-0.6193933293366882,0.7592327017853453,0.8164803380448392,132.7991350350711,215.013200713184,-82.21406567811289,0.4467932456110614,True,1,0.17701249999999996,SPECIFICITY_AND_BASELINE_PARTLY_TRANSFER,family specificity partly transfers to baseline comparison,False,False,source_normalization_failure_modes_by_lane_not_endpoint
UGC00891,holdout,K_scale_tail_spiral,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,True,-23.48321814011965,True,True,-0.1615981655144356,-1.885314261721656,0.7834824686855335,-119.0063955204128,107.1279152342344,-226.13431075464715,0.35709536287014765,True,1,0.645775,SPECIFICITY_AND_BASELINE_PARTLY_TRANSFER,family specificity partly transfers to baseline comparison,False,False,source_normalization_failure_modes_by_lane_not_endpoint
UGC02259,holdout,K_exponential_disk,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,True,-8.916883862959732,True,False,-1.7415597561066605,1.0321393248220208,0.7401670662392039,294.192442518574,456.88451085636865,-162.69206833779464,0.47482821720150886,True,1,0.17701249999999996,SPECIFICITY_AND_BASELINE_PARTLY_TRANSFER,family specificity partly transfers to baseline comparison,False,False,source_normalization_failure_modes_by_lane_not_endpoint
UGC04305,holdout,K_scale_tail_spiral,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,True,-28.168326416069807,False,True,0.4091834700995953,-2.1795590141328525,0.7356842812157509,43.44905090404464,297.8988893327371,-254.4498384286925,0.07866235354634717,True,1,1.0,SPECIFICITY_AND_BASELINE_PARTLY_TRANSFER,family specificity partly transfers to baseline comparison,False,False,source_normalization_failure_modes_by_lane_not_endpoint
UGC04499,holdout,K_scale_tail_spiral,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,True,-18.614803873870997,True,True,-0.8904712480708978,-3.8348586451505433,0.7337902539534008,-194.90315215301337,299.73895813112966,-494.642110284143,0.24535221180664554,True,1,0.6770125,SPECIFICITY_AND_BASELINE_PARTLY_TRANSFER,family specificity partly transfers to baseline comparison,False,False,source_normalization_failure_modes_by_lane_not_endpoint
UGC05414,holdout,K_scale_tail_spiral,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,True,-33.8305448941172,False,True,1.5928961717738934,-0.2681753378481843,0.712086842486497,195.2472716406071,308.9331589819318,-113.68588734132469,0.46199354558020717,True,1,0.17701249999999996,SPECIFICITY_AND_BASELINE_PARTLY_TRANSFER,family specificity partly transfers to baseline comparison,False,False,source_normalization_failure_modes_by_lane_not_endpoint
UGC05716,holdout,K_scale_tail_spiral,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,True,-17.563969635593615,True,True,-0.8323969139248124,-0.5931753707781882,0.8043141403669857,166.37586416297142,285.42069640273144,-119.04483223976,0.41134745084798474,True,1,0.17701249999999996,SPECIFICITY_AND_BASELINE_PARTLY_TRANSFER,family specificity partly transfers to baseline comparison,False,False,source_normalization_failure_modes_by_lane_not_endpoint
UGC05829,holdout,K_scale_tail_spiral,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,True,-25.958777886358305,False,True,0.004404877099172,-2.379822674318274,0.7925608666122651,-99.67537096995044,117.76467818184015,-217.44004915179065,0.29735669828648653,True,1,0.6770125,SPECIFICITY_AND_BASELINE_PARTLY_TRANSFER,family specificity partly transfers to baseline comparison,False,False,source_normalization_failure_modes_by_lane_not_endpoint
UGC05986,holdout,K_scale_tail_spiral,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,True,-9.46846053941454,True,True,-4.1686194416378655,-1.6957589520564138,0.7320956905752359,880.7933691321845,1002.8781916203968,-122.08482248821224,0.7829531798697417,True,1,0.09475374999999996,SPECIFICITY_AND_BASELINE_PARTLY_TRANSFER,family specificity partly transfers to baseline comparison,False,False,source_normalization_failure_modes_by_lane_not_endpoint
UGC06818,holdout,K_scale_tail_spiral,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,True,-21.42007459934975,True,True,-0.6727302678283156,-1.9502313423686335,0.7485921704629792,-176.25282898042428,211.383516016706,-387.63634499713027,0.2942353675587948,True,1,0.6770125,SPECIFICITY_AND_BASELINE_PARTLY_TRANSFER,family specificity partly transfers to baseline comparison,False,False,source_normalization_failure_modes_by_lane_not_endpoint
UGC07151,holdout,K_exponential_disk,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,True,-29.87382444883079,False,True,1.2646242325266064,-0.0394146980625764,0.6770379932446499,336.81143348928197,480.62027923906464,-143.8088457497827,0.5393909733074953,True,1,0.13536249999999994,SPECIFICITY_AND_BASELINE_PARTLY_TRANSFER,family specificity partly transfers to baseline comparison,False,False,source_normalization_failure_modes_by_lane_not_endpoint
UGC07603,holdout,K_exponential_disk,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,True,-32.1592807743268,True,False,-0.6412216766397929,1.8620182830442904,0.7660589675871469,73.52188803047004,152.0387784255286,-78.51689039505855,0.3188899600975893,True,1,0.15046062499999996,SPECIFICITY_AND_BASELINE_PARTLY_TRANSFER,family specificity partly transfers to baseline comparison,False,False,source_normalization_failure_modes_by_lane_not_endpoint
UGC08699,holdout,K_compact_finite,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,True,-2.9374838332667235,True,True,-4.158008499479813,-2.451862705578426,0.4327517057539102,3829.152479402728,4480.374080174466,-651.2216007717384,0.7461913832417676,True,1,0.15046062499999996,SPECIFICITY_AND_BASELINE_PARTLY_TRANSFER,family specificity partly transfers to baseline comparison,False,False,source_normalization_failure_modes_by_lane_not_endpoint
UGCA444,holdout,K_scale_tail_spiral,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,True,-54.283535817581594,False,True,0.0313460795298929,-1.8382158685408965,0.7762166930576874,3.92232794537577,49.31574709719947,-45.3934191518237,0.041414449104774216,True,1,0.17701249999999996,SPECIFICITY_AND_BASELINE_PARTLY_TRANSFER,family specificity partly transfers to baseline comparison,False,False,source_normalization_failure_modes_by_lane_not_endpoint
NGC6946,holdout,K_compact_finite,CAUTION_READY_PROXY_SUPPORTED,support_lane_projection_caveat,False,13.678856223051156,False,False,19.13598391345694,16.433288243243922,0.5293732897996126,8628.028451045338,8628.028451045338,0.0,1.0,False,0,0.5,NO_SPECIFICITY_AND_BASELINE_WEAK,both family specificity and Tau evidence baseline comparison are weak,False,False,source_normalization_failure_modes_by_lane_not_endpoint
UGC03580,holdout,K_compact_finite,CAUTION_READY_PROXY_SUPPORTED,support_lane_projection_caveat,False,28.480987202887427,False,False,9.132100388908174,7.453919984643871,0.4061485657403272,3091.364562559966,3091.364562559966,0.0,1.0,False,0,0.0,NO_SPECIFICITY_AND_BASELINE_WEAK,both family specificity and Tau evidence baseline comparison are weak,False,False,source_normalization_failure_modes_by_lane_not_endpoint
F568-1,holdout,K_thick_flared,CAUTION_READY_PROXY_SUPPORTED,support_lane_projection_caveat,False,5.401890178826935,True,True,-4.491460216517307,-0.9650385364998152,0.7659455805828048,800.3650494752097,800.3650494752097,0.0,1.0,False,0,0.0,OTHER_NORMALIZATION_DIAGNOSTIC,mixed normalization behavior,False,False,source_normalization_failure_modes_by_lane_not_endpoint
F561-1,holdout,K_scale_tail_spiral,CAUTION_READY_PROXY_SUPPORTED,support_lane_projection_caveat,True,-13.856059919193363,False,False,5.1751137094961805,1.2059458660443454,0.7611597416732333,920.2926496607928,920.2926496607928,0.0,1.0,False,0,0.0,PROJECTION_SCALE_NORMALIZATION_FAILURE,"family specificity survives, but Tau evidence L2 fails in projection-caveated lane",False,False,source_normalization_failure_modes_by_lane_not_endpoint
NGC0024,holdout,K_thick_flared,CAUTION_READY_PROXY_SUPPORTED,support_lane_projection_caveat,True,-26.50988368086929,False,False,1.2934178629036772,2.7986093740512956,0.5405873913918854,-204.46653584973336,383.3386662772296,-587.805202126963,0.2105419624238763,False,0,0.5,PROJECTION_SCALE_NORMALIZATION_FAILURE,"family specificity survives, but Tau evidence L2 fails in projection-caveated lane",False,False,source_normalization_failure_modes_by_lane_not_endpoint
NGC3726,holdout,K_thick_flared,CAUTION_READY_PROXY_SUPPORTED,support_lane_projection_caveat,True,-4.362052328743388,False,False,7.131836501549387,4.4383685068141006,0.6296056984088632,2699.3811895246868,5634.572439991333,-2935.1912504666466,0.3149889876812261,False,0,1.0,PROJECTION_SCALE_NORMALIZATION_FAILURE,"family specificity survives, but Tau evidence L2 fails in projection-caveated lane",False,False,source_normalization_failure_modes_by_lane_not_endpoint
NGC3949,holdout,K_thick_flared,CAUTION_READY_PROXY_SUPPORTED,support_lane_projection_caveat,True,-14.092339200044249,False,False,5.328040151273189,2.980293759528383,0.3428830078150754,2159.1992310444484,4046.7907333629873,-1887.5915023185387,0.3638456616531844,False,0,1.0,PROJECTION_SCALE_NORMALIZATION_FAILURE,"family specificity survives, but Tau evidence L2 fails in projection-caveated lane",False,False,source_normalization_failure_modes_by_lane_not_endpoint
NGC4088,holdout,K_thick_flared,CAUTION_READY_PROXY_SUPPORTED,support_lane_projection_caveat,True,-4.720364354016155,False,False,7.871930150759837,4.675820832615656,0.4913862281851751,3647.7608224102864,7078.4569617957095,-3430.696139385423,0.3471032144350729,False,0,1.0,PROJECTION_SCALE_NORMALIZATION_FAILURE,"family specificity survives, but Tau evidence L2 fails in projection-caveated lane",False,False,source_normalization_failure_modes_by_lane_not_endpoint
UGC02023,holdout,K_scale_tail_spiral,CAUTION_READY_PROXY_SUPPORTED,support_lane_projection_caveat,True,-37.0486801673007,False,False,4.658276717870491,2.876488834959307,0.7158543102160054,578.7682098096404,578.7682098096404,0.0,1.0,False,0,0.0,PROJECTION_SCALE_NORMALIZATION_FAILURE,"family specificity survives, but Tau evidence L2 fails in projection-caveated lane",False,False,source_normalization_failure_modes_by_lane_not_endpoint
UGC07261,holdout,K_exponential_disk,CAUTION_READY_PROXY_SUPPORTED,support_lane_projection_caveat,True,-22.603042055194987,False,False,1.633157690713415,1.3131784673006726,0.7140323079318615,947.9219088713302,947.9219088713302,0.0,1.0,False,0,0.0,PROJECTION_SCALE_NORMALIZATION_FAILURE,"family specificity survives, but Tau evidence L2 fails in projection-caveated lane",False,False,source_normalization_failure_modes_by_lane_not_endpoint
UGC06917,holdout,K_scale_tail_spiral,CAUTION_READY_PROXY_SUPPORTED,support_lane_memory_history_proxy,True,-14.677899972044314,False,False,0.964900215167459,2.7807573593426245,0.7014393246069682,-218.83475052362803,768.9505846183458,-987.785335141974,0.12456895089472796,False,0,0.5,SIGNED_COMPONENT_CANCELLATION_FAILURE,positive and negative source components strongly cancel,False,False,source_normalization_failure_modes_by_lane_not_endpoint
NGC4214,holdout,K_scale_tail_spiral,CAUTION_READY_PROXY_SUPPORTED,support_lane_projection_caveat,True,-23.65356234274807,True,False,-0.9465813582842166,1.7655844401722884,0.7378930370059062,121.79776480943116,433.82492262188225,-312.0271578124511,0.16330016098970246,False,0,1.0,SPECIFICITY_AND_BASELINE_PARTLY_TRANSFER,family specificity partly transfers to baseline comparison,False,False,source_normalization_failure_modes_by_lane_not_endpoint
NGC4389,holdout,K_thick_flared,CAUTION_READY_PROXY_SUPPORTED,support_lane_projection_caveat,True,-21.070275929953567,True,True,-3.664563592996707,-5.608737852448002,0.3942740427679145,-1003.0902744400228,1388.7111763694293,-2391.801450809452,0.2653318143229045,False,0,0.5,SPECIFICITY_AND_BASELINE_PARTLY_TRANSFER,family specificity partly transfers to baseline comparison,False,False,source_normalization_failure_modes_by_lane_not_endpoint
NGC5985,holdout,K_compact_finite,CAUTION_READY_PROXY_SUPPORTED,support_lane_projection_caveat,True,-7.419690435950656,True,True,-6.017688497279835,-3.133878099932687,0.4985669207261346,3902.518860021022,7825.499586578373,-3922.980726557351,0.3321722261948807,False,0,1.0,SPECIFICITY_AND_BASELINE_PARTLY_TRANSFER,family specificity partly transfers to baseline comparison,False,False,source_normalization_failure_modes_by_lane_not_endpoint
UGC07577,holdout,K_scale_tail_spiral,CAUTION_READY_PROXY_SUPPORTED,support_lane_memory_history_proxy,True,-69.53452680606681,True,True,-0.6165756049831526,-3.140619761186146,0.8077872746408565,-30.923187386072748,25.769322821727293,-56.69251020780004,0.375,False,0,0.5,SPECIFICITY_AND_BASELINE_PARTLY_TRANSFER,family specificity partly transfers to baseline comparison,False,False,source_normalization_failure_modes_by_lane_not_endpoint
UGC11914,holdout,K_compact_finite,CAUTION_READY_PROXY_SUPPORTED,support_lane_projection_caveat,True,-10.696945015684935,True,True,-11.65118224733492,-8.028640267174392,0.1477095487695753,7969.324735590408,7969.324735590408,0.0,1.0,False,0,0.0,SPECIFICITY_AND_BASELINE_PARTLY_TRANSFER,family specificity partly transfers to baseline comparison,False,False,source_normalization_failure_modes_by_lane_not_endpoint
NGC0891,train,K_compact_finite,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,False,6.839675947724164,False,False,12.642772045702396,9.604695388716095,0.352114248969015,10263.914665867993,10879.608920546052,-615.6942546780617,0.8928789880018008,True,1,0.6353624999999999,NO_SPECIFICITY_AND_BASELINE_WEAK,both family specificity and Tau evidence baseline comparison are weak,False,False,source_normalization_failure_modes_by_lane_not_endpoint
NGC4217,train,K_compact_finite,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,False,3.8068601453608153,False,False,5.746387117871237,2.7430147012830943,0.4002123791958448,2993.002718083602,6526.4595273436025,-3533.4568092600007,0.2975176550120386,True,1,1.0,NO_SPECIFICITY_AND_BASELINE_WEAK,both family specificity and Tau evidence baseline comparison are weak,False,False,source_normalization_failure_modes_by_lane_not_endpoint
UGC06973,train,K_compact_finite,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,False,15.559914076997686,False,False,4.973585420117168,2.5290352029142227,0.3116170878521293,3967.73952928409,5018.489849758861,-1050.750320474771,0.6537456778764045,True,1,0.17701249999999996,NO_SPECIFICITY_AND_BASELINE_WEAK,both family specificity and Tau evidence baseline comparison are weak,False,False,source_normalization_failure_modes_by_lane_not_endpoint
ESO563-G021,train,K_thick_flared,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,False,2.253554265132202,True,True,-12.449567536780584,-9.209090142303964,0.4828025704789825,8774.766683975515,9731.022972368908,-956.2562883933928,0.8210477587304693,True,1,0.13536249999999994,OTHER_NORMALIZATION_DIAGNOSTIC,mixed normalization behavior,False,False,source_normalization_failure_modes_by_lane_not_endpoint
NGC6503,train,K_exponential_disk,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,False,1.4383571443969156,True,False,-1.8909883088620416,1.406914668158282,0.7268639590673797,543.0419582289366,1243.6222307228786,-700.5802724939421,0.2793134754895311,True,1,1.0,OTHER_NORMALIZATION_DIAGNOSTIC,mixed normalization behavior,False,False,source_normalization_failure_modes_by_lane_not_endpoint
NGC0801,train,K_thick_flared,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,True,-1.9265003061352497,False,False,13.032364468657615,9.073969941142025,0.4953474070333955,8632.54659184629,9644.495608955254,-1011.9490171089648,0.8100775535146357,True,1,0.13536249999999994,PROXY_GATE_OR_COMPONENT_WEIGHT_FAILURE,Tau evidence L2 depends on proxy/partial components in a weak baseline case,False,False,source_normalization_failure_modes_by_lane_not_endpoint
UGC05764,train,K_scale_tail_spiral,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,True,-44.276247306441654,False,False,1.1734252747673732,3.3927193733128647,0.7731611792864804,-103.14866933706467,52.265623664041385,-155.41429300110605,0.49667137291554464,True,1,0.6770125,PROXY_GATE_OR_COMPONENT_WEIGHT_FAILURE,Tau evidence L2 depends on proxy/partial components in a weak baseline case,False,False,source_normalization_failure_modes_by_lane_not_endpoint
UGC05918,train,K_scale_tail_spiral,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,True,-40.601536000784314,False,False,0.6060216372798779,0.1147658343263531,0.8141769102445892,-60.84091179861413,46.99729700169411,-107.83820880030824,0.39293901927388114,True,1,0.645775,PROXY_GATE_OR_COMPONENT_WEIGHT_FAILURE,Tau evidence L2 depends on proxy/partial components in a weak baseline case,False,False,source_normalization_failure_modes_by_lane_not_endpoint
UGC11455,train,K_exponential_disk,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,True,-2.448571959298123,False,False,10.099320583091384,7.780030212691695,0.3431479870641912,8527.40169998665,9428.273204695284,-900.871504708634,0.8255670667701156,True,1,0.13536249999999994,PROXY_GATE_OR_COMPONENT_WEIGHT_FAILURE,Tau evidence L2 depends on proxy/partial components in a weak baseline case,False,False,source_normalization_failure_modes_by_lane_not_endpoint
NGC3521,train,K_thick_flared,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,True,-8.88058709417761,False,False,0.5798269081655558,0.8758636621364699,0.2143110362897085,2136.058295100747,4481.341133032119,-2345.282837931372,0.31290112128429853,True,1,1.0,SIGNED_COMPONENT_CANCELLATION_FAILURE,positive and negative source components strongly cancel,False,False,source_normalization_failure_modes_by_lane_not_endpoint
NGC3877,train,K_thick_flared,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,True,-6.9670360645068605,False,False,1.6961587700255656,0.1968234862202784,0.4131917582606362,1224.8350149628927,3802.9715263899534,-2578.1365114270607,0.19194707372199743,True,1,1.0,SIGNED_COMPONENT_CANCELLATION_FAILURE,positive and negative source components strongly cancel,False,False,source_normalization_failure_modes_by_lane_not_endpoint
NGC4085,train,K_thick_flared,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,True,-17.093777198873102,False,False,2.469315155318938,0.676647122543443,0.3872709077572711,984.2049794162854,2266.6123277287907,-1282.4073483125053,0.27731741981044833,True,1,1.0,SIGNED_COMPONENT_CANCELLATION_FAILURE,positive and negative source components strongly cancel,False,False,source_normalization_failure_modes_by_lane_not_endpoint
NGC4157,train,K_thick_flared,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,True,-3.273084120207266,False,False,5.521748605051766,2.2575227075991933,0.5838938712740976,2779.280252317204,5947.022802417969,-3167.7425501007647,0.30492065838526383,True,1,1.0,SIGNED_COMPONENT_CANCELLATION_FAILURE,positive and negative source components strongly cancel,False,False,source_normalization_failure_modes_by_lane_not_endpoint
UGC00634,train,K_scale_tail_spiral,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,True,-8.225170978855452,False,False,0.7311556382171283,6.519887164320795,0.7899143315291164,-167.3301203875382,485.1639119378414,-652.4940323253796,0.14708297975794987,True,1,0.645775,SIGNED_COMPONENT_CANCELLATION_FAILURE,positive and negative source components strongly cancel,False,False,source_normalization_failure_modes_by_lane_not_endpoint
UGC06399,train,K_scale_tail_spiral,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,True,-22.314606914231856,False,False,1.3883245180829142,3.9517851066887912,0.7362864266487398,-233.00197382337984,259.8091529742035,-492.81112679758337,0.3095876899490827,True,1,0.6770125,SIGNED_COMPONENT_CANCELLATION_FAILURE,positive and negative source components strongly cancel,False,False,source_normalization_failure_modes_by_lane_not_endpoint
UGC06446,train,K_scale_tail_spiral,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,True,-16.725443601530216,False,False,0.954727257757458,3.2782510584743267,0.77095621870936,-157.30276504041174,227.55902285659437,-384.86178789700614,0.25685404917387833,True,1,0.6770125,SIGNED_COMPONENT_CANCELLATION_FAILURE,positive and negative source components strongly cancel,False,False,source_normalization_failure_modes_by_lane_not_endpoint
UGC06667,train,K_scale_tail_spiral,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,True,-17.677576305737265,False,False,0.7663516293415071,5.829317445746721,0.8039104531596999,-77.00627093956783,108.73778987655596,-185.74406081612375,0.2614975108259942,True,1,0.6353624999999999,SIGNED_COMPONENT_CANCELLATION_FAILURE,positive and negative source components strongly cancel,False,False,source_normalization_failure_modes_by_lane_not_endpoint
UGC07608,train,K_scale_tail_spiral,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,True,-35.5602969283881,False,False,0.7031616621026568,4.146764432835729,0.7987503959114707,-69.95311567328432,68.00840222126308,-137.9615178945474,0.3396278234897205,True,1,0.6770125,SIGNED_COMPONENT_CANCELLATION_FAILURE,positive and negative source components strongly cancel,False,False,source_normalization_failure_modes_by_lane_not_endpoint
UGC12732,train,K_scale_tail_spiral,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,True,-12.773312794755611,False,False,0.4317157597591219,1.331267183326367,0.8022721796726381,-74.04597375447321,283.96968088553564,-358.01565464000885,0.11533904227556445,True,1,0.645775,SIGNED_COMPONENT_CANCELLATION_FAILURE,positive and negative source components strongly cancel,False,False,source_normalization_failure_modes_by_lane_not_endpoint
D512-2,train,K_scale_tail_spiral,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,True,-37.901282410678384,False,True,0.0,-4.047933971263534,0.8058147729986257,0.0,0.0,0.0,0.0,False,0,0.0,SPECIFICITY_AND_BASELINE_PARTLY_TRANSFER,family specificity partly transfers to baseline comparison,False,False,source_normalization_failure_modes_by_lane_not_endpoint
