galaxy,inspection_priority_tier,inspection_priority_score,inspection_focus,requested_external_sources,current_proxy_family,rotation_inferred_family,rotation_inferred_confidence,memory_history_proxy_class,source_memory_proxy_flags,manifest_confidence,manifest_caveat,external_family_label,external_family_mismatch,s4g_match_status,scale_radius_kpc,bar_radius_kpc,s4g_model_components,candidate_observable_status,observable_provenance,inspection_status,accepted_label_output_allowed,endpoint_scores_allowed,claim_boundary
ESO116-G012,P1,73,outer_disk_tail_lsb_or_hi_extent,residual_blind_multiband_image_morphology_label;deep_optical_or_ir_outer_disk_profile;hi_extent_or_asymmetry,K_exponential_disk,K_scale_tail_spiral,HIGH,expdisk_proxy_with_scale_tail_readout_memory_candidate,distance_caveat;rotation_current_proxy_mismatch,0.85,large_distance_error,,False,S4G_MATCHED,,,,MISSING,SPARC_Lelli2016c.mrt;VizieR_J/ApJS/219/4_S4G_Pipeline4,PENDING_RESIDUAL_BLIND_MORPHOLOGY_REVIEW,False,False,morphology_inspection_queue_not_accepted_label_not_endpoint
NGC0289,P1,73,thickness_flare_warp_or_projection,residual_blind_multiband_image_morphology_label;edge_on_projection_audit;vertical_profile_or_warp_observable,K_thick_flared,K_exponential_disk,MEDIUM,thick_flared_proxy_with_alternate_readout_memory_candidate,distance_caveat;low_surface_brightness_or_diffuse;rotation_current_proxy_mismatch;vertical_geometry_proxy_only,0.75,large_distance_error;vertical_geometry_proxy_only,,False,S4G_MATCHED,1.9129565642148376,1.1858919582126983,N;D;BAR,ACQUIRED_S4G_SPARC_DERIVED,SPARC_Lelli2016c.mrt;VizieR_J/ApJS/219/4_S4G_Pipeline4,PENDING_RESIDUAL_BLIND_MORPHOLOGY_REVIEW,False,False,morphology_inspection_queue_not_accepted_label_not_endpoint
NGC7793,P1,73,thickness_flare_warp_or_projection,residual_blind_multiband_image_morphology_label;edge_on_projection_audit;vertical_profile_or_warp_observable,K_exponential_disk,K_thick_flared,LOW,expdisk_current_with_vertical_projection_memory_candidate,rotation_current_proxy_mismatch;rotation_external_family_mismatch,1.0,none,K_exponential_disk,True,S4G_MATCHED,1.3135069498792606,,D;N,ACQUIRED_S4G_SPARC_DERIVED,SPARC_Lelli2016c.mrt;VizieR_J/ApJS/219/4_S4G_Pipeline4,PENDING_RESIDUAL_BLIND_MORPHOLOGY_REVIEW,False,False,morphology_inspection_queue_not_accepted_label_not_endpoint
UGC07125,P1,73,outer_disk_tail_lsb_or_hi_extent,residual_blind_multiband_image_morphology_label;deep_optical_or_ir_outer_disk_profile;hi_extent_or_asymmetry,K_scale_tail_spiral,K_exponential_disk,MEDIUM,scale_tail_current_with_expdisk_readout_memory_candidate,distance_caveat;gas_rich_late_or_irregular;low_surface_brightness_or_diffuse;rotation_current_proxy_mismatch,0.85,large_distance_error,,False,S4G_MATCHED,2.260635516902038,,D,ACQUIRED_S4G_SPARC_DERIVED,SPARC_Lelli2016c.mrt;VizieR_J/ApJS/219/4_S4G_Pipeline4,PENDING_RESIDUAL_BLIND_MORPHOLOGY_REVIEW,False,False,morphology_inspection_queue_not_accepted_label_not_endpoint
DDO064,P1,70,thickness_flare_warp_or_projection,residual_blind_multiband_image_morphology_label;edge_on_projection_audit;vertical_profile_or_warp_observable;non_s4g_external_morphology_source,K_scale_tail_spiral,K_thick_flared,HIGH,generic_current_vs_rotation_readout_mismatch_candidate,distance_caveat;gas_rich_late_or_irregular;rotation_current_proxy_mismatch,0.85,large_distance_error,,False,NO_S4G_MATCH,,,,MISSING,SPARC_Lelli2016c.mrt,PENDING_RESIDUAL_BLIND_MORPHOLOGY_REVIEW,False,False,morphology_inspection_queue_not_accepted_label_not_endpoint
UGC07603,P1,70,outer_disk_tail_lsb_or_hi_extent,residual_blind_multiband_image_morphology_label;deep_optical_or_ir_outer_disk_profile;hi_extent_or_asymmetry;non_s4g_external_morphology_source,K_exponential_disk,K_scale_tail_spiral,HIGH,expdisk_proxy_with_scale_tail_readout_memory_candidate,distance_caveat;low_surface_brightness_or_diffuse;rotation_current_proxy_mismatch,0.85,large_distance_error,,False,NO_S4G_MATCH,,,,MISSING,SPARC_Lelli2016c.mrt,PENDING_RESIDUAL_BLIND_MORPHOLOGY_REVIEW,False,False,morphology_inspection_queue_not_accepted_label_not_endpoint
UGC07866,P1,70,outer_disk_tail_lsb_or_hi_extent,residual_blind_multiband_image_morphology_label;deep_optical_or_ir_outer_disk_profile;hi_extent_or_asymmetry;non_s4g_external_morphology_source,K_scale_tail_spiral,K_exponential_disk,HIGH,scale_tail_current_with_expdisk_readout_memory_candidate,gas_rich_late_or_irregular;rotation_current_proxy_mismatch,0.8,few_rotation_points,,False,NO_S4G_MATCH,,,,MISSING,SPARC_Lelli2016c.mrt,PENDING_RESIDUAL_BLIND_MORPHOLOGY_REVIEW,False,False,morphology_inspection_queue_not_accepted_label_not_endpoint
UGC08286,P1,70,outer_disk_tail_lsb_or_hi_extent,residual_blind_multiband_image_morphology_label;deep_optical_or_ir_outer_disk_profile;hi_extent_or_asymmetry;non_s4g_external_morphology_source,K_exponential_disk,K_scale_tail_spiral,HIGH,expdisk_proxy_with_scale_tail_readout_memory_candidate,low_surface_brightness_or_diffuse;rotation_current_proxy_mismatch,1.0,none,,False,NO_S4G_MATCH,,,,MISSING,SPARC_Lelli2016c.mrt,PENDING_RESIDUAL_BLIND_MORPHOLOGY_REVIEW,False,False,morphology_inspection_queue_not_accepted_label_not_endpoint
UGCA281,P1,70,outer_disk_tail_lsb_or_hi_extent,residual_blind_multiband_image_morphology_label;deep_optical_or_ir_outer_disk_profile;hi_extent_or_asymmetry;non_s4g_external_morphology_source,K_scale_tail_spiral,K_exponential_disk,HIGH,scale_tail_current_with_expdisk_readout_memory_candidate,gas_rich_late_or_irregular;rotation_current_proxy_mismatch,0.8,few_rotation_points,,False,NO_S4G_MATCH,,,,MISSING,SPARC_Lelli2016c.mrt,PENDING_RESIDUAL_BLIND_MORPHOLOGY_REVIEW,False,False,morphology_inspection_queue_not_accepted_label_not_endpoint
NGC0024,P2,68,outer_disk_tail_lsb_or_hi_extent;thickness_flare_warp_or_projection,residual_blind_multiband_image_morphology_label;deep_optical_or_ir_outer_disk_profile;hi_extent_or_asymmetry;edge_on_projection_audit;vertical_profile_or_warp_observable,K_thick_flared,K_scale_tail_spiral,MEDIUM,thick_flared_proxy_with_alternate_readout_memory_candidate,rotation_current_proxy_mismatch;vertical_geometry_proxy_only,0.9,vertical_geometry_proxy_only,,False,S4G_MATCHED,1.39689723855784,0.4473468717729916,D;BAR,ACQUIRED_S4G_SPARC_DERIVED,SPARC_Lelli2016c.mrt;VizieR_J/ApJS/219/4_S4G_Pipeline4,PENDING_RESIDUAL_BLIND_MORPHOLOGY_REVIEW,False,False,morphology_inspection_queue_not_accepted_label_not_endpoint
NGC0055,P2,68,outer_disk_tail_lsb_or_hi_extent,residual_blind_multiband_image_morphology_label;deep_optical_or_ir_outer_disk_profile;hi_extent_or_asymmetry,K_scale_tail_spiral,K_exponential_disk,MEDIUM,scale_tail_current_with_expdisk_readout_memory_candidate,gas_rich_late_or_irregular;rotation_current_proxy_mismatch,1.0,none,,False,S4G_MATCHED,3.3935538234529914,,D,ACQUIRED_S4G_SPARC_DERIVED,SPARC_Lelli2016c.mrt;VizieR_J/ApJS/219/4_S4G_Pipeline4,PENDING_RESIDUAL_BLIND_MORPHOLOGY_REVIEW,False,False,morphology_inspection_queue_not_accepted_label_not_endpoint
NGC1090,P2,68,thickness_flare_warp_or_projection,residual_blind_multiband_image_morphology_label;edge_on_projection_audit;vertical_profile_or_warp_observable,K_thick_flared,K_exponential_disk,MEDIUM,thick_flared_proxy_with_alternate_readout_memory_candidate,distance_caveat;rotation_current_proxy_mismatch;vertical_geometry_proxy_only,0.75,large_distance_error;vertical_geometry_proxy_only,,False,S4G_MATCHED,4.552686926761032,,B;D,ACQUIRED_S4G_SPARC_DERIVED,SPARC_Lelli2016c.mrt;VizieR_J/ApJS/219/4_S4G_Pipeline4,PENDING_RESIDUAL_BLIND_MORPHOLOGY_REVIEW,False,False,morphology_inspection_queue_not_accepted_label_not_endpoint
NGC3893,P2,68,outer_disk_tail_lsb_or_hi_extent;thickness_flare_warp_or_projection,residual_blind_multiband_image_morphology_label;deep_optical_or_ir_outer_disk_profile;hi_extent_or_asymmetry;edge_on_projection_audit;vertical_profile_or_warp_observable,K_thick_flared,K_scale_tail_spiral,MEDIUM,thick_flared_proxy_with_alternate_readout_memory_candidate,rotation_current_proxy_mismatch;vertical_geometry_proxy_only,0.9,vertical_geometry_proxy_only,,False,S4G_MATCHED,2.1301723377859454,,B;D,ACQUIRED_S4G_SPARC_DERIVED,SPARC_Lelli2016c.mrt;VizieR_J/ApJS/219/4_S4G_Pipeline4,PENDING_RESIDUAL_BLIND_MORPHOLOGY_REVIEW,False,False,morphology_inspection_queue_not_accepted_label_not_endpoint
NGC3992,P2,68,bulge_compact_core_or_central_support;thickness_flare_warp_or_projection,residual_blind_multiband_image_morphology_label;edge_on_projection_audit;vertical_profile_or_warp_observable;bulge_disk_decomposition;central_surface_brightness_profile,K_thick_flared,K_compact_finite,MEDIUM,thick_flared_proxy_with_alternate_readout_memory_candidate,rotation_current_proxy_mismatch;vertical_geometry_proxy_only,0.9,vertical_geometry_proxy_only,,False,S4G_MATCHED,7.719031378239964,6.894044069522217,B;D;BAR;N,ACQUIRED_S4G_SPARC_DERIVED,SPARC_Lelli2016c.mrt;VizieR_J/ApJS/219/4_S4G_Pipeline4,PENDING_RESIDUAL_BLIND_MORPHOLOGY_REVIEW,False,False,morphology_inspection_queue_not_accepted_label_not_endpoint
NGC4068,P2,68,outer_disk_tail_lsb_or_hi_extent,residual_blind_multiband_image_morphology_label;deep_optical_or_ir_outer_disk_profile;hi_extent_or_asymmetry,K_scale_tail_spiral,K_exponential_disk,MEDIUM,scale_tail_current_with_expdisk_readout_memory_candidate,gas_rich_late_or_irregular;rotation_current_proxy_mismatch,0.8,few_rotation_points,,False,S4G_MATCHED,0.6491493822643865,,D,ACQUIRED_S4G_SPARC_DERIVED,SPARC_Lelli2016c.mrt;VizieR_J/ApJS/219/4_S4G_Pipeline4,PENDING_RESIDUAL_BLIND_MORPHOLOGY_REVIEW,False,False,morphology_inspection_queue_not_accepted_label_not_endpoint
NGC4100,P2,68,outer_disk_tail_lsb_or_hi_extent;thickness_flare_warp_or_projection,residual_blind_multiband_image_morphology_label;deep_optical_or_ir_outer_disk_profile;hi_extent_or_asymmetry;edge_on_projection_audit;vertical_profile_or_warp_observable,K_thick_flared,K_scale_tail_spiral,MEDIUM,thick_flared_proxy_with_alternate_readout_memory_candidate,rotation_current_proxy_mismatch;vertical_geometry_proxy_only,0.9,vertical_geometry_proxy_only,,False,S4G_MATCHED,4.380772374047512,,B;D,ACQUIRED_S4G_SPARC_DERIVED,SPARC_Lelli2016c.mrt;VizieR_J/ApJS/219/4_S4G_Pipeline4,PENDING_RESIDUAL_BLIND_MORPHOLOGY_REVIEW,False,False,morphology_inspection_queue_not_accepted_label_not_endpoint
NGC4157,P2,68,bulge_compact_core_or_central_support;thickness_flare_warp_or_projection,residual_blind_multiband_image_morphology_label;edge_on_projection_audit;vertical_profile_or_warp_observable;bulge_disk_decomposition;central_surface_brightness_profile,K_thick_flared,K_exponential_disk,LOW,thick_flared_proxy_with_alternate_readout_memory_candidate,bulge_or_compact_core_memory;low_surface_brightness_or_diffuse;rotation_current_proxy_mismatch;vertical_geometry_proxy_only,0.9,vertical_geometry_proxy_only,,False,S4G_MATCHED,3.124136359862749,,D;N,ACQUIRED_S4G_SPARC_DERIVED,SPARC_Lelli2016c.mrt;VizieR_J/ApJS/219/4_S4G_Pipeline4,PENDING_RESIDUAL_BLIND_MORPHOLOGY_REVIEW,False,False,morphology_inspection_queue_not_accepted_label_not_endpoint
UGC04499,P2,68,outer_disk_tail_lsb_or_hi_extent,residual_blind_multiband_image_morphology_label;deep_optical_or_ir_outer_disk_profile;hi_extent_or_asymmetry,K_scale_tail_spiral,K_exponential_disk,MEDIUM,scale_tail_current_with_expdisk_readout_memory_candidate,distance_caveat;gas_rich_late_or_irregular;rotation_current_proxy_mismatch,0.85,large_distance_error,,False,S4G_MATCHED,1.058710840020998,,D,ACQUIRED_S4G_SPARC_DERIVED,SPARC_Lelli2016c.mrt;VizieR_J/ApJS/219/4_S4G_Pipeline4,PENDING_RESIDUAL_BLIND_MORPHOLOGY_REVIEW,False,False,morphology_inspection_queue_not_accepted_label_not_endpoint
UGC07559,P2,68,outer_disk_tail_lsb_or_hi_extent,residual_blind_multiband_image_morphology_label;deep_optical_or_ir_outer_disk_profile;hi_extent_or_asymmetry,K_scale_tail_spiral,K_exponential_disk,MEDIUM,scale_tail_current_with_expdisk_readout_memory_candidate,gas_rich_late_or_irregular;rotation_current_proxy_mismatch,0.8,few_rotation_points,,False,S4G_MATCHED,0.8315259091848837,,D,ACQUIRED_S4G_SPARC_DERIVED,SPARC_Lelli2016c.mrt;VizieR_J/ApJS/219/4_S4G_Pipeline4,PENDING_RESIDUAL_BLIND_MORPHOLOGY_REVIEW,False,False,morphology_inspection_queue_not_accepted_label_not_endpoint
UGC07577,P2,68,outer_disk_tail_lsb_or_hi_extent,residual_blind_multiband_image_morphology_label;deep_optical_or_ir_outer_disk_profile;hi_extent_or_asymmetry,K_scale_tail_spiral,K_exponential_disk,MEDIUM,scale_tail_current_with_expdisk_readout_memory_candidate,gas_rich_late_or_irregular;rotation_current_proxy_mismatch,1.0,none,,False,S4G_MATCHED,0.737955063561961,,D,ACQUIRED_S4G_SPARC_DERIVED,SPARC_Lelli2016c.mrt;VizieR_J/ApJS/219/4_S4G_Pipeline4,PENDING_RESIDUAL_BLIND_MORPHOLOGY_REVIEW,False,False,morphology_inspection_queue_not_accepted_label_not_endpoint
UGC08837,P2,68,outer_disk_tail_lsb_or_hi_extent,residual_blind_multiband_image_morphology_label;deep_optical_or_ir_outer_disk_profile;hi_extent_or_asymmetry,K_scale_tail_spiral,K_exponential_disk,MEDIUM,scale_tail_current_with_expdisk_readout_memory_candidate,gas_rich_late_or_irregular;rotation_current_proxy_mismatch,1.0,none,,False,S4G_MATCHED,1.9218277298597628,,D,ACQUIRED_S4G_SPARC_DERIVED,SPARC_Lelli2016c.mrt;VizieR_J/ApJS/219/4_S4G_Pipeline4,PENDING_RESIDUAL_BLIND_MORPHOLOGY_REVIEW,False,False,morphology_inspection_queue_not_accepted_label_not_endpoint
D512-2,P2,65,thickness_flare_warp_or_projection,residual_blind_multiband_image_morphology_label;edge_on_projection_audit;vertical_profile_or_warp_observable;non_s4g_external_morphology_source,K_scale_tail_spiral,K_thick_flared,HIGH,generic_current_vs_rotation_readout_mismatch_candidate,distance_caveat;gas_rich_late_or_irregular;low_surface_brightness_or_diffuse;rotation_current_proxy_mismatch,0.65,few_rotation_points;large_distance_error,,False,NO_S4G_MATCH,,,,MISSING,SPARC_Lelli2016c.mrt,PENDING_RESIDUAL_BLIND_MORPHOLOGY_REVIEW,False,False,morphology_inspection_queue_not_accepted_label_not_endpoint
D564-8,P2,65,thickness_flare_warp_or_projection,residual_blind_multiband_image_morphology_label;edge_on_projection_audit;vertical_profile_or_warp_observable;non_s4g_external_morphology_source,K_scale_tail_spiral,K_thick_flared,MEDIUM,generic_current_vs_rotation_readout_mismatch_candidate,gas_rich_late_or_irregular;low_surface_brightness_or_diffuse;rotation_current_proxy_mismatch,0.8,few_rotation_points,,False,NO_S4G_MATCH,,,,MISSING,SPARC_Lelli2016c.mrt,PENDING_RESIDUAL_BLIND_MORPHOLOGY_REVIEW,False,False,morphology_inspection_queue_not_accepted_label_not_endpoint
DDO161,P2,65,outer_disk_tail_lsb_or_hi_extent,residual_blind_multiband_image_morphology_label;deep_optical_or_ir_outer_disk_profile;hi_extent_or_asymmetry;non_s4g_external_morphology_source,K_scale_tail_spiral,K_exponential_disk,MEDIUM,scale_tail_current_with_expdisk_readout_memory_candidate,distance_caveat;gas_rich_late_or_irregular;low_surface_brightness_or_diffuse;rotation_current_proxy_mismatch,0.85,large_distance_error,,False,NO_S4G_MATCH,,,,MISSING,SPARC_Lelli2016c.mrt,PENDING_RESIDUAL_BLIND_MORPHOLOGY_REVIEW,False,False,morphology_inspection_queue_not_accepted_label_not_endpoint
F563-V1,P2,65,outer_disk_tail_lsb_or_hi_extent,residual_blind_multiband_image_morphology_label;deep_optical_or_ir_outer_disk_profile;hi_extent_or_asymmetry;non_s4g_external_morphology_source,K_scale_tail_spiral,K_exponential_disk,MEDIUM,scale_tail_current_with_expdisk_readout_memory_candidate,gas_rich_late_or_irregular;low_surface_brightness_or_diffuse;rotation_current_proxy_mismatch,0.8,few_rotation_points,,False,NO_S4G_MATCH,,,,MISSING,SPARC_Lelli2016c.mrt,PENDING_RESIDUAL_BLIND_MORPHOLOGY_REVIEW,False,False,morphology_inspection_queue_not_accepted_label_not_endpoint
F568-3,P2,65,outer_disk_tail_lsb_or_hi_extent,residual_blind_multiband_image_morphology_label;deep_optical_or_ir_outer_disk_profile;hi_extent_or_asymmetry;non_s4g_external_morphology_source,K_exponential_disk,K_scale_tail_spiral,HIGH,expdisk_proxy_with_scale_tail_readout_memory_candidate,rotation_current_proxy_mismatch,1.0,none,,False,NO_S4G_MATCH,,,,MISSING,SPARC_Lelli2016c.mrt,PENDING_RESIDUAL_BLIND_MORPHOLOGY_REVIEW,False,False,morphology_inspection_queue_not_accepted_label_not_endpoint
F574-1,P2,65,outer_disk_tail_lsb_or_hi_extent,residual_blind_multiband_image_morphology_label;deep_optical_or_ir_outer_disk_profile;hi_extent_or_asymmetry;non_s4g_external_morphology_source,K_exponential_disk,K_scale_tail_spiral,HIGH,expdisk_proxy_with_scale_tail_readout_memory_candidate,rotation_current_proxy_mismatch,1.0,none,,False,NO_S4G_MATCH,,,,MISSING,SPARC_Lelli2016c.mrt,PENDING_RESIDUAL_BLIND_MORPHOLOGY_REVIEW,False,False,morphology_inspection_queue_not_accepted_label_not_endpoint
